,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Jerome Brisard,20,21.05,0.61,0.5,2.8,56,0.25,5
1,François Letexier,20,22.6,0.67,0.65,4.7,94,0.25,5
2,Mikael Lesage,20,21.85,0.66,0.5,4.2,84,0.25,5
3,Jeremie Pignard,20,23.95,0.76,0.1,4.3,86,0.4,8
4,Benoît Bastien,19,22.63,0.7,0.26,4.53,86,0.16,3
5,Ruddy Buquet,19,23.21,0.74,0.42,4.47,85,0.32,6
6,Eric Wattellier,19,19.05,0.54,0.21,3.05,58,0.21,4
7,Jeremy Stinat,19,24.58,0.75,0.37,3.84,73,0.21,4
8,Johan Hamel,18,23.56,0.67,0.22,3.22,58,0.39,7
9,Thomas Leonard,18,22.28,0.66,0.28,3.72,67,0.39,7
10,Benoît Millot,18,24.72,0.76,0.17,3.89,70,0.17,3
11,Amaury Delerue,18,23.5,0.68,0.33,5.06,91,0.22,4
12,Antony Gautier,18,21.11,0.56,0.33,2.72,49,0.17,3
13,Clément Turpin,18,24.94,0.68,0.44,3.83,69,0.17,3
14,Florent Batta,17,26.24,0.8,0.12,3.24,55,0.35,6
15,Stéphanie Frappart,17,22.71,0.76,0.12,3.88,66,0.24,4
16,Pierre Gaillouste,17,26.94,0.69,0.12,3.53,60,0.29,5
17,Bastien Dechepy,17,24.88,0.74,0.18,3.59,61,0.41,7
18,Romain Lissorgue,16,24.94,0.73,0.5,3.0,48,0.44,7
19,Willy Delajod,15,24.47,0.8,0.6,3.87,58,0.47,7
20,Hakim Ben El Hadj,12,25.33,0.73,0.25,3.08,37,0.0,0
21,António Nobre,1,20.0,0.65,0.0,2.0,2,0.0,0
22,H.F.F.C.M. Miguel,1,26.0,0.63,0.0,2.0,2,0.0,0
23,L.M.B. Godinho,1,19.0,0.83,1.0,5.0,5,0.0,0
24,V.J.F. Ferreira,1,21.0,0.84,0.0,3.0,3,0.0,0
25,Gael Angoula,1,17.0,0.45,1.0,3.0,3,0.0,0
