,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Ruddy Buquet,16,20.75,0.54,0.25,3.06,49,0.25,4
1,Antony Gautier,16,26.13,0.72,0.31,3.88,62,0.31,5
2,Hakim Ben El Hadj,15,29.93,0.86,0.27,3.93,59,0.07,1
3,Willy Delajod,15,28.53,0.77,0.53,4.13,62,0.2,3
4,Johan Hamel,14,26.93,0.73,0.36,3.21,45,0.07,1
5,Thomas Leonard,14,25.64,0.74,0.29,3.71,52,0.14,2
6,Frank Schneider,14,27.86,0.78,0.57,3.86,54,0.14,2
7,Jerome Brisard,14,26.07,0.76,0.36,3.29,46,0.29,4
8,François Letexier,14,27.57,0.82,0.29,4.14,58,0.57,8
9,Amaury Delerue,14,29.07,0.78,0.36,4.21,59,0.57,8
10,Karim Abed,13,22.62,0.63,0.08,2.69,35,0.38,5
11,Mikael Lesage,13,25.62,0.73,0.23,4.15,54,0.38,5
12,Florent Batta,12,29.75,0.92,0.5,2.75,33,0.08,1
13,Eric Wattellier,12,22.42,0.64,0.5,2.58,31,0.25,3
14,Clément Turpin,12,24.92,0.69,0.25,3.25,39,0.0,0
15,Jeremy Stinat,12,25.83,0.74,0.33,3.17,38,0.25,3
16,Jeremie Pignard,12,21.75,0.66,0.25,2.75,33,0.33,4
17,Benoît Bastien,11,29.45,0.81,0.27,5.0,55,0.18,2
18,Stéphanie Frappart,11,24.36,0.68,0.27,3.82,42,0.09,1
19,Benoît Millot,10,25.9,0.71,0.2,6.0,60,0.1,1
20,Olivier Thual,10,28.1,0.75,0.4,2.3,23,0.3,3
21,Jerome Miguelgorry,4,27.0,0.79,0.25,2.75,11,0.75,3
22,Alain Bieri,1,15.0,0.47,0.0,1.0,1,1.0,1
