,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Leeds,15.3,20.7,10.4,12.3,1.7
1,Everton,13.7,18.6,9.6,9.7,1.4
2,Leicester,14.9,18.2,9.7,9.4,1.6
3,Wolves,13.4,17.7,10.2,9.6,1.6
4,Brighton,12.5,17.6,9.4,10.3,1.4
5,Newcastle,13.8,16.9,9.4,10.1,1.9
6,Crystal Palace,11.7,16.7,8.8,10.9,1.7
7,Aston Villa,12.6,16.7,8.9,10.6,1.4
8,Chelsea,9,16.3,9.1,10.8,1.8
9,Watford,14.8,16.2,11.7,11.6,1.4
10,Norwich,16.6,16.2,10,9.4,1.4
11,Brentford,13.2,16,10.3,9.8,1.7
12,Southampton,13,15.8,11.7,10.6,1.1
13,Burnley,15.9,15.5,10.8,10.4,2.7
14,Manchester United,13.4,15.4,8.9,10.4,2.3
15,Tottenham,12.9,15.3,9.3,10.1,1.6
16,Liverpool,7.8,14.6,9,9.6,1.7
17,Arsenal,11.2,14.2,7.8,9.6,1.7
18,West Ham,14.4,14.1,9.8,8.5,1.6
19,Manchester City,6.2,13.1,7.3,8.4,1.7
