,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Crystal Palace,13.8,19.3,11.7,10.2,2.1
1,West Ham,13.9,19,12,8.7,1.9
2,Wolves,12.2,18.9,13.2,10.8,1.9
3,Newcastle,12.9,18.8,13.3,11.1,1.6
4,Huddersfield,13.7,18.6,14,11.1,1.7
5,Southampton,13.7,18.4,14.4,11.1,1.6
6,Everton,10.6,18.4,11.9,11.4,1.8
7,Brighton,15.3,17.9,12.2,12.2,2.4
8,Leicester,11.2,17.8,11.5,9.2,1.9
9,Watford,12.9,17.3,11.3,11.4,2.3
10,Cardiff,15,17.2,13.9,9.8,2
11,Tottenham,12.1,16.5,8.6,9.9,1.9
12,Chelsea,9.2,16.3,9.3,8.9,2.2
13,Liverpool,8.1,16.1,8.3,8.3,2
14,Arsenal,13.1,16,10.8,10.8,2.3
15,Fulham,15.4,15.7,11.3,11.1,2.4
16,Burnley,17.2,15.4,9.7,9.5,2.8
17,Manchester United,13.1,15.3,9.3,11.4,2.4
18,Bournemouth,13.7,13.8,9.8,8.9,1.5
19,Manchester City,6.3,13.7,9.5,8.6,2.6
