,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Manchester City,38,29,6,3,99,26,73,93,99,18.8,42,1,68.2,89.7,12.7,7.12,6.2,13.1,7.3,8.4,1.7,18.8,6.7,11.2,8.7
1,Liverpool,38,28,8,2,94,26,68,92,94,19.2,50,1,63.1,84.9,15.1,7.05,7.8,14.6,9.0,9.6,1.7,19.2,6.7,9.0,7.5
2,Chelsea,38,21,11,6,76,33,43,74,76,15.6,63,1,62.2,87.1,14.3,6.92,9.0,16.3,9.1,10.8,1.8,15.6,5.6,9.6,10.3
3,Tottenham,38,22,5,11,69,40,29,71,69,12.8,66,1,51.6,84.9,14.7,6.87,12.9,15.3,9.3,10.1,1.6,12.8,5.2,9.7,10.5
4,Arsenal,38,22,3,13,61,48,13,69,61,15.5,60,4,52.6,83.4,12.4,6.71,11.2,14.2,7.8,9.6,1.7,15.5,5.2,8.4,9.4
5,Manchester United,38,16,10,12,57,57,0,58,57,13.4,75,2,52.1,82.8,14.7,6.71,13.4,15.4,8.9,10.4,2.3,13.4,4.9,9.7,8.4
6,West Ham,38,16,8,14,60,51,9,56,60,11.8,47,3,47.4,80.6,16.9,6.75,14.4,14.1,9.8,8.5,1.6,11.8,4.1,8.1,7.3
7,Leicester,38,14,10,14,62,59,3,52,62,11.4,55,1,51.8,81.8,14.0,6.7,14.9,18.2,9.7,9.4,1.6,11.4,4.4,7.8,10.4
8,Brighton,38,12,15,11,42,44,-2,51,42,12.9,73,2,54.3,81.7,15.1,6.7,12.5,17.6,9.4,10.3,1.4,12.9,4.0,8.3,9.3
9,Wolves,38,15,6,17,38,43,-5,51,38,10.6,59,2,49.3,81.3,12.2,6.69,13.4,17.7,10.2,9.6,1.6,10.6,3.6,11.8,8.8
10,Newcastle,38,13,10,15,44,62,-18,49,43,11.7,76,1,39.4,74.5,17.5,6.6,13.8,16.9,9.4,10.1,1.9,11.7,3.9,9.4,9.6
11,Crystal Palace,38,11,15,12,50,46,4,48,50,10.8,67,1,50.8,80.3,16.1,6.71,11.7,16.7,8.8,10.9,1.7,10.8,3.9,10.1,12.7
12,Brentford,38,13,7,18,48,56,-8,46,48,11.6,61,3,44.3,73.7,19.0,6.65,13.2,16.0,10.3,9.8,1.7,11.6,4.1,6.9,9.6
13,Aston Villa,38,13,6,19,52,54,-2,45,52,12.2,79,2,46.3,79.7,14.3,6.68,12.6,16.7,8.9,10.6,1.4,12.2,4.3,8.8,13.3
14,Southampton,38,9,13,16,43,67,-24,40,43,12.7,63,2,47.4,76.6,17.8,6.63,13.0,15.8,11.7,10.6,1.1,12.7,4.5,9.2,9.6
15,Everton,38,11,6,21,43,66,-23,39,43,11.5,78,6,39.1,73.3,16.8,6.59,13.7,18.6,9.6,9.7,1.4,11.5,3.6,8.9,10.2
16,Leeds,38,9,11,18,42,79,-37,38,42,12.8,101,3,51.9,78.0,12.6,6.53,15.3,20.7,10.4,12.3,1.7,12.8,4.1,8.9,9.7
17,Burnley,38,7,14,17,34,53,-19,35,34,10.7,68,2,39.1,69.2,21.9,6.65,15.9,15.5,10.8,10.4,2.7,10.7,3.3,6.8,8.7
18,Watford,38,6,5,27,34,77,-43,23,34,10.5,57,3,39.7,72.9,18.9,6.53,14.8,16.2,11.7,11.6,1.4,10.5,3.3,10.4,9.3
19,Norwich,38,5,7,26,23,84,-61,22,23,9.8,55,1,42.3,77.5,13.0,6.42,16.6,16.2,10.0,9.4,1.4,9.8,2.9,7.8,11.3
