,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Lyon,16.1,6.2,12.6,11.6
1,Paris Saint-Germain,15,5.7,12.9,11.3
2,Rennes,13.5,4.3,10.7,12.8
3,Monaco,12.8,4.6,8.1,12.4
4,Lille,12.8,4.8,10.7,11.8
5,Montpellier,12.2,4.6,7.9,11.9
6,Brest,11.8,4.2,10.1,11.4
7,Lens,11.7,3.8,9.6,12.2
8,Saint-Etienne,11.6,4,11.4,12.9
9,Metz,11.5,3.7,10,12.5
10,Strasbourg,11.3,3.8,7.9,10.8
11,Lorient,11.2,3.7,9.5,12.3
12,Bordeaux,11.1,3.7,10.3,12.6
13,Nantes,10.8,3.4,9.9,13.1
14,Nice,10.8,3.8,11.6,11.5
15,Angers,10.7,3.8,10.2,12.7
16,Nimes,10.3,3.7,8.4,14
17,Marseille,10,3.6,8.4,12.4
18,Reims,9.6,3.3,9.7,10.9
19,Dijon,9.2,2.4,10.1,11.1
