,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Real Madrid,15.6,5.7,12.1,14.3
1,Barcelona,14.7,6.7,11.7,14.5
2,Eibar,14,4.1,9.1,10.3
3,Sevilla,13.9,4.7,9.4,12.2
4,Villarreal,13,4.6,9.2,10.8
5,Valencia,12.6,4.4,9,13.5
6,Espanyol,12.5,4.2,8.4,13.4
7,SD Huesca,12.4,3.9,8.3,11.6
8,Rayo Vallecano,12.1,4,14.1,12
9,Celta Vigo,11.9,4.2,10,12.7
10,Atletico Madrid,11.7,4.2,9.6,11.9
11,Real Betis,11.7,4.4,11.8,14.4
12,Levante,11.6,4.2,10.6,12.8
13,Deportivo Alaves,11.3,3.2,7.2,13.1
14,Real Sociedad,11.3,3.8,10.8,14.3
15,Leganes,11,3.5,6.7,10.5
16,Real Valladolid,10.9,3.5,7.7,13.7
17,Getafe,10.6,3.4,7.9,13.2
18,Girona,10.5,3.8,8.3,13.9
19,Athletic Club,10.2,3.7,7.6,12.9
