,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Real Madrid,17,5.8,12.5,13.9
1,Barcelona,15.1,5.1,10.4,11.9
2,Athletic Club,14.4,4.5,9.2,11.1
3,Atletico Madrid,14.2,5.3,8.5,11
4,Rayo Vallecano,13.6,4.1,7.8,12.9
5,Villarreal,13.3,5.2,11.4,12.7
6,Valencia,12.8,3.9,9.3,13.4
7,Celta Vigo,12.4,4.3,8.5,13
8,Real Sociedad,12.3,4.7,8.1,11.9
9,Sevilla,12.3,3.9,7.1,12.1
10,Girona,12,4.5,9,13.3
11,Real Valladolid,11.8,3.8,8.1,13.6
12,Osasuna,11.7,3.6,8.3,10.8
13,Almeria,11.6,4.2,7.8,10.6
14,Espanyol,11.1,4.1,6.8,13
15,Real Betis,11.1,4,9.6,14.1
16,Elche,10.7,3.4,9,10.4
17,Cadiz,10.4,3.1,6.5,12.7
18,Getafe,9.8,3.3,5.7,11.5
19,Mallorca,8.7,3,7.7,12
