,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Inter,17.8,6.7,6.7,10.8
1,Atalanta,15.9,4.7,9.8,11.9
2,Roma,15.8,5.2,8.7,12.5
3,AC Milan,15.8,5.2,12,13.5
4,Napoli,15.2,5.3,9.4,12.7
5,Sassuolo,15.2,5.6,10.6,12.6
6,Juventus,13.8,4.5,9.7,13.2
7,Fiorentina,13.5,4.9,7.9,14.9
8,Udinese,13.4,4.9,9.6,12.1
9,Empoli,13.1,4.3,7.7,12.2
10,Torino,12.5,4.1,7.8,12.1
11,Verona,12.2,4.2,8.2,11.3
12,Lazio,11.9,5.1,8.8,11.8
13,Bologna,11.6,3.9,8.6,13.1
14,Salernitana,11.3,3.7,8.3,13.7
15,Cagliari,11.2,3.3,6.6,12.9
16,Genoa,10.6,3,7.9,13.1
17,Sampdoria,10.3,3.3,6,13.5
18,Spezia,10.2,3.6,7.7,11.6
19,Venezia,9.3,3.2,7.9,12
