,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Paris Saint-Germain,86,15,73,7,60.1,89.5,9.5,6.88
1,Lille,64,12.8,67,2,52.6,83.5,15.8,6.82
2,Lyon,81,16.1,60,10,53.6,84.7,14.3,6.80
3,Monaco,76,12.8,74,7,54.2,82.7,16.5,6.73
4,Rennes,52,13.5,80,5,56.8,85.6,16.9,6.69
5,Metz,44,11.5,82,4,46.9,79.8,16.1,6.66
6,Lens,55,11.7,84,7,51.1,81.8,17.4,6.64
7,Brest,50,11.8,60,4,49.4,81.3,18.6,6.64
8,Marseille,54,10,94,9,19.6,82.0,14.9,6.63
9,Montpellier,60,12.2,65,7,46.4,78.8,17.9,6.63
10,Nice,50,10.8,69,4,53.4,85.6,10.5,6.63
11,Nantes,47,10.8,68,4,21.9,77.0,18.1,6.62
12,Strasbourg,49,11.3,56,3,46.5,78.3,18.3,6.61
13,Reims,42,9.6,75,8,22.6,80.7,13.4,6.60
14,Saint-Etienne,42,11.6,76,2,49.0,79.3,16.4,6.59
15,Bordeaux,42,11.1,74,4,25.2,83.3,15.4,6.59
16,Lorient,50,11.2,67,3,45.9,78.8,13.7,6.54
17,Angers,40,10.7,63,2,47.1,81.3,13.2,6.53
18,Nimes,40,10.3,57,5,45.8,77.5,14,6.52
19,Dijon,25,9.2,75,5,46.9,80.0,14.3,6.42
