,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
166,Demarai Gray,31,Everton,26,AM,33,2512,1,1.1,19.9,81.3,1.1,0.8,0.0,6.61,4,3,0,1.8,0.4,1,1.0,1.5,0.4,2.0,2.6,1.0,0.4,0.7,0.0,0.5,0.4,0.1,0
174,Ché Adams,18,Southampton,26,AM,28,1998,3,0.9,17.2,67.6,0.1,0.8,0.1,6.59,5,1,0,1.7,2.2,1,0.6,1.0,0.5,1.0,2.4,0.6,0.1,1.4,0.1,0.8,0.2,0.1,0
175,Anthony Martial,32,Manchester United,27,AM,21,980,2,0.6,15.2,81.6,0.0,0.2,0.1,6.59,6,0,0,1.3,0.5,0,0.7,0.7,0.3,1.0,1.6,0.2,0.0,0.4,0.0,0.2,0.1,0.1,0
180,Luis Sinisterra,19,Leeds,24,AM,19,875,0,0.5,17.3,81.5,0.1,0.5,0.1,6.58,5,1,1,1.5,0.9,1,1.0,0.6,0.3,1.2,0.8,1.1,0.4,0.7,0.1,0.1,0.4,0.1,0
185,Ryan Christie,183,Bournemouth,28,AM,32,1842,1,0.9,19.2,82.7,0.3,0.7,0.0,6.57,1,2,0,1.0,0.5,0,1.2,1.4,0.0,1.0,1.5,1.1,0.8,1.1,0.0,0.5,1.1,0.1,0
195,Conor Gallagher,15,Chelsea,23,AM,35,1616,1,0.6,23.1,84.5,0.3,0.4,0.0,6.54,3,9,1,0.8,0.5,2,0.7,1.0,0.1,1.0,1.0,1.3,0.7,1.0,0.0,0.4,0.8,0.3,0
200,Harvey Elliott,26,Liverpool,20,AM,32,1615,2,0.8,29.9,82.9,0.2,1.0,0.2,6.53,1,2,0,1.1,0.1,0,0.6,0.8,0.1,0.7,0.8,0.8,0.5,0.4,0.0,0.2,0.8,0.0,0
203,Manor Solomon,170,Fulham,23,AM,19,563,0,0.3,10.5,86.4,0.1,0.2,0.1,6.52,4,0,0,0.6,0.2,0,1.0,0.2,0.1,0.6,0.7,1.1,0.3,0.3,0.0,0.1,0.4,0.0,0
207,Yoane Wissa,189,Brentford,26,AM,38,1601,3,0.3,8.6,72.2,0.0,0.2,0.0,6.51,7,3,0,0.8,0.6,0,0.5,0.7,0.5,0.7,1.1,0.4,0.2,0.6,0.0,0.4,0.2,0.0,0
209,Daniel Podence,161,Wolves,27,AM,32,1773,0,1.1,18.5,70.5,0.5,0.8,0.0,6.5,6,5,0,1.3,0.2,2,0.8,0.7,0.1,0.9,1.5,0.8,0.2,0.8,0.0,0.2,0.8,0.0,0
219,Brennan Johnson,174,Nottingham Forest,22,AM,38,2941,3,0.7,11.6,62.8,0.3,0.1,0.0,6.49,8,6,0,1.4,0.5,2,0.9,0.6,0.5,0.7,2.0,0.9,0.1,1.0,0.0,0.1,0.5,0.0,0
222,Mohamed Elyounoussi,18,Southampton,28,AM,33,2180,1,0.5,17.6,69.0,0.3,0.6,0.1,6.48,1,4,0,1.1,1.1,0,0.7,0.5,0.1,1.2,1.2,1.4,0.8,1.2,0.0,1.0,0.7,0.1,0
228,Wilfried Gnonto,19,Leeds,19,AM,24,1353,4,0.9,18.9,77.0,0.3,0.1,0.0,6.48,2,7,0,0.9,0.3,1,0.9,1.6,0.1,0.8,1.3,1.1,0.2,1.2,0.0,0.1,0.8,0.0,0
231,Kelechi Iheanacho,14,Leicester,26,AM,28,1122,5,0.8,10.9,76.7,0.0,0.3,0.0,6.47,5,0,0,1.4,0.5,1,0.7,0.2,0.4,1.3,1.5,0.3,0.0,0.6,0.0,0.3,0.3,0.0,0
236,Richarlison,30,Tottenham,26,AM,27,1008,3,0.6,9.7,72.6,0.2,0.4,0.1,6.46,1,3,0,1.0,0.7,1,0.4,0.8,0.3,0.7,1.5,0.8,0.2,0.5,0.0,0.3,0.6,0.0,0
238,Crysencio Summerville,19,Leeds,21,AM,28,1418,2,0.6,14.0,77.9,0.1,0.3,0.0,6.46,4,4,0,1.0,0.2,0,0.9,1.5,0.3,1.3,1.6,1.1,0.5,0.8,0.0,0.3,0.4,0.1,0
249,Harry Wilson,170,Fulham,26,AM,29,1099,3,0.4,13.0,80.3,0.1,0.8,0.0,6.43,2,1,0,0.6,0.1,1,0.4,1.1,0.1,0.5,0.8,0.7,0.2,0.4,0.0,0.4,0.3,0.1,0
253,Odsonne Édouard,162,Crystal Palace,25,AM,35,1806,2,0.5,11.6,72.7,0.0,0.0,0.0,6.43,5,3,0,1.1,1.2,0,0.5,0.5,0.4,1.5,1.7,0.7,0.1,0.8,0.0,0.6,0.2,0.1,0
261,Brenden Aaronson,19,Leeds,22,AM,36,2384,3,1.3,20.0,79.1,0.5,0.2,0.1,6.41,1,2,0,1.1,0.2,0,0.9,1.5,0.2,2.3,2.0,1.3,0.1,0.4,0.0,0.2,0.9,0.1,0
268,Pedro Neto,161,Wolves,23,AM,19,972,0,1.1,16.4,84.9,0.7,0.7,0.1,6.38,0,2,0,0.9,0.0,0,0.9,0.8,0.1,0.7,1.5,0.6,0.2,0.4,0.0,0.2,0.5,0.1,0
272,Patrick Bamford,19,Leeds,29,AM,28,1523,2,0.4,11.6,69.9,0.0,0.0,0.0,6.36,4,3,0,1.8,1.3,0,0.4,1.0,0.6,0.8,2.0,0.3,0.2,0.9,0.0,0.5,0.6,0.2,0
273,Alejandro Garnacho,32,Manchester United,18,AM,19,563,2,0.2,9.7,81.1,0.0,0.2,0.0,6.35,3,3,0,1.3,0.2,0,0.6,0.4,0.2,0.7,1.4,0.3,0.3,0.4,0.0,0.1,0.5,0.0,0
275,Jaidon Anthony,183,Bournemouth,23,AM,30,1248,1,0.4,15.4,78.1,0.3,0.5,0.0,6.35,3,2,0,0.7,0.3,0,0.5,0.4,0.2,0.9,0.8,1.0,0.3,0.3,0.0,0.5,0.5,0.1,0
276,Mikkel Damsgaard,189,Brentford,22,AM,26,982,0,0.4,14.3,72.8,0.2,0.4,0.0,6.35,0,4,0,0.5,0.4,0,0.3,0.4,0.0,0.2,0.6,1.2,0.4,0.5,0.0,0.4,1.0,0.1,0
277,Deniz Undav,211,Brighton,26,AM,22,623,0,0.4,7.4,75.3,0.0,0.2,0.0,6.34,5,2,0,1.2,0.2,0,0.2,0.2,0.3,0.4,0.6,0.3,0.0,0.7,0.0,0.0,0.3,0.0,1
280,Jamie Vardy,14,Leicester,36,AM,37,1855,4,0.4,6.9,53.3,0.0,0.2,0.1,6.33,3,1,0,0.8,1.3,0,0.3,0.2,0.8,0.4,0.9,0.3,0.1,0.6,0.0,0.8,0.2,0.1,0
281,Stuart Armstrong,18,Southampton,31,AM,32,1405,1,0.6,19.5,81.7,0.3,0.5,0.0,6.33,2,6,0,0.7,0.2,0,0.7,0.6,0.0,0.9,0.9,1.0,0.3,0.5,0.0,0.3,0.8,0.0,0
282,Hwang Hee-Chan,161,Wolves,27,AM,27,1131,1,0.4,9.8,78.4,0.1,0.2,0.0,6.32,3,1,0,0.7,0.3,0,0.5,0.7,0.0,0.7,0.9,0.7,0.2,0.7,0.0,0.1,0.5,0.1,0
287,Fábio Vieira,13,Arsenal,23,AM,22,502,2,0.5,12.1,84.6,0.2,0.2,0.0,6.31,1,0,0,0.7,0.1,0,0.3,0.2,0.0,0.4,0.6,0.3,0.2,0.1,0.0,0.1,0.1,0.0,0
289,Elliot Anderson,23,Newcastle,20,AM,22,396,1,0.4,8.4,77.8,0.2,0.2,0.0,6.3,0,0,0,0.5,0.5,0,0.5,0.5,0.0,0.5,0.4,0.5,0.3,0.3,0.0,0.0,0.3,0.1,0
294,Adam Armstrong,18,Southampton,26,AM,30,1336,1,0.4,9.5,75.4,0.1,0.3,0.0,6.27,2,2,0,0.8,0.2,0,0.4,0.3,0.1,0.7,0.8,0.5,0.2,0.6,0.0,0.2,0.2,0.1,0
297,Dan James,170,Fulham,25,AM,20,614,1,0.4,7.8,71.2,0.3,0.1,0.0,6.26,2,0,0,0.7,0.1,1,0.3,0.7,0.1,0.7,0.5,0.5,0.1,0.1,0.0,0.2,0.2,0.1,0
300,Shandon Baptiste,189,Brentford,25,AM,23,606,1,0.4,12.1,86.0,0.2,0.6,0.0,6.22,0,1,1,0.2,0.3,0,0.3,0.5,0.0,0.3,0.7,0.7,0.3,0.5,0.0,0.4,0.4,0.1,0
302,Neal Maupay,31,Everton,26,AM,27,1115,0,0.3,9.1,76.5,0.0,0.2,0.0,6.2,1,4,0,1.2,0.6,0,0.3,0.8,0.0,0.6,1.4,0.4,0.2,0.5,0.0,0.0,0.1,0.0,0
303,Dennis Praet,14,Leicester,29,AM,22,641,0,0.1,11.3,77.8,0.1,0.4,0.0,6.19,1,1,0,0.2,0.0,0,0.3,0.4,0.0,0.5,0.5,0.5,0.2,0.4,0.0,0.2,0.2,0.1,0
