,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
126,Adrià Pedrosa,Espanyol,25," D(L),M(L)",31,2723,1,1,8,-,0.8,77.8,0.5,1,6.68
127,Luis Suárez,Granada,26," AM(L),FW",34(3),2857,8,4,6,-,2.3,67.3,1.5,2,6.68
128,Rui Silva,Real Betis,30, GK,21(1),1963,-,-,2,-,-,66.9,0.2,-,6.68
129,Oihan Sancet,Athletic Club,24," M(C),FW",16(11),1426,6,4,2,-,1.1,78.2,0.6,2,6.68
130,Íñigo Ruíz de Galarreta,Mallorca,30, DMC,17(5),1390,-,-,4,-,0.4,82.6,0.8,-,6.68
131,Marcos Llorente,Atletico,29," D(R),M(CR),FW",29,2456,-,2,5,-,0.6,84.8,0.6,-,6.67
132,Ángel Correa,Atletico,29," AM(CLR),FW",21(15),1860,12,5,3,1,1.4,76.5,0.2,2,6.67
133,Raúl Albiol,Villarreal,38, D(C),28,2467,-,-,8,-,0.2,86,1.5,-,6.67
134,Nemanja Maksimovic,Getafe,29, M(C),34(1),2943,1,1,4,-,0.9,77.7,1.3,1,6.67
135,Isi Palazón,Rayo Vallecano,29, AM(R),27(7),2301,2,4,7,-,1.7,74.3,1.4,3,6.67
136,Fidel,Elche,34, M(CLR),29(4),2283,5,6,9,-,0.5,78.7,0.2,1,6.67
137,Koke,Atletico,32, M(CLR),29(2),2512,1,2,6,-,0.4,86.5,0.4,1,6.66
138,Andoni Gorosabel,Real Sociedad,27," D(R),M(R)",25(7),2298,-,4,4,-,0.3,84.9,0.7,-,6.66
139,Rodrygo,Real Madrid,23," AM(CLR),FW",17(16),1528,4,4,3,-,1,86.1,0.4,2,6.66
140,Óscar Valentín,Rayo Vallecano,29, DMC,29(6),2580,-,-,8,-,0.3,83.8,1.1,-,6.65
141,Thierry Correia,Valencia,25," D(R),M(R)",18(1),1424,-,1,5,-,0.2,70.7,1,-,6.65
142,Rubén Duarte,Deportivo Alaves,28, D(CL),31(3),2630,-,4,10,1,0.3,67.7,1.6,-,6.65
143,Nacho,Real Madrid,34, D(CLR),17(11),1549,3,-,7,-,0.4,93,1,-,6.65
144,Fran García,Rayo Vallecano,24, D(L),34,3027,1,-,4,-,0.7,80.1,0.7,-,6.65
145,Francis Coquelin,Villarreal,32, M(CLR),8(12),828,2,1,3,-,0.3,86,0.8,1,6.65
146,Jesús Navas,Sevilla,38," D(R),M(R)",19(6),1788,-,3,4,-,0.4,81,0.6,1,6.64
