,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Lionel Messi,Barcelona,36," AM(CR),FW",32(1),2881,25,21,4,-,4.8,82.6,0.3,22,8.71
1,Casemiro,Real Madrid,32," D(C),DMC",35,3091,4,3,12,-,1.3,84.1,2.9,3,7.47
2,Karim Benzema,Real Madrid,36, FW,36(1),3155,21,8,-,-,3.4,86.2,0.8,10,7.44
3,Luis Suárez,Barcelona,37," AM(CLR),FW",22(6),2002,16,8,4,-,2.8,75.5,0.4,3,7.33
4,Mikel Merino,Real Sociedad,27, M(C),35(1),3144,5,1,9,-,1.2,75.8,5.1,5,7.31
5,Gerard Moreno,Villarreal,32," AM(CR),FW",33(2),2755,18,5,5,-,2.5,74.5,1.6,6,7.31
6,Nabil Fekir,Real Betis,30," AM(CLR),FW",31(1),2652,7,4,6,2,3.2,83.9,1,8,7.22
7,Saúl Ñíguez,Atletico,29," D(CL),M(CLR)",35,3076,6,-,10,-,1.3,79.3,3.4,5,7.22
8,Joselu,Deportivo Alaves,34, FW,31(5),2786,11,2,6,-,2.4,52,8.7,10,7.22
9,Lucas Ocampos,Sevilla,29," M(CLR),FW",31(2),2756,14,3,8,1,2.5,79.9,0.9,4,7.21
10,Raúl García,Athletic Club,37," M(CLR),FW",33(2),2878,15,1,11,-,2.3,55.9,6.1,6,7.21
11,Toni Kroos,Real Madrid,34, M(C),31(4),2656,4,5,2,-,1.6,93.5,0.3,2,7.20
12,Dani Carvajal,Real Madrid,32, D(R),31,2741,1,5,11,-,0.6,86.6,0.9,3,7.18
13,Santi Cazorla,Villarreal,39, M(CLR),29(6),2461,11,9,3,-,1.4,86.4,0.3,2,7.17
14,Chimy Ávila,Osasuna,30," AM(LR),FW",18(2),1593,9,2,6,-,3.5,57.2,3.1,5,7.16
15,Rafinha,Celta Vigo,32, M(CLR),25(4),2121,4,1,5,-,1.1,87.1,0.9,4,7.13
16,Martin Ødegaard,Real Sociedad,25, AM(CR),29(2),2533,4,6,3,-,1.6,84.7,0.3,4,7.10
17,Éver Banega,Sevilla,35, M(C),28(5),2483,3,7,10,-,1.2,86,0.5,4,7.10
18,Sergio Reguilón,Sevilla,27," D(L),M(L)",29(2),2509,2,4,8,-,0.9,81.4,1.3,2,7.10
