,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Lionel Messi,Barcelona,36," AM(CR),FW",33(2),3023,30,9,4,-,5.6,85.1,0.2,22,8.52
1,Gerard Moreno,Villarreal,32," AM(CR),FW",30(3),2683,23,7,3,-,2.9,69.7,1.9,12,7.62
2,Karim Benzema,Real Madrid,36, FW,33(1),2902,23,9,2,-,3.6,84.6,0.8,8,7.57
3,Casemiro,Real Madrid,32," D(C),DMC",32(2),2903,6,4,9,1,1.4,83.9,3,4,7.36
4,Iago Aspas,Celta Vigo,36," AM(CR),FW",33,2871,14,13,9,-,1.5,78.8,0.5,8,7.32
5,Marcos Llorente,Atletico,29," D(R),M(CR),FW",33(4),2960,12,11,6,-,1.3,84.6,0.6,4,7.26
6,Mikel Merino,Real Sociedad,27, M(C),25(1),2157,2,4,5,-,1.3,76.7,3.2,4,7.24
7,Toni Kroos,Real Madrid,34, M(C),24(4),2122,3,10,6,-,1.2,93.6,0.4,3,7.22
8,Joselu,Deportivo Alaves,34, FW,34(3),3038,11,3,1,-,2.5,58.6,6.9,5,7.22
9,Kieran Trippier,Atletico,33," D(LR),M(R)",28,2477,-,6,-,-,0.1,79.4,1.5,2,7.20
10,Lucas Vázquez,Real Madrid,32," D(R),M(R)",21(3),1851,2,5,3,-,0.9,87.7,0.4,2,7.20
11,Antoine Griezmann,Barcelona,33," AM(CLR),FW",32(4),2621,13,7,4,-,2,87.3,0.5,4,7.17
12,Javi Galán,SD Huesca,29," D(L),M(L)",34(3),3068,1,2,5,-,0.2,80.2,0.4,5,7.16
13,Yannick Carrasco,Atletico,30," D(L),M(CLR),FW",25(5),2189,6,10,6,-,1.4,80.7,0.1,4,7.16
14,Luis Suárez,Atletico,37," AM(CLR),FW",30(2),2521,21,3,6,-,3.3,71.8,0.8,4,7.16
15,Luka Modric,Real Madrid,38, M(C),32(3),2744,5,3,4,-,1.3,88.1,0.5,5,7.15
16,Frenkie de Jong,Barcelona,26," D(C),DMC",35(2),3159,3,4,5,-,0.5,91.9,1.1,2,7.13
17,Nabil Fekir,Real Betis,30," AM(CLR),FW",33,2637,5,5,5,1,2.6,85.3,0.8,6,7.12
18,Dani Parejo,Villarreal,35, M(C),36,3120,3,4,5,-,0.8,90.2,0.7,1,7.10
19,Carlos Soler,Valencia,27, M(CLR),31(1),2737,11,8,7,-,1.2,85.8,0.6,4,7.05
20,Mikel Oyarzabal,Real Sociedad,27," AM(CLR),FW",30(3),2432,11,8,1,-,1.9,76.7,0.6,2,7.05
21,Alexander Isak,Real Sociedad,24," AM(L),FW",30(4),2361,17,2,4,-,2.4,72.7,1.2,6,7.03
22,Ousmane Dembélé,Barcelona,26," AM(CLR),FW",19(11),1781,6,3,2,-,1.8,85.8,0.3,3,7.01
23,Jules Koundé,Sevilla,25, D(CR),33(1),2976,2,1,4,-,0.6,90.1,3,4,7.01
24,Fernando,Sevilla,36," D(C),DMC",28(3),2547,3,4,6,-,0.2,89.7,1.8,1,7.00
25,Jordi Alba,Barcelona,35," D(L),M(L)",34(1),3030,3,5,9,-,0.8,86.9,0.1,-,7.00
26,David Silva,Real Sociedad,38," M(CLR),FW",17(4),1408,2,5,4,-,1,85,0.5,-,6.99
27,Emerson Royal,Real Betis,25," D(CR),M(R)",34,2993,1,4,9,1,0.3,81.2,1.8,2,6.98
28,Bryan Gil,Eibar,23, AM(CLR),26(2),2273,4,3,6,-,1.4,78,0.5,1,6.96
29,Sergio Canales,Real Betis,33, M(CLR),28(3),2502,8,6,4,-,1.5,87.4,0.3,-,6.95
30,Guido Rodríguez,Real Betis,30, DMC,34(1),2873,1,-,10,-,0.9,84,1.6,3,6.95
31,Kike García,Eibar,34, FW,36(1),3105,12,2,2,1,2.4,68.1,5.1,3,6.95
32,Ángel Correa,Atletico,29," AM(CLR),FW",29(9),2412,9,8,3,-,1.4,80,0.3,2,6.94
33,Lucas Ocampos,Sevilla,29," M(CLR),FW",30(4),2648,5,4,3,-,2,77.3,0.9,4,6.93
34,Stefan Savic,Atletico,33, D(C),33,2954,1,-,15,-,0.2,85.2,2.8,2,6.91
35,Koke,Atletico,32, M(CLR),34(3),3026,1,2,9,-,0.5,89.3,0.7,-,6.90
36,Maxi Gómez,Valencia,27, FW,31,2699,7,1,6,1,1.7,65.8,3.8,-,6.90
37,Suso,Sevilla,30," AM(CLR),FW",28(6),2234,3,4,2,-,1.4,86,0.1,1,6.89
38,Jesús Navas,Sevilla,38," D(R),M(R)",34,2836,-,6,4,-,0.4,82.1,0.6,2,6.88
39,Sergio Busquets,Barcelona,35, DMC,32(4),2530,-,5,9,-,0.1,91.3,1.1,-,6.88
40,Renato Tapia,Celta Vigo,28," D(C),DMC",32,2710,-,1,11,-,0.5,81.2,2,4,6.88
41,Youssef En-Nesyri,Sevilla,26, FW,23(15),2314,18,-,2,-,2.1,68.2,2.5,6,6.87
42,Jan Oblak,Atletico,31, GK,38,3420,-,-,-,-,-,58.9,0.2,2,6.87
43,Santi Mina,Celta Vigo,28," AM(LR),FW",29(5),2423,12,3,4,-,1.3,72,3,2,6.87
44,Fidel,Elche,34, M(CLR),28(2),2404,6,3,8,-,0.6,77.8,0.3,1,6.86
45,Mauro Arambarri,Getafe,28, DMC,33(1),2990,3,-,11,-,1.4,73.2,1.6,1,6.86
46,Raphaël Varane,Real Madrid,31, D(C),31,2717,2,-,2,-,0.5,89.6,2.4,-,6.85
47,Marcos Acuña,Sevilla,32," D(CL),M(CL)",26(4),2331,1,2,5,-,0.6,84.2,0.8,2,6.84
48,Ferland Mendy,Real Madrid,28," D(L),M(L)",24(2),2207,1,-,3,-,0.5,90.3,0.4,1,6.84
49,David García,Osasuna,30, D(C),35,3150,1,-,8,-,0.4,71.9,4.6,3,6.84
50,Jawad El Yamiq,Real Valladolid,32, D(C),15(4),1377,-,1,6,-,0.4,78.5,2.6,2,6.83
51,Gonçalo Guedes,Valencia,27," AM(CLR),FW",27(4),2301,5,5,3,1,1.6,75,0.3,3,6.83
52,Thomas Lemar,Atletico,28, AM(CLR),19(8),1376,1,3,4,-,0.9,85.6,0.3,2,6.83
53,Yeray Álvarez,Athletic Club,29, D(C),22(1),1949,1,-,6,-,0.4,82.4,2.6,-,6.83
54,Alex Berenguer,Athletic Club,28," D(LR),M(CLR),FW",27(8),2289,8,4,4,-,1.4,75.3,0.7,2,6.83
55,Nolito,Celta Vigo,37, AM(CL),35(1),2628,7,5,7,-,1.5,75.5,0.4,-,6.83
