,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
155,Léo Dubois,-,-,0.4,0.5,0.6,-,0.5,0.5
156,Renaud Ripart,2,2,1.5,0.8,1.5,0.2,1.3,1.3
157,Jason Berthomier,1,5,0.8,0.8,0.5,0.1,0.6,0.6
158,Marco Bizot,-,1,-,-,0.1,-,-,-
159,El Bilal Touré,2,4,1.6,0.4,0.7,0.3,0.6,0.6
160,Jordan Ferri,-,2,0.4,1,2.1,-,1.4,1.4
161,Matz Sels,-,-,0.1,-,0.1,-,-,-
162,Mihailo Ristic,1,3,0.6,1,0.9,-,0.7,0.7
163,Jonas Martin,1,1,0.7,0.3,0.5,-,0.3,0.3
164,Mickaël Nadé,1,-,0.2,0.3,1,-,0.3,0.3
165,Bamba Dieng,7,1,1.5,0.2,0.5,0.2,0.5,0.5
166,Hicham Boudaoui,3,2,0.6,0.8,0.7,0.1,0.8,0.8
167,Xavier Chavalerin,5,2,0.9,0.4,0.4,0.2,0.4,0.4
168,Erik Palmer-Brown,-,-,0.2,0.2,0.5,-,0.2,0.2
169,Birger Meling,-,4,0.1,0.2,0.7,0.1,0.2,0.2
170,Souleyman Doumbia,-,1,0.5,1.7,0.9,-,0.9,0.9
171,Alexander Nübel,-,-,-,-,0.1,-,-,-
172,Duje Caleta-Car,2,-,0.5,-,0.2,-,-,-
173,Yoann Salmier,-,1,0.3,0.4,0.9,-,0.4,0.4
174,Florent Mollet,6,2,1.6,0.4,1.4,0.3,0.9,0.9
175,Thiago Mendes,1,1,0.6,0.1,0.6,-,0.5,0.5
176,Pau López,-,1,-,-,0.1,-,-,-
177,Jean-Louis Leca,-,-,-,-,0.1,-,-,-
178,Arnaud Souquet,1,3,0.5,0.6,0.7,-,0.5,0.5
179,Ismaël Traoré,4,1,0.7,0.1,0.2,-,0.1,0.1
180,Ivo Grbic,-,-,-,-,0.3,-,0.1,0.1
181,Arkadiusz Milik,7,2,2.3,0.1,0.3,0.3,0.6,0.6
182,Warmed Omari,-,-,0.1,0.1,0.5,-,0.2,0.2
183,Yohann Magnin,1,-,0.8,0.3,1,0.2,0.6,0.6
184,Jérôme Boateng,-,1,0.2,0.1,0.1,-,-,-
185,Tristan Dingomé,2,4,0.8,0.4,0.6,-,0.6,0.6
186,Javairô Dilrosun,2,6,1.3,1.4,0.9,-,0.8,0.8
187,Terem Moffi,8,4,1.6,0.9,0.5,0.4,1.2,1.2
188,Kasper Dolberg,6,2,1.5,0.4,1.1,0.1,0.7,0.7
189,Nicolas Cozza,2,2,0.2,0.5,0.6,-,0.4,0.4
