,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Neymar,13,6,4.7,6,4.1,0.1,3.1,3.1
1,Kylian Mbappé,18,5,4.4,2.8,1.1,0.9,1.3,1.3
2,Ángel Di María,8,14,2.8,2.6,0.8,0.2,1.1,1.1
3,Dimitri Payet,9,4,2.9,2.3,1.4,0.1,2.3,2.3
4,Téji Savanier,6,2,1.6,1.7,2.9,-,0.8,0.8
5,Wissam Ben Yedder,18,4,2.5,1.3,0.7,0.3,1.5,1.5
6,Idrissa Gueye,1,2,0.6,1.1,1.1,0.1,0.7,0.7
7,Marco Verratti,-,5,0.1,1.3,1.7,-,1.1,1.1
8,Mounir Chouiar,4,-,2,3.5,1,0.2,1.8,1.8
9,Hassane Kamara,2,-,1.3,1.6,1,0.1,0.7,0.7
10,Marquinhos,3,1,0.6,0.4,0.3,-,0.5,0.5
11,Mauro Icardi,12,2,1.8,0.3,0.5,0.6,0.2,0.2
12,Andy Delort,9,3,3.2,1.1,1.5,0.8,1,1
13,Victor Osimhen,13,4,3.2,0.6,1.5,1.2,1.4,1.4
14,Pierre Lees-Melou,5,6,2.1,1,1.3,-,1.2,1.2
15,Júlio Tavares,5,2,2.2,0.3,2,0.3,1.3,1.3
16,Raphinha,5,3,2,2.2,1.5,0.1,1.5,1.5
17,Zinedine Ferhat,3,4,1.7,1.9,2.1,0.3,1.7,1.7
18,Renato Sanches,3,1,1.6,2.6,1.4,0.1,1.7,1.7
19,Islam Slimani,9,7,2.9,0.4,0.9,0.7,1.7,1.7
20,Eduardo Camavinga,1,2,0.6,0.8,2.4,-,0.8,0.8
21,Nicolas de Préville,6,4,1.9,1.5,2.8,0.1,2.3,2.3
22,Aleksandr Golovin,3,4,1.5,1.6,1.4,-,0.6,0.6
23,Benjamin André,2,1,0.5,0.6,1.4,-,0.8,0.8
24,Adam Ounas,2,4,1.3,2.8,1.8,-,1.4,1.4
25,Baptiste Santamaría,1,1,1.3,1.1,1.1,-,0.9,0.9
26,Yunis Abdelhamid,3,-,0.7,0.7,0.6,-,0.2,0.2
27,Fabien Centonze,-,3,0.3,1.1,1.3,0.1,0.9,0.9
28,Lucas Deaux,2,1,0.9,0.5,1.3,0.1,0.4,0.4
29,Jordan Amavi,1,1,0.6,1.2,0.7,-,0.7,0.7
30,Valentin Rongier,-,2,1.6,1.2,0.8,-,0.9,0.9
31,Angelo Fulgini,1,1,1.8,2.5,2.8,0.1,1.9,1.9
32,Wylan Cyprien,7,3,2.9,0.7,1.6,0.1,0.8,0.8
33,Xavier Chavalerin,1,3,0.9,0.5,0.4,0.2,0.4,0.4
34,Moussa Dembélé,16,2,2.1,0.9,0.9,0.4,2.1,2.1
35,Gaëtan Laborde,6,5,2.3,1.2,1.1,0.3,1.3,1.3
36,Tiémoué Bakayoko,1,2,1.2,1.8,2.9,-,1.5,1.5
37,Juan Bernat,-,4,0.3,1.6,0.9,-,0.8,0.8
38,Gil Dias,-,-,1.2,1.6,1.1,0.1,1.1,1.1
39,Dénis Bouanga,10,3,3,2.2,1.3,0.3,2.3,2.3
40,Gerónimo Rulli,-,-,-,-,0.3,-,-,-
41,Predrag Rajkovic,-,-,-,-,0.4,-,-,-
42,Pablo,4,-,0.7,0.2,0.4,-,0.3,0.3
43,Houssem Aouar,3,4,1.8,2.6,1.7,0.1,1.5,1.5
44,Gautier Larsonneur,-,-,-,-,0.1,-,-,-
45,Ludovic Ajorque,8,4,1.9,0.3,0.8,0.2,0.6,0.6
46,Bouna Sarr,1,3,1,1.8,1.6,0.1,1.2,1.2
47,Nicolas Pallois,-,-,0.7,1,0.9,0.1,0.3,0.3
48,Presnel Kimpembe,-,-,0.4,0.8,1.1,-,0.1,0.1
49,Habib Maïga,1,2,1.1,1.7,1,-,1.1,1.1
50,Stanley Nsoki,-,1,0.2,1.5,0.8,-,0.3,0.3
51,Andrei Girotto,1,-,0.9,0.1,0.7,0.1,-,-
52,Boubacar Kamara,1,2,0.6,0.6,1.2,-,0.4,0.4
53,Dimitri Liénard,2,3,1.5,0.7,0.3,0.1,0.6,0.6
54,Faitout Maouassa,3,1,0.5,0.9,1.4,0.1,0.7,0.7
55,Marcelo,-,-,0.5,-,0.5,-,0.1,0.1
56,Hamari Traoré,-,5,0.8,0.9,0.6,0.1,0.3,0.3
57,Maxwel Cornet,4,3,1.1,0.9,1.3,0.1,1,1
58,Habib Diallo,12,3,2.9,0.8,0.8,0.7,1.3,1.3
