,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg,P,W,D,L,GF,GA,GD,Pts
0,Atalanta,98,18.7,78,2,55.4,83.9,16.8,6.93,11.0,16.5,11.0,14.1,1.3,18.7,7.1,9.1,13.6,38,23,9,6,98,48,50,78
1,Juventus,76,17.9,83,3,56.4,88.0,11.8,6.88,12.4,14.2,9.7,13.4,1.9,17.9,6.4,11.4,12.8,38,26,5,7,76,43,33,83
2,Inter,81,16.3,98,7,52.8,85.1,14.2,6.85,12.0,13.8,9.7,14.8,2.5,16.3,6.1,8.2,11.8,38,24,10,4,81,36,45,82
3,Lazio,79,15.3,97,3,50.1,84.2,12.4,6.84,13.5,14.4,9.9,12.2,1.9,15.3,5.9,9.5,10.5,38,24,6,8,79,42,37,78
4,Roma,77,16.9,103,7,52.0,84.7,14.4,6.8,11.3,13.0,10.5,14.2,1.2,16.9,5.7,11.0,11.4,38,21,7,10,77,51,26,70
5,AC Milan,63,16.3,93,6,53.6,84.5,14.6,6.79,11.7,15.3,11.0,14.3,1.7,16.3,5.2,10.6,12.1,38,19,9,10,63,46,17,66
6,Sassuolo,69,14.6,97,3,56.1,86.8,9.4,6.74,13.6,14.6,9.2,13.1,1.7,14.6,5.2,12.3,14.7,38,14,9,15,69,63,6,51
7,Napoli,61,18.1,74,2,57.2,88.2,10.8,6.73,10.7,12.8,8.7,11.1,1.4,18.1,6.1,9.5,13.8,38,18,8,12,61,50,11,62
8,Torino,46,11.7,87,7,48.5,79.7,19.3,6.7,16.3,15.1,13.0,15.9,1.7,11.7,4.0,11.8,14.2,38,11,7,20,46,68,-22,40
9,Fiorentina,51,14.4,99,6,48.2,81.6,12.8,6.67,11.6,15.1,9.1,14.4,1.3,14.4,4.8,11.3,13.2,38,12,13,13,51,48,3,49
10,Parma Calcio 1913,56,12.2,81,1,45.3,79.4,15.1,6.67,17.8,16.2,10.3,13.7,1.6,12.2,4.1,8.6,12.3,38,14,7,17,56,57,-1,49
11,Verona,47,11.7,83,7,49.9,78.1,19.6,6.66,15.6,12.8,10.4,14.6,2.4,11.7,4.1,8.6,12.9,38,12,13,13,47,51,-4,49
12,Udinese,37,12.3,73,3,45.9,81.2,13.3,6.64,15.5,15.7,9.9,13.3,1.7,12.3,3.8,9.2,10.9,38,12,9,17,37,51,-14,45
13,Cagliari,52,11.7,103,6,46.6,80.5,14.4,6.62,16.2,14.7,8.9,14.1,1.5,11.7,3.7,8.5,11.8,38,11,12,15,52,56,-4,45
14,Bologna,52,14.6,103,7,51.8,81.7,17.8,6.61,14.2,15.1,10.8,15.7,2.2,14.6,4.4,9.2,14.9,38,12,11,15,52,65,-13,47
15,Sampdoria,48,14.8,101,7,44.4,77.5,16.3,6.6,13.4,15.3,10.4,14.8,1.7,14.8,4.6,8.1,12.1,38,12,6,20,48,65,-17,42
16,Lecce,52,13.9,93,5,46.0,81.8,13.1,6.55,18.4,13.8,10.1,12.3,1.8,13.9,4.8,7.8,12.9,38,9,8,21,52,85,-33,35
17,Genoa,47,11.4,97,10,49.3,81.2,16.5,6.54,15.5,14.5,10.1,15.0,1.5,11.4,4.1,8.8,13.5,38,10,9,19,47,73,-26,39
18,Brescia,35,11.0,89,6,42.9,75.5,13.7,6.48,18.3,13.3,9.5,13.3,1.8,11.0,3.8,7.2,15.3,38,6,7,25,35,79,-44,25
19,SPAL 2013,27,12.3,95,4,47.6,81.1,15.1,6.48,17.3,14.6,10.4,14.2,1.4,12.3,3.3,9.4,13.8,38,5,5,28,27,77,-50,20
