,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
53,Felix Zwayer,16,24.94,0.78,0.31,3.94,63,0.06,1
54,Daniel Siebert,16,20.94,0.64,0.19,3.38,54,0.06,1
55,Tobias Stieler,15,24.6,0.88,0.47,3.0,45,0.2,3
56,Sascha Stegemann,15,24.8,0.76,0.2,3.6,54,0.13,2
57,Bastian Dankert,14,28.07,0.88,0.36,5.57,78,0.07,1
58,Harm Osmers,14,24.71,0.78,0.36,2.86,40,0.0,0
59,Sven Jablonski,14,23.71,0.74,0.64,2.43,34,0.0,0
60,Markus Schmidt,14,21.86,0.74,0.36,4.07,57,0.43,6
61,Guido Winkmann,14,23.64,0.73,0.14,3.79,53,0.0,0
62,Robert Schröder,13,27.15,0.96,0.31,4.0,52,0.15,2
63,Marco Fritz,13,25.08,0.75,0.23,3.23,42,0.0,0
64,Christian Dingert,12,24.0,0.82,0.42,4.25,51,0.17,2
65,Daniel Schlager,12,24.75,0.78,0.42,3.42,41,0.33,4
66,Frank Willenborg,11,25.09,0.79,0.45,4.36,48,0.09,1
67,Benjamin Cortus,11,28.09,1.07,0.36,4.64,51,0.09,1
68,Robert Hartmann,10,26.3,0.81,0.4,3.6,36,0.1,1
69,Martin Petersen,10,21.9,0.75,0.1,3.9,39,0.3,3
70,Sören Storks,10,27.3,0.92,0.2,3.4,34,0.0,0
71,Florian Badstübner,10,25.4,0.85,0.6,3.2,32,0.0,0
72,Patrick Ittrich,9,25.78,0.87,0.56,3.0,27,0.22,2
73,Deniz Aytekin,5,27.8,0.96,0.8,4.4,22,0.2,1
74,D.M. Jöllenbeck,5,25.8,0.95,0.6,2.2,11,0.0,0
75,Tobias Reichel,5,26.2,0.83,0.8,2.2,11,0.0,0
76,Benjamin Brand,4,25.0,0.65,0.5,4.0,16,0.0,0
77,Dr. Felix Brych,18,23.11,0.73,0.11,3.22,58,0.0,0
78,Sven Jablonski,16,19.69,0.71,0.19,3.75,60,0.06,1
79,Marco Fritz,16,22.81,0.71,0.25,3.5,56,0.0,0
80,Daniel Siebert,16,23.75,0.75,0.19,3.5,56,0.0,0
81,Daniel Schlager,16,23.69,0.65,0.38,3.75,60,0.06,1
82,Harm Osmers,15,20.67,0.71,0.33,2.73,41,0.13,2
83,Deniz Aytekin,15,24.27,0.71,0.4,3.47,52,0.27,4
84,Robert Schröder,15,23.6,0.72,0.2,3.8,57,0.07,1
85,Sascha Stegemann,15,22.87,0.75,0.33,3.07,46,0.13,2
86,Bastian Dankert,14,26.57,0.84,0.14,3.64,51,0.07,1
87,Felix Zwayer,13,23.54,0.77,0.46,3.62,47,0.0,0
88,Robert Hartmann,13,27.15,0.77,0.38,3.92,51,0.0,0
89,Patrick Ittrich,13,27.69,0.94,0.31,4.38,57,0.08,1
90,Martin Petersen,13,24.77,0.72,0.23,3.54,46,0.15,2
91,D.M. Jöllenbeck,13,26.38,0.86,0.23,3.54,46,0.08,1
92,Florian Badstübner,13,22.85,0.69,0.23,2.85,37,0.08,1
93,Tobias Stieler,12,23.33,0.71,0.33,3.25,39,0.17,2
94,Frank Willenborg,11,23.45,0.77,0.55,4.18,46,0.27,3
95,Tobias Reichel,11,24.0,0.79,0.09,2.73,30,0.09,1
96,Christian Dingert,10,23.7,0.67,0.3,3.5,35,0.0,0
97,Benjamin Cortus,10,22.8,0.65,0.2,3.8,38,0.1,1
98,Tobias Welz,8,22.75,0.58,0.13,2.5,20,0.0,0
99,Benjamin Brand,8,24.63,0.78,0.5,2.5,20,0.0,0
100,Robert Schörgenhofer,1,28.0,0.8,0.0,3.0,3,0.0,0
101,Deniz Aytekin,19,24.95,0.73,0.42,3.89,74,0.16,3
102,Dr. Felix Brych,18,22.78,0.65,0.39,3.67,66,0.06,1
103,Robert Schröder,16,23.56,0.81,0.5,3.75,60,0.25,4
104,Harm Osmers,15,25.0,0.8,0.27,4.87,73,0.33,5
105,Christian Dingert,15,25.07,0.71,0.4,4.6,69,0.13,2
106,Felix Zwayer,15,22.93,0.7,0.33,4.13,62,0.07,1
107,Tobias Stieler,15,20.13,0.58,0.27,2.33,35,0.07,1
108,Sven Jablonski,15,20.67,0.55,0.4,4.4,66,0.07,1
109,Daniel Siebert,15,24.73,0.69,0.13,4.13,62,0.13,2
110,Daniel Schlager,15,23.2,0.76,0.4,4.87,73,0.27,4
111,Sascha Stegemann,14,23.21,0.76,0.21,4.79,67,0.07,1
112,Florian Badstübner,14,22.14,0.76,0.43,3.57,50,0.14,2
113,Bastian Dankert,13,25.77,0.84,0.23,3.15,41,0.23,3
114,Frank Willenborg,13,21.46,0.64,0.62,4.46,58,0.23,3
115,Marco Fritz,13,23.85,0.71,0.38,3.31,43,0.0,0
116,D.M. Jöllenbeck,13,24.31,0.77,0.69,2.92,38,0.23,3
117,Robert Hartmann,12,20.58,0.66,0.33,3.58,43,0.0,0
118,Tobias Welz,10,23.2,0.72,0.3,4.7,47,0.4,4
119,Martin Petersen,10,23.4,0.67,0.2,4.8,48,0.0,0
120,Benjamin Cortus,9,25.78,0.91,0.33,5.0,45,0.11,1
121,Patrick Ittrich,9,25.33,0.91,0.33,3.44,31,0.0,0
122,Tobias Reichel,9,28.0,0.93,0.11,3.44,31,0.0,0
123,Benjamin Brand,6,29.83,1.03,0.17,4.67,28,0.33,2
124,Timo Gerach,2,26.0,0.79,0.5,3.5,7,0.0,0
125,Robin Braun,1,22.0,0.79,1.0,3.0,3,0.0,0
