,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,X.E. Fernández,21,28.71,0.86,0.43,5.86,123,0.29,6
1,J.M.S. Martínez,21,29.86,0.97,0.38,5.57,117,0.24,5
2,R. deB. Bengoetxea,20,26.8,0.8,0.2,5.35,107,0.1,2
3,A.U. Mallenco,20,29.2,0.9,0.3,4.6,92,0.1,2
4,Mario Melero López,20,27.45,0.79,0.3,4.95,99,0.15,3
5,A.M.M. Lahoz,19,26.58,0.82,0.47,5.58,106,0.26,5
6,E.P. Iglesias,19,29.42,0.9,0.47,4.16,79,0.0,0
7,C.d.C. Grande,19,25.53,0.75,0.26,4.21,80,0.16,3
8,I.I. Villanueva,19,24.79,0.77,0.42,4.42,84,0.53,10
9,Jesús Gil Manzano,19,25.68,0.69,0.37,5.58,106,0.32,6
10,Juan Martínez Munuera,19,28.11,0.87,0.47,4.95,94,0.16,3
11,Santiago Jaime Latre,19,27.05,0.77,0.21,4.68,89,0.21,4
12,J.L.G. González,19,23.79,0.68,0.11,4.11,78,0.26,5
13,J.L.M. Montero,19,26.79,0.81,0.47,5.68,108,0.26,5
14,Pablo González Fuertes,19,26.79,0.85,0.21,4.53,86,0.26,5
15,G.C. Fernández,19,28.95,0.85,0.37,3.79,72,0.21,4
16,Javier Alberola Rojas,18,25.67,0.72,0.33,4.17,75,0.11,2
17,Adrián Cordero Vega,18,26.78,0.79,0.44,4.89,88,0.17,3
18,David Medié Jiménez,17,25.76,0.8,0.35,4.53,77,0.18,3
19,A.J.H. Hernández,16,28.06,0.87,0.25,6.94,111,0.19,3
20,A.M.M. Lahoz,21,27.29,0.84,0.14,5.24,110,0.24,5
21,X.E. Fernández,20,30.3,1.0,0.3,6.6,132,0.5,10
22,Juan Martínez Munuera,20,30.8,0.97,0.4,5.15,103,0.15,3
23,Javier Alberola Rojas,20,25.1,0.81,0.35,3.3,66,0.15,3
24,G.C. Fernández,20,30.25,0.96,0.3,4.95,99,0.2,4
25,Adrián Cordero Vega,20,23.6,0.76,0.7,4.05,81,0.15,3
26,C.d.C. Grande,19,25.0,0.84,0.42,3.74,71,0.11,2
27,Jesús Gil Manzano,19,27.63,0.9,0.63,4.42,84,0.32,6
28,César Soto Grado,19,28.74,0.91,0.53,5.26,100,0.05,1
29,A.J.H. Hernández,19,26.0,0.83,0.47,5.32,101,0.16,3
30,J.M.S. Martínez,19,27.68,0.91,0.16,5.58,106,0.32,6
31,Mario Melero López,19,30.26,1.11,0.47,5.89,112,0.21,4
32,J.L.M. Montero,19,24.42,0.78,0.37,3.84,73,0.37,7
33,David Medié Jiménez,19,27.11,0.92,0.58,6.11,116,0.26,5
34,Pablo González Fuertes,19,32.47,1.23,0.37,5.79,110,0.16,3
35,E.P. Iglesias,18,28.78,1.06,0.39,5.28,95,0.39,7
36,J.L.G. González,18,26.28,0.88,0.33,4.22,76,0.17,3
37,Valentín Pizarro Gómez,18,28.44,1.03,0.39,3.5,63,0.22,4
38,R. deB. Bengoetxea,17,22.18,0.73,0.41,5.41,92,0.18,3
39,Santiago Jaime Latre,17,26.71,1.03,0.12,4.53,77,0.41,7
