,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
33,Mikael Lesage,13,25.62,0.73,0.23,4.15,54,0.38,5
34,Florent Batta,12,29.75,0.92,0.5,2.75,33,0.08,1
35,Eric Wattellier,12,22.42,0.64,0.5,2.58,31,0.25,3
36,Clément Turpin,12,24.92,0.69,0.25,3.25,39,0.0,0
37,Jeremy Stinat,12,25.83,0.74,0.33,3.17,38,0.25,3
38,Jeremie Pignard,12,21.75,0.66,0.25,2.75,33,0.33,4
39,Benoît Bastien,11,29.45,0.81,0.27,5.0,55,0.18,2
40,Stéphanie Frappart,11,24.36,0.68,0.27,3.82,42,0.09,1
41,Benoît Millot,10,25.9,0.71,0.2,6.0,60,0.1,1
42,Olivier Thual,10,28.1,0.75,0.4,2.3,23,0.3,3
43,Jerome Miguelgorry,4,27.0,0.79,0.25,2.75,11,0.75,3
44,Alain Bieri,1,15.0,0.47,0.0,1.0,1,1.0,1
45,Jerome Brisard,20,25.15,0.84,0.55,3.7,74,0.55,11
46,Ruddy Buquet,20,22.2,0.63,0.3,3.6,72,0.1,2
47,Benoît Bastien,19,25.11,0.77,0.32,3.63,69,0.47,9
48,Mikael Lesage,19,23.11,0.67,0.47,3.53,67,0.21,4
49,Benoît Millot,18,25.89,0.8,0.72,4.28,77,0.22,4
50,Willy Delajod,18,25.67,0.75,0.44,3.67,66,0.61,11
51,Clément Turpin,18,26.56,0.83,0.56,2.94,53,0.67,12
52,Johan Hamel,17,27.53,0.78,0.59,3.65,62,0.29,5
53,Hakim Ben El Hadj,17,25.47,0.84,0.41,3.41,58,0.18,3
54,François Letexier,17,27.35,0.8,0.53,4.0,68,0.29,5
55,Eric Wattellier,17,24.47,0.75,0.41,2.41,41,0.06,1
56,Jeremie Pignard,17,22.65,0.66,0.24,4.18,71,0.24,4
57,Frank Schneider,16,25.75,0.82,0.63,4.19,67,0.19,3
58,Antony Gautier,16,26.19,0.76,0.38,2.81,45,0.19,3
59,Stéphanie Frappart,16,23.81,0.7,0.13,3.88,62,0.06,1
60,Aurélien Petit,15,27.73,0.83,0.73,4.0,60,0.33,5
61,Jerome Miguelgorry,15,26.8,0.86,0.27,4.07,61,0.07,1
62,Florent Batta,15,30.87,0.87,0.33,4.27,64,0.07,1
63,Amaury Delerue,15,25.67,0.76,0.13,4.73,71,0.27,4
64,Jeremy Stinat,15,26.2,0.76,0.6,4.53,68,0.07,1
65,Karim Abed,14,27.43,0.8,0.36,3.5,49,0.43,6
66,Bastien Dechepy,14,29.14,0.89,0.43,3.5,49,0.29,4
67,Thomas Leonard,12,22.17,0.6,0.08,3.75,45,0.17,2
68,Jerome Brisard,20,21.05,0.61,0.5,2.8,56,0.25,5
69,François Letexier,20,22.6,0.67,0.65,4.7,94,0.25,5
70,Mikael Lesage,20,21.85,0.66,0.5,4.2,84,0.25,5
71,Jeremie Pignard,20,23.95,0.76,0.1,4.3,86,0.4,8
72,Benoît Bastien,19,22.63,0.7,0.26,4.53,86,0.16,3
73,Ruddy Buquet,19,23.21,0.74,0.42,4.47,85,0.32,6
74,Eric Wattellier,19,19.05,0.54,0.21,3.05,58,0.21,4
75,Jeremy Stinat,19,24.58,0.75,0.37,3.84,73,0.21,4
76,Johan Hamel,18,23.56,0.67,0.22,3.22,58,0.39,7
77,Thomas Leonard,18,22.28,0.66,0.28,3.72,67,0.39,7
78,Benoît Millot,18,24.72,0.76,0.17,3.89,70,0.17,3
79,Amaury Delerue,18,23.5,0.68,0.33,5.06,91,0.22,4
80,Antony Gautier,18,21.11,0.56,0.33,2.72,49,0.17,3
81,Clément Turpin,18,24.94,0.68,0.44,3.83,69,0.17,3
82,Florent Batta,17,26.24,0.8,0.12,3.24,55,0.35,6
83,Stéphanie Frappart,17,22.71,0.76,0.12,3.88,66,0.24,4
84,Pierre Gaillouste,17,26.94,0.69,0.12,3.53,60,0.29,5
85,Bastien Dechepy,17,24.88,0.74,0.18,3.59,61,0.41,7
86,Romain Lissorgue,16,24.94,0.73,0.5,3.0,48,0.44,7
87,Willy Delajod,15,24.47,0.8,0.6,3.87,58,0.47,7
88,Hakim Ben El Hadj,12,25.33,0.73,0.25,3.08,37,0.0,0
89,António Nobre,1,20.0,0.65,0.0,2.0,2,0.0,0
90,H.F.F.C.M. Miguel,1,26.0,0.63,0.0,2.0,2,0.0,0
91,L.M.B. Godinho,1,19.0,0.83,1.0,5.0,5,0.0,0
92,V.J.F. Ferreira,1,21.0,0.84,0.0,3.0,3,0.0,0
93,Gael Angoula,1,17.0,0.45,1.0,3.0,3,0.0,0
94,Eric Wattellier,25,19.8,0.51,0.44,2.44,61,0.12,3
95,Willy Delajod,24,27.79,0.82,0.38,2.92,70,0.25,6
96,Jeremy Stinat,24,26.79,0.72,0.33,3.46,83,0.21,5
97,Benoît Millot,23,25.91,0.68,0.26,3.35,77,0.22,5
98,Ruddy Buquet,22,24.36,0.7,0.5,3.82,84,0.5,11
99,Bastien Dechepy,22,24.27,0.7,0.27,3.05,67,0.27,6
100,Thomas Leonard,21,23.86,0.7,0.57,3.0,63,0.38,8
101,Benoît Bastien,21,26.95,0.79,0.43,3.81,80,0.19,4
102,Clément Turpin,21,23.33,0.63,0.05,2.57,54,0.29,6
103,Jerome Brisard,20,25.0,0.71,0.25,3.25,65,0.15,3
104,Stéphanie Frappart,20,24.9,0.78,0.25,3.45,69,0.25,5
105,Jeremie Pignard,20,22.1,0.58,0.75,3.85,77,0.35,7
106,François Letexier,19,24.53,0.6,0.42,3.84,73,0.16,3
107,Pierre Gaillouste,19,24.63,0.81,0.11,3.11,59,0.37,7
108,Marc Bollengier,19,26.32,0.78,0.47,2.74,52,0.21,4
109,Florent Batta,18,26.72,0.79,0.44,2.61,47,0.11,2
110,Mathieu Vernice,16,28.38,0.85,0.5,3.13,50,0.56,9
111,Hakim Ben El Hadj,15,23.73,0.65,0.2,3.8,57,0.2,3
112,Johan Hamel,8,21.13,0.55,0.63,2.88,23,0.25,2
113,Karim Abed,1,19.0,0.68,0.0,2.0,2,0.0,0
114,Gustavo Correia,1,24.0,0.62,2.0,3.0,3,0.0,0
115,M.B. Nogueira,1,30.0,0.67,0.0,4.0,4,1.0,1
