,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
83,Daniele Orsato,15,29.07,0.97,0.13,5.13,77,0.13,2
84,Luca Pairetto,15,28.67,1.05,0.47,3.8,57,0.4,6
85,Michael Fabbri,14,23.57,0.81,0.36,4.57,64,0.21,3
86,Fabio Maresca,14,26.64,0.88,0.07,6.0,84,0.29,4
87,Paolo Valeri,13,27.0,0.99,0.38,4.38,57,0.23,3
88,Rosario Abisso,13,27.23,0.92,0.62,4.31,56,0.31,4
89,Marco Piccinini,13,27.85,0.95,0.38,3.62,47,0.08,1
90,Fabrizio Pasqua,12,25.0,0.85,0.25,3.42,41,0.25,3
91,Juan Luca Sacchi,12,25.75,0.86,0.33,4.17,50,0.08,1
92,Massimiliano Irrati,11,27.73,0.97,0.09,4.55,50,0.0,0
93,Marco Guida,10,27.7,0.94,0.5,4.2,42,0.3,3
94,Federico La Penna,10,28.0,0.96,0.4,4.8,48,0.4,4
95,Gianluca Manganiello,10,25.4,0.78,0.2,3.0,30,0.1,1
96,Francesco Fourneau,9,29.0,0.88,0.67,5.56,50,0.22,2
97,Valerio Marini,7,30.57,1.06,0.71,4.29,30,0.0,0
98,Giovanni Ayroldi,7,26.0,0.94,0.57,3.86,27,0.43,3
99,Gianluca Aureliano,6,26.17,1.02,0.67,5.5,33,0.0,0
100,Livio Marinelli,6,23.83,0.68,0.17,4.0,24,0.17,1
101,Antonio Giua,6,31.0,1.06,0.33,3.83,23,0.33,2
102,Simone Sozza,6,25.0,0.92,0.17,3.33,20,0.33,2
103,Ivano Pezzuto,5,28.4,0.96,0.8,3.0,15,0.0,0
104,Alessandro Prontera,5,28.6,1.1,0.4,3.4,17,0.4,2
105,Manuel Volpi,5,32.2,1.2,0.4,3.2,16,0.0,0
106,Federico Dionisi,5,29.4,1.07,0.4,4.4,22,0.0,0
107,Davide Ghersini,4,25.75,0.98,1.0,4.5,18,0.0,0
108,Antonio Di Martino,4,28.75,1.07,0.25,4.75,19,0.75,3
109,Antonio Rapuano,4,27.5,1.06,0.5,4.75,19,0.0,0
110,Luca Massimi,4,31.25,1.12,0.5,4.5,18,0.25,1
111,Eugenio Abbattista,3,26.33,0.81,0.0,5.0,15,0.33,1
112,Marco Serra,2,33.0,0.77,0.0,4.5,9,0.0,0
113,Daniele Paterna,2,21.0,1.14,0.0,2.0,4,0.0,0
114,Alberto Santoro,2,27.0,1.1,0.5,4.0,8,0.0,0
115,Matteo Gariglio,2,25.0,1.0,0.5,2.0,4,0.0,0
116,Matteo Marchetti,2,32.0,1.6,0.0,4.0,8,0.0,0
117,Riccardo Ros,1,37.0,1.06,1.0,6.0,6,1.0,1
118,Lorenzo Maggioni,1,21.0,0.75,0.0,1.0,1,0.0,0
119,Giacomo Camplone,1,20.0,0.8,1.0,4.0,4,0.0,0
120,Francesco Meraviglia,1,22.0,0.73,0.0,3.0,3,1.0,1
121,Daniele Doveri,17,26.82,0.92,0.35,3.47,59,0.18,3
122,Marco Di Bello,17,27.18,0.87,0.47,4.29,73,0.24,4
123,Fabio Maresca,16,24.75,0.9,0.38,4.5,72,0.31,5
124,Daniele Chiffi,16,24.88,0.74,0.31,3.63,58,0.19,3
125,Daniele Orsato,15,28.0,0.87,0.27,5.87,88,0.13,2
126,Maurizio Mariani,14,28.79,0.99,0.21,4.86,68,0.36,5
127,Marco Guida,14,27.14,0.74,0.29,4.79,67,0.21,3
128,Davide Massa,14,26.29,0.83,0.14,4.21,59,0.36,5
129,Livio Marinelli,14,21.86,0.68,0.29,3.93,55,0.0,0
130,Simone Sozza,14,26.43,0.79,0.29,4.36,61,0.21,3
131,Rosario Abisso,13,25.92,0.88,0.46,4.69,61,0.31,4
132,Paolo Valeri,12,30.25,1.01,0.42,5.0,60,0.17,2
133,Michael Fabbri,12,23.67,0.8,0.17,3.67,44,0.5,6
134,Luca Pairetto,12,26.58,0.87,0.92,4.33,52,0.25,3
135,Gianluca Manganiello,12,24.08,0.88,0.17,3.5,42,0.17,2
136,Massimiliano Irrati,11,27.0,0.83,0.64,5.64,62,0.27,3
137,Juan Luca Sacchi,11,25.55,0.78,0.09,3.45,38,0.27,3
138,Francesco Fourneau,11,27.45,0.88,0.36,4.73,52,0.27,3
139,Luca Massimi,11,29.27,0.95,0.18,4.27,47,0.27,3
140,Giovanni Ayroldi,11,29.82,1.07,0.18,5.36,59,0.18,2
141,Alessandro Prontera,10,26.7,0.89,0.5,4.7,47,0.4,4
