,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Manchester City,102,19.6,60,4,66.6,89.3,13.6,7.05
1,Liverpool,85,15.6,38,1,63.5,84.3,17.6,6.94
2,Leicester,67,14.2,41,3,57.4,82.8,17.8,6.87
3,Chelsea,69,16.4,60,0,60.6,85.2,18.7,6.86
4,Manchester United,66,14.3,73,0,55.9,83.6,15,6.83
5,Wolves,51,12.1,57,2,48.0,79.2,20.7,6.83
6,Tottenham,61,11.7,82,3,51.9,81.4,17.1,6.78
7,Burnley,43,10.2,67,0,41.0,70.0,25.5,6.74
8,West Ham,49,11,62,1,43.5,76.1,22.9,6.72
9,Sheffield United,39,9.3,61,2,42.1,74.4,25.3,6.72
10,Arsenal,56,10.7,86,5,53.7,83.6,13.5,6.71
11,Southampton,51,13.1,53,4,48.6,73.4,21.7,6.71
12,Everton,44,12.3,70,3,48.8,78.0,23.1,6.68
13,Crystal Palace,31,9.9,62,2,44.3,76.5,20.8,6.68
14,Newcastle,38,10.5,66,3,37.8,75.3,19.8,6.65
15,Brighton,39,12.2,57,2,52.2,81.0,18.7,6.63
16,Aston Villa,41,12,68,1,43.3,76.9,19,6.62
17,Bournemouth,40,10.2,74,3,43.4,75.4,21.1,6.60
18,Watford,36,11.2,76,3,41.9,73.5,21.9,6.59
19,Norwich,26,10.8,68,3,49.1,80.5,14.1,6.52
