Name,Position,Date of Birth,Age,Nationality,Market Value
Alex Meret,Goalkeeper,"Mar 22, 1997",26,Italy,€18.00m
Pierluigi Gollini,Goalkeeper,"Mar 18, 1995",28,Italy,€4.50m
Salvatore Sirigu,Goalkeeper,"Jan 12, 1987",36,Italy,€500k
Hubert Idasiak,Goalkeeper,"Feb 3, 2002",21,Poland,€150k
Valerio Boffelli,Goalkeeper,"Sep 4, 2004",18,Italy,€75k
Davide Marfella,Goalkeeper,"Sep 15, 1999",23,Italy,€50k
Min-jae Kim,Centre-Back,"Nov 15, 1996",26,"Korea, South",€60.00m
Amir Rrahmani,Centre-Back,"Feb 24, 1994",29,Kosovo,€25.00m
Leo Østigård,Centre-Back,"Nov 28, 1999",23,Norway,€7.00m
Juan Jesus,Centre-Back,"Jun 10, 1991",32,Brazil,€3.50m
Mathías Olivera,Left-Back,"Oct 31, 1997",25,Uruguay,€18.00m
Mário Rui,Left-Back,"May 27, 1991",32,Portugal,€8.00m
Giovanni Di Lorenzo,Right-Back,"Aug 4, 1993",29,Italy,€25.00m
Alessandro Zanoli,Right-Back,"Oct 3, 2000",22,Italy,€6.00m
Bartosz Bereszyński,Right-Back,"Jul 12, 1992",30,Poland,€1.60m
Stanislav Lobotka,Defensive Midfield,"Nov 25, 1994",28,Slovakia,€40.00m
Diego Demme,Defensive Midfield,"Nov 21, 1991",31,Germany,€3.00m
Frank Anguissa,Central Midfield,"Nov 16, 1995",27,Cameroon,€40.00m
Piotr Zieliński,Central Midfield,"May 20, 1994",29,Poland,€35.00m
Tanguy Ndombélé,Central Midfield,"Dec 28, 1996",26,France,€22.00m
Karim Zedadka,Left Midfield,"Jun 9, 2000",23,Algeria,€200k
Eljif Elmas,Attacking Midfield,"Sep 24, 1999",23,North Macedonia,€26.00m
Gianluca Gaetano,Attacking Midfield,"May 5, 2000",23,Italy,€4.50m
Khvicha Kvaratskhelia,Left Winger,"Feb 12, 2001",22,Georgia,€85.00m
Alessio Zerbin,Left Winger,"Mar 3, 1999",24,Italy,€4.00m
Hirving Lozano,Right Winger,"Jul 30, 1995",27,Mexico,€25.00m
Matteo Politano,Right Winger,"Aug 3, 1993",29,Italy,€15.00m
Adam Ounas,Right Winger,"Nov 11, 1996",26,Algeria,€7.00m
Giacomo Raspadori,Second Striker,"Feb 18, 2000",23,Italy,€35.00m
Victor Osimhen,Centre-Forward,"Dec 29, 1998",24,Nigeria,€120.00m
Giovanni Simeone,Centre-Forward,"Jul 5, 1995",27,Argentina,€15.00m
