Name,Position,Date of Birth,Age,Nationality,Market Value
Emil Audero,Goalkeeper,"Jan 18, 1997",26,Italy,€6.00m
Nikita Contini,Goalkeeper,"May 21, 1996",27,Italy,€500k
Martin Turk,Goalkeeper,"Aug 21, 2003",19,Slovenia,€400k
Elia Tantalocchi,Goalkeeper,"Jun 30, 2004",19,Italy,€100k
Nicola Ravaglia,Goalkeeper,"Dec 12, 1988",34,Italy,€100k
Federico Zorzi,Goalkeeper,"Mar 6, 2004",19,Italy,€10k
Koray Günter,Centre-Back,"Aug 16, 1994",28,Germany,€3.50m
Omar Colley,Centre-Back,"Oct 24, 1992",30,The Gambia,€3.00m
Bruno Amione,Centre-Back,"Jan 3, 2002",21,Argentina,€2.70m
Maxime Leverbe,Centre-Back,"Feb 15, 1997",26,France,€1.20m
Alex Ferrari,Centre-Back,"Jul 1, 1994",28,Italy,€1.00m
Bram Nuytinck,Centre-Back,"May 4, 1990",33,Netherlands,€1.00m
Jeison Murillo,Centre-Back,"May 27, 1992",31,Colombia,€1.00m
Marios Ikonomou,Centre-Back,"Oct 6, 1992",30,Greece,€300k
Lorenzo Villa,Centre-Back,"Jul 26, 2003",19,Italy,€75k
Arttu Lötjönen,Centre-Back,"Jan 28, 2004",19,Finland,€25k
Tommaso Augello,Left-Back,"Aug 30, 1994",28,Italy,€2.00m
Nicola Murru,Left-Back,"Dec 16, 1994",28,Italy,€1.00m
Alessandro Zanoli,Right-Back,"Oct 3, 2000",22,Italy,€6.00m
Fabio Depaoli,Right-Back,"Apr 24, 1997",26,Italy,€3.00m
Bartosz Bereszyński,Right-Back,"Jul 12, 1992",30,Poland,€1.60m
Andrea Conti,Right-Back,"Mar 2, 1994",29,Italy,€500k
Harry Winks,Defensive Midfield,"Feb 2, 1996",27,England,€10.00m
Tomás Rincón,Defensive Midfield,"Jan 13, 1988",35,Venezuela,€800k
Gerard Yepes,Defensive Midfield,"Aug 25, 2002",20,Spain,€500k
Emirhan İlkhan,Central Midfield,"Jun 1, 2004",19,Türkiye,€4.00m
Michaël Cuisance,Central Midfield,"Aug 16, 1999",23,France,€3.00m
Gonzalo Villar,Central Midfield,"Mar 23, 1998",25,Spain,€2.80m
Ronaldo Vieira,Central Midfield,"Jul 19, 1998",24,England,€2.00m
Flavio Paoletti,Central Midfield,"Jan 16, 2003",20,Italy,€800k
Simone Trimboli,Central Midfield,"Apr 19, 2002",21,Italy,€600k
Telasco Segovia,Central Midfield,"Apr 2, 2003",20,Venezuela,€500k
Antonio Candreva,Right Midfield,"Feb 28, 1987",36,Italy,€1.50m
Lorenzo Malagrida,Left Midfield,"Oct 24, 2003",19,Italy,€400k
Abdelhamid Sabiri,Attacking Midfield,"Nov 28, 1996",26,Morocco,€2.50m
Valerio Verre,Attacking Midfield,"Jan 11, 1994",29,Italy,€1.80m
Filip Djuricic,Attacking Midfield,"Jan 30, 1992",31,Serbia,€1.80m
Jesé,Left Winger,"Feb 26, 1993",30,Spain,€1.00m
Samuel Ntanda,Left Winger,"Jun 30, 2005",18,Belgium,-
Ignacio Pussetto,Right Winger,"Dec 21, 1995",27,Argentina,€2.50m
Mehdi Léris,Right Winger,"May 23, 1998",25,Algeria,€2.50m
Sam Lammers,Centre-Forward,"Apr 30, 1997",26,Netherlands,€2.00m
Manuel De Luca,Centre-Forward,"Jul 17, 1998",24,Italy,€2.00m
Manolo Gabbiadini,Centre-Forward,"Nov 26, 1991",31,Italy,€2.00m
Francesco Caputo,Centre-Forward,"Aug 6, 1987",35,Italy,€1.50m
Daniele Montevago,Centre-Forward,"Mar 18, 2003",20,Italy,€800k
Fabio Quagliarella,Centre-Forward,"Jan 31, 1983",40,Italy,€500k
Mihailo Ivanovic,Centre-Forward,"Nov 29, 2004",18,Serbia,€150k
