,Team,P,W,D,L,GF,GA,GD,Pts
0,Paris Saint-Germain,38,27,4,7,89,40,+49,85
1,Lens,38,25,9,4,68,29,+39,84
2,Marseille,38,22,7,9,67,40,+27,73
3,Rennes,38,21,5,12,69,39,+30,68
4,Lille,38,19,10,9,65,44,+21,67
5,Monaco,38,19,8,11,70,58,+12,65
6,Lyon,38,18,8,12,65,47,+18,62
7,Clermont Foot,38,17,8,13,45,49,-4,59
8,Nice,38,15,13,10,48,37,+11,58
9,Lorient,38,15,10,13,52,53,-1,55
10,Reims,38,12,15,11,45,45,0,51
11,Montpellier,38,15,5,18,65,62,+3,50
12,Toulouse,38,13,9,16,51,57,-6,48
13,Brest,38,11,11,16,44,54,-10,44
14,Strasbourg,38,9,13,16,51,59,-8,40
15,Nantes,38,7,15,16,37,55,-18,36
16,Auxerre,38,8,11,19,35,63,-28,35
17,AC Ajaccio,38,7,5,26,23,74,-51,26
18,Troyes,38,4,12,22,45,81,-36,24
19,Angers,38,4,6,28,33,81,-48,18
