,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
74,Pavel Kaderábek,3,4,1,0.3,0.6,-,0.4,0.4
75,Niklas Stark,1,-,0.5,-,1,-,0.1,0.1
76,Nuri Sahin,1,1,0.6,0.5,0.5,-,0.7,0.7
77,Nico Elvedi,2,1,0.5,0.3,0.5,-,0.1,0.1
78,Wendell,2,2,0.4,0.3,0.5,-,0.2,0.2
79,Jean-Paul Boëtius,4,7,1.5,1.1,1.6,0.1,1.3,1.3
80,Leon Bailey,5,1,1.9,1.8,1.2,0.2,1.5,1.5
81,Nico Schulz,1,5,1,1.7,0.7,0.3,0.7,0.7
82,Karim Bellarabi,5,4,2.2,1.1,0.7,0.2,1.5,1.5
83,Ante Rebic,9,4,2.2,1.7,0.8,0.6,2.7,2.7
84,Janik Haberer,1,3,1,0.9,1.7,0.1,1.5,1.5
85,Davy Klaassen,5,4,1,0.5,0.7,-,0.5,0.5
86,Rani Khedira,4,1,0.5,0.1,0.8,-,0.3,0.3
87,Abdou Diallo,1,1,0.4,1.4,0.4,-,0.6,0.6
88,Javi Martínez,3,-,0.9,0.2,0.6,-,0.1,0.1
89,Yann Sommer,-,-,-,0.1,0.1,-,-,-
90,André Hahn,4,4,1.3,0.6,0.7,0.8,1,1
91,Sven Bender,-,-,0.5,0.2,0.4,0.1,0.1,0.1
92,Jérôme Boateng,-,2,0.7,0.1,0.5,-,-,-
93,Martin Hinteregger,2,-,0.9,0.1,0.8,0.1,0.2,0.2
94,Stefan Bell,-,-,0.7,0.6,0.6,0.2,0.4,0.4
95,Makoto Hasebe,-,-,0.1,0.2,1.1,-,0.2,0.2
96,Christian Pulisic,4,4,1.4,2.1,1.3,0.4,2.2,2.2
97,Robin Knoche,3,-,0.5,0.3,0.5,-,0.2,0.2
98,Alfred Finnbogason,10,1,2.2,0.7,0.5,1.2,1.3,1.3
99,Danny da Costa,2,4,0.6,0.8,0.6,0.4,0.7,0.7
100,Ewerton,-,-,0.4,0.6,0.1,0.1,0.2,0.2
101,Matthias Zimmermann,1,3,0.4,0.6,0.9,-,0.4,0.4
102,Kevin Trapp,-,-,-,-,0.2,-,-,-
103,Salomon Kalou,8,2,1.6,1.8,0.8,0.5,2,2
104,Koen Casteels,-,-,-,-,0.1,-,-,-
105,Weston McKennie,1,4,1,0.7,0.7,0.1,1,1
106,Stefan Posch,-,-,0.3,0.1,0.6,-,0.2,0.2
107,Dodi Lukébakio,10,3,1.8,1.6,1.6,0.5,1.5,1.5
108,Kaan Ayhan,4,1,0.8,0.4,0.6,0.1,0.2,0.2
109,Karim Onisiwo,7,3,1.5,0.6,1.3,0.1,0.7,0.7
110,Pirmin Schwegler,-,1,0.4,0.6,1.3,-,0.6,0.6
111,Manuel Akanji,1,-,0.3,0.3,0.7,-,0.2,0.2
112,Jonathan de Guzmán,3,6,0.8,0.5,0.6,0.1,0.6,0.6
113,Philipp Max,4,2,0.8,0.4,0.7,-,0.5,0.5
114,John Anthony Brooks,3,2,0.7,0.1,0.4,-,0.3,0.3
115,Timo Baumgartl,1,-,0.3,0.2,0.7,0.1,0.1,0.1
116,Matheus Pereira,3,2,1.5,2.1,2.5,0.1,1.2,1.2
117,Franck Ribéry,6,3,1,1.4,0.8,0.4,1.8,1.8
118,Alassane Pléa,12,4,2.4,0.7,0.9,0.6,1.6,1.6
119,Ludwig Augustinsson,1,4,0.6,0.4,0.8,0.1,0.4,0.4
120,Mitchell Weiser,1,3,0.4,1,1.3,0.1,1,1
121,Ermin Bicakcic,1,2,0.4,-,0.6,0.1,0.3,0.3
122,Luca Waldschmidt,9,1,2.1,0.7,0.9,0.1,0.7,0.7
123,Jonas Hofmann,5,5,1.3,0.4,0.9,0.2,1,1
124,David Abraham,-,-,0.3,0.4,0.5,-,0.1,0.1
125,Niko Gießelmann,-,3,0.9,0.4,1.1,0.1,0.3,0.3
126,Evan Ndicka,1,1,0.5,0.2,0.3,-,0.4,0.4
127,Breel Embolo,5,1,1.3,1.3,1.6,0.4,1.8,1.8
128,Nicolás González,2,3,2,1.5,1.6,0.3,1.4,1.4
129,Oliver Fink,3,-,0.7,0.5,1.1,0.2,1.3,1.3
130,Benito Raman,10,4,1.8,1.2,0.6,-,0.9,0.9
131,Benjamin Pavard,-,-,0.4,0.2,0.5,-,0.1,0.1
