,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kevin De Bruyne,1.3,0.5,0.7,-,0.7,1.4,0.1,-
1,Ricardo Pereira,4.3,1.8,1.6,0.3,2.6,1.9,0.2,-
2,Adama Traoré,0.9,0.4,1.1,-,0.4,0.4,0.1,-
3,Riyad Mahrez,0.8,0.5,0.4,-,0.2,0.8,-,-
4,Sadio Mané,1.3,0.4,1.3,-,0.2,0.8,-,-
5,Mohamed Salah,0.5,0.2,0.5,-,0.1,0.5,-,-
6,Raheem Sterling,0.8,0.5,0.9,-,0.1,0.7,0.1,-
7,Marcus Rashford,0.4,0.3,0.7,-,0.5,0.5,-,-
8,James Maddison,1.9,0.3,1.2,-,0.2,1.5,-,-
9,Harry Kane,0.6,0.2,1.3,-,1,0.4,0.2,-
10,Virgil van Dijk,0.6,1.1,0.4,1,4.3,0.2,0.4,-
11,Anthony Martial,0.5,0.2,0.9,-,0.5,0.5,-,-
12,Willian,1.3,0.6,0.5,-,0.2,0.8,-,-
13,Michail Antonio,0.5,0.4,1.7,-,0.2,0.4,0.1,-
14,Allan Saint-Maximin,0.5,0.3,0.7,-,0.2,0.5,0.1,-
15,David Silva,1,0.5,0.7,-,0.2,0.7,0.1,-
16,Gabriel Jesus,0.5,0.3,0.8,-,0.2,0.5,-,-
17,Raúl Jiménez,0.5,0.4,1,-,0.8,0.7,-,-
18,Son Heung-Min,0.8,0.6,0.6,-,0.6,1.6,-,-
19,Jack Grealish,0.8,0.6,0.9,-,0.3,0.6,0.3,-
20,Wilfred Ndidi,4,2.5,1.8,-,1.9,1.4,0.2,-
21,Jamie Vardy,0.4,0.1,0.6,-,0.6,0.1,0.1,-
22,Trent Alexander-Arnold,1.4,1.2,0.6,0.5,1.8,1.1,0.2,-
23,Aaron Wan-Bissaka,3.7,1.9,0.6,0.4,1.7,0.6,0.4,-
24,Richarlison,1.9,0.3,1.2,-,1.1,0.8,0.1,-
25,Willy-Arnaud Boly,2.6,1.8,1.1,0.1,4.7,0.8,0.5,-
26,James Tarkowski,1.7,1.7,1.3,0.4,5.3,0.6,1.2,-
27,Christian Pulisic,0.9,0.2,0.6,-,0.3,0.7,-,-
28,Sergio Agüero,0.3,0.1,0.4,-,0.1,0.3,-,-
29,Lucas Digne,2.1,1.2,1.2,0.2,2.7,1,0.3,1
30,James Ward-Prowse,2.4,1.6,1.5,0.1,1.9,1.4,0.4,-
31,Jordan Henderson,2.1,1,1,0.1,0.6,1.1,0.1,-
32,Roberto Firmino,1,0.2,0.8,0.1,0.3,0.9,0.1,-
33,César Azpilicueta,2.4,1.9,1.1,0.1,2.3,0.9,0.6,-
34,Harry Maguire,1,1.9,0.9,0.4,4.1,0.4,0.6,-
35,Danny Ings,1.1,0.2,0.9,-,0.6,1.4,0.1,-
36,Andy Robertson,1.5,1.1,0.5,0.5,1.6,0.9,0.2,-
37,Rodri,1.4,0.7,1.2,0.1,0.9,1.1,0.1,-
38,Sébastien Haller,0.7,0.3,1.4,-,0.8,0.8,0.2,-
39,Emiliano Buendía,2.3,0.6,1,-,0.7,2.2,0.1,-
40,Nicolas Pépé,1,0.3,0.5,-,0.1,0.3,0.1,-
41,Sèrge Aurier,2.8,1.4,1.2,0.2,2.5,0.9,0.2,1
42,Dwight McNeil,1.2,0.8,0.8,-,0.7,1.3,0.2,-
43,Diego Rico,2.3,3.1,0.7,0.2,2.2,1.1,0.3,-
44,Troy Deeney,0.7,0.4,1.4,-,1,0.9,-,-
45,Çaglar Söyüncü,1.8,1.3,0.9,0.6,4.4,0.6,0.6,-
46,Bernardo Silva,1.1,0.7,0.7,-,0.4,0.9,-,-
47,Pierre-Emerick Aubameyang,0.9,0.4,0.4,-,0.4,1.1,-,-
48,João Moutinho,2.4,1.3,1.1,-,0.5,2.4,0.3,-
49,Declan Rice,3.1,2,1.1,-,1.3,1.3,0.2,-
50,Nemanja Matic,2.2,1,1.3,-,1.2,1.1,0.4,-
51,John McGinn,1.9,0.9,1.3,-,0.5,1.5,-,-
52,Matt Doherty,1.5,1.1,0.8,0.1,1.3,0.4,0.1,-
53,Hugo Lloris,-,-,-,-,0.6,-,-,-
54,Wilfried Zaha,1.1,0.5,1.3,-,0.1,1,0.1,-
55,Chris Basham,2.2,2,0.7,0.3,4.4,0.9,0.4,-
56,Jonjo Shelvey,1.1,0.9,0.7,-,1.3,1.2,0.2,-
57,Lucas Moura,1.6,0.4,0.9,-,0.7,1.2,0.1,-
58,Ben Chilwell,1.6,1,1.1,0.2,2,1.1,0.2,-
59,Nathan Redmond,1.5,0.5,0.7,-,0.3,1.1,0.1,-
60,Felipe Anderson,1.8,0.9,0.7,-,0.4,1.4,-,-
61,Mateo Kovacic,2,0.7,0.6,-,0.5,1.3,-,-
62,John Egan,1.2,1.6,0.9,0.4,4.6,0.6,0.8,-
63,Jack O'Connell,0.7,1.3,0.6,0.4,4.4,0.3,0.5,-
64,Jordan Ayew,1.3,0.4,1.6,-,0.5,0.9,0.1,-
65,Alexandre Lacazette,1,0.2,1.5,-,0.5,0.5,-,-
66,Djibril Sidibé,3.3,1.6,1,0.1,1.3,1.2,0.1,-
67,Scott McTominay,1.6,1.1,1.3,-,1.2,0.6,0.2,-
