,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Lionel Messi,0.6,0.2,0.6,-,-,0.5,-,-
1,Casemiro,2.7,1.9,2.5,0.1,1.9,1.7,0.3,-
2,Karim Benzema,0.5,0.2,0.6,-,0.8,0.4,0.1,-
3,Luis Suárez,0.1,-,0.5,-,0.4,0.4,-,-
4,Mikel Merino,2.2,1.4,2.1,0.1,1.4,1.6,0.2,-
5,Gerard Moreno,0.5,0.3,1,0.1,1.4,1.2,0.1,-
6,Nabil Fekir,1.3,0.3,2.2,-,0.1,0.8,0.1,-
7,Saúl Ñíguez,2.7,1.6,1.8,0.1,1.6,1.4,0.4,-
8,Joselu,0.7,0.4,1.4,0.1,1.3,0.8,0.1,-
9,Lucas Ocampos,1.6,0.7,1.3,-,0.7,1.3,0.1,-
10,Raúl García,1.6,0.7,2.2,0.1,1.2,1.7,0.2,-
11,Toni Kroos,1.6,0.7,0.8,-,0.4,1.5,-,-
12,Dani Carvajal,2.1,1.2,1.4,0.2,1.1,0.6,0.5,-
13,Santi Cazorla,1.4,0.5,0.8,-,0.3,1.1,-,-
14,Chimy Ávila,0.9,0.2,2.3,-,0.3,0.6,-,-
15,Rafinha,2.4,1.1,1.2,-,0.7,1.4,0.1,-
16,Martin Ødegaard,0.9,0.5,0.8,-,0.1,0.9,-,-
17,Éver Banega,1.3,0.5,0.9,-,0.1,1.5,-,-
18,Sergio Reguilón,1.8,1.1,1.8,0.4,1.4,1.2,0.2,-
19,Thomas Partey,2,1.4,1.4,-,1.1,0.9,0.2,-
20,Sergio Ramos,1.3,1.4,1.5,0.4,2.8,0.6,0.3,-
21,Sergio Busquets,2.4,1.3,1.4,-,0.6,0.9,0.2,-
22,Frank Anguissa,2.1,1.2,1.2,-,0.8,1.4,0.2,-
23,Mikel Oyarzabal,1,0.4,0.9,-,0.4,0.8,0.1,-
24,Gerard Piqué,0.9,1,0.9,0.7,4.3,0.3,0.7,-
25,Koke,2.2,0.9,0.7,0.1,0.7,1.9,0.3,-
26,Dani Parejo,1.9,0.6,0.7,-,0.5,2,0.3,-
27,Luka Modric,1.2,0.7,1,-,0.3,0.8,0.1,-
28,Ferland Mendy,1.3,0.9,1,0.2,1,0.2,0.2,-
29,José Campaña,1,1.2,0.8,-,1,1.1,0.1,-
30,Yeray Álvarez,1.1,1.9,0.6,0.5,4.2,0.4,0.7,-
31,Kieran Trippier,2.1,1,0.8,0.2,1.5,0.8,0.3,-
32,Iago Aspas,0.8,0.6,0.7,-,0.1,0.9,-,-
33,Raphaël Varane,0.9,1,0.7,0.6,3.7,0.3,0.5,-
34,Aitor Fernández,-,0.1,-,-,1,-,-,-
35,Antoine Griezmann,0.9,0.3,0.3,-,0.5,0.7,0.1,-
36,Felipe,1.1,1.6,1.2,0.2,5,0.4,0.5,-
37,Fernando,1.8,2,1.1,0.1,2,0.7,0.4,-
38,Yangel Herrera,2.9,1.1,3,-,0.8,1.5,0.3,-
39,Munir El Haddadi,0.9,0.3,0.7,-,0.4,0.8,-,-
40,Joan Jordán,1.9,0.8,1.9,-,0.6,1.6,0.1,-
