,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
304,Roberto Torres,0.3,0.3,0.3,-,0.1,0.4,-,-
305,Clément Lenglet,1,0.6,0.9,0.3,0.9,0.2,0.1,-
306,Salvi Sánchez,0.9,0.3,0.4,-,0.4,0.5,0.1,-
307,Ángel Montoro,1.1,0.5,1.2,-,1.1,0.4,-,-
308,Édgar Méndez,0.8,0.1,1.6,-,0.5,0.7,-,-
309,Iván Marcone,1.2,0.6,0.6,-,0.7,0.6,0.2,-
310,Amath Ndiaye,1.1,0.4,1,-,0.3,0.5,-,-
311,Portu,0.4,0.2,0.5,-,0.2,0.4,0.1,-
312,Nolito,0.8,0.3,0.7,-,0.1,1.1,-,-
313,Abdón Prats,0.1,-,0.3,-,0.2,0.2,-,-
314,Nico Melamed,0.5,0.2,0.8,-,0.1,0.7,0.1,-
315,Juan Iglesias,1,0.5,0.8,0.2,1.1,0.5,0.1,-
316,Asier Villalibre,0.2,0.1,0.5,-,0.4,0.1,0.1,-
317,Aitor Ruibal,1.1,0.4,1.2,0.1,0.3,1.3,-,-
318,Tomás Pina,1,0.8,1.3,-,0.8,0.5,0.1,-
319,Oier Zarraga,0.4,0.6,0.5,-,0.3,0.8,0.3,-
320,Loren Morón,0.3,0.1,0.5,-,0.4,0.6,-,-
321,Miguel de la Fuente,0.3,-,0.9,-,0.3,0.6,-,-
322,Facundo Pellistri,0.4,0.3,0.4,-,0.2,0.4,0.1,-
323,Pere Pons,1,0.2,0.9,-,0.4,0.5,-,-
324,Oier Sanjurjo,0.4,-,0.7,-,0.3,0.7,0.1,-
325,Augusto Solari,0.9,0.3,0.9,-,0.3,0.8,0.2,-
326,Wu Lei,0.1,0.2,0.2,-,0.1,0.2,-,-
327,Jaime Mata,0.3,-,1.1,-,0.2,0.3,-,-
328,Alejandro Cantero,0.2,-,0.5,-,-,0.3,-,-
