,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Atalanta,18.7,7.1,9.1,13.6
1,Napoli,18.1,6.1,9.5,13.8
2,Juventus,17.9,6.4,11.4,12.8
3,Roma,16.9,5.7,11,11.4
4,Inter,16.3,6.1,8.2,11.8
5,AC Milan,16.3,5.2,10.6,12.1
6,Lazio,15.3,5.9,9.5,10.5
7,Sampdoria,14.8,4.6,8.1,12.1
8,Bologna,14.6,4.4,9.2,14.9
9,Sassuolo,14.6,5.2,12.3,14.7
10,Fiorentina,14.4,4.8,11.3,13.2
11,Lecce,13.9,4.8,7.8,12.9
12,Udinese,12.3,3.8,9.2,10.9
13,SPAL 2013,12.3,3.3,9.4,13.8
14,Parma Calcio 1913,12.2,4.1,8.6,12.3
15,Torino,11.7,4,11.8,14.2
16,Verona,11.7,4.1,8.6,12.9
17,Cagliari,11.7,3.7,8.5,11.8
18,Genoa,11.4,4.1,8.8,13.5
19,Brescia,11,3.8,7.2,15.3
