,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Napoli,17,5.9,10.2,14.4
1,Atalanta,16.3,6.1,10.4,12.4
2,Juventus,15.7,5.7,11.9,12.4
3,AC Milan,14.7,5.4,10.9,12.5
4,Inter,14.5,5.4,6.8,11.2
5,Roma,14.3,5.3,10.8,11.2
6,Sassuolo,13.9,4.7,11.3,12.5
7,Lazio,13.8,4.9,7.8,11.2
8,Bologna,13.1,4.7,9.1,12.5
9,Torino,12.2,4,10.2,15.8
10,Cagliari,11.4,3.4,8.8,12.3
11,Sampdoria,11.3,3.7,7.7,12.8
12,Benevento,11,3.5,7.2,15.6
13,Udinese,10.9,3.4,9.9,13.7
14,Verona,10.6,3.3,8,13.7
15,Parma Calcio 1913,10.4,3.4,9.5,12.7
16,Spezia,10.2,3.6,8.5,13.9
17,Fiorentina,9.8,3.3,8.6,13.8
18,Crotone,9.5,3.2,10.1,12.9
19,Genoa,9,3.3,7.7,12.3
