,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Cristiano Ronaldo,0.4,0.2,0.8,-,0.6,0.5,0.1,-
1,Josip Ilicic,1,0.3,0.4,-,0.2,0.8,-,-
2,Ciro Immobile,0.2,0.3,1,-,0.2,0.6,0.1,-
3,Luis Alberto,1.4,0.6,0.6,-,0.2,1.5,-,-
4,Papu Gómez,0.8,0.5,0.5,-,0.1,0.9,-,-
5,Zlatan Ibrahimovic,0.3,0.3,1.7,-,1.2,0.7,0.2,-
6,Edin Dzeko,0.5,0.2,1.1,-,0.9,0.3,0.1,-
7,Domenico Berardi,1,1.1,1.8,-,0.8,1.5,0.1,-
8,Paulo Dybala,0.6,0.4,0.7,-,-,0.9,-,-
9,Duván Zapata,0.3,0.1,1.3,-,0.3,0.2,0.3,-
10,Romelu Lukaku,0.4,-,1.3,-,0.8,0.2,0.2,-
11,Musa Barrow,1.1,0.3,1.2,-,0.6,0.8,-,-
12,Sergej Milinkovic-Savic,1.6,1,1.9,-,1.6,1.7,0.4,-
13,Rodrigo De Paul,1.8,0.9,1,-,0.2,1.1,0.1,-
14,Robin Gosens,1.6,1.1,0.9,0.2,1,0.8,0.3,-
15,Radja Nainggolan,1.2,0.5,0.8,-,1.1,0.8,0.2,-
16,Théo Hernández,1.7,1.3,1,0.3,1.5,0.6,0.2,1
17,Hakan Çalhanoglu,1.2,0.7,1.1,-,0.7,0.7,0.1,-
18,Jérémie Boga,0.4,0.1,0.4,-,0.1,0.4,-,-
19,Joaquín Correa,0.4,0.2,0.6,-,0.3,0.6,-,-
20,Marcelo Brozovic,2.1,1.4,1.4,-,1.2,1.6,0.3,-
21,Aleksandar Kolarov,1.2,1,0.9,0.5,1.6,0.5,0.3,-
22,Manuel Locatelli,2.3,1,1.4,-,0.9,1.1,0.4,1
23,Andrea Belotti,0.8,0.1,1.8,-,0.5,0.7,0.1,1
24,Dejan Kulusevski,1.1,0.6,1.5,-,0.4,1.3,-,-
25,Juan Cuadrado,2,1.1,0.8,0.2,1.1,0.8,0.2,-
