,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Neymar,0.8,0.3,0.9,-,-,1.2,-,-
1,Kylian Mbappé,0.4,0.2,0.6,-,-,0.4,-,-
2,Ángel Di María,0.7,0.4,0.5,-,-,1.2,0.1,-
3,Dimitri Payet,1,0.4,0.7,-,0.5,0.7,-,-
4,Téji Savanier,2.7,1.8,2.1,-,1,2.7,-,-
5,Wissam Ben Yedder,0.8,0.2,0.4,-,-,0.4,-,-
6,Idrissa Gueye,3.3,1.7,1.9,-,0.6,1.3,0.2,-
7,Marco Verratti,2.7,1,1.3,-,0.3,1.8,0.2,-
8,Mounir Chouiar,1.8,0.7,1.7,-,0.4,1.5,-,-
9,Hassane Kamara,2.6,2.6,0.9,-,2.1,0.5,0.1,-
10,Marquinhos,2.1,1.3,1,0.3,1.6,0.8,0.4,-
11,Mauro Icardi,0.2,0.1,0.6,0.1,0.6,0.5,0.1,-
12,Andy Delort,1.1,0.1,2.7,-,0.4,0.8,0.2,-
13,Victor Osimhen,0.3,0.4,2.1,-,1.2,0.4,-,-
14,Pierre Lees-Melou,2.4,1.2,1.5,-,1.5,2.2,0.5,-
15,Júlio Tavares,0.5,0.3,0.9,-,1.2,0.6,0.1,-
16,Raphinha,1,0.8,0.9,-,0.5,1,-,-
17,Zinedine Ferhat,1,0.6,0.7,-,0.7,1.2,0.1,-
18,Renato Sanches,1.5,0.8,1.8,-,0.5,1.3,0.1,-
19,Islam Slimani,0.4,0.1,2.1,-,0.6,0.6,-,-
20,Eduardo Camavinga,4.2,1.4,1.9,-,1.3,1.9,0.3,-
21,Nicolas de Préville,1.5,0.3,2,-,0.8,1.6,0.1,-
22,Aleksandr Golovin,2,1.2,1.3,0.1,0.7,2.2,-,-
23,Benjamin André,2.7,2.3,2.1,-,1.3,1.7,0.3,-
24,Adam Ounas,0.6,0.7,0.4,-,0.4,0.5,0.1,-
25,Baptiste Santamaría,3.3,1.5,0.7,-,1.2,1.6,0.2,-
