,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kylian Mbappé,0.3,0.2,0.7,-,0.1,0.2,-,-
1,Téji Savanier,3,2,1.6,-,1.5,2.3,0.5,-
2,Nicolas Pépé,0.7,0.3,0.6,-,0.2,0.7,-,-
3,Ángel Di María,1,0.5,0.4,-,0.1,1.1,-,-
4,Youcef Atal,2.3,1.9,1.4,0.2,1.3,1.1,0.3,-
5,Edinson Cavani,0.5,0.3,0.5,-,0.7,0.5,0.1,-
6,Hatem Ben Arfa,0.6,0.2,0.7,-,-,0.3,-,-
7,Memphis Depay,0.3,0.3,1,-,-,0.4,0.1,-
8,Nabil Fekir,1.8,0.2,1.5,-,0.1,0.9,-,-
9,Flavien Tait,1.6,0.8,0.9,-,0.3,1,0.1,-
10,Andy Delort,0.9,0.1,2.6,-,0.2,0.8,0.2,-
11,Thiago Mendes,2.4,1.9,1.1,0.1,1.2,0.9,0.3,-
12,Wahbi Khazri,1.3,0.3,1.7,-,0.2,1,0.1,-
13,Marcelo,1.5,1.9,1,0.5,4.5,0.2,0.7,1
14,Marquinhos,2.2,1.5,1,0.4,2.7,0.7,0.4,-
15,Allan Saint-Maximin,0.4,0.1,0.4,-,0.1,0.4,-,-
16,Florian Thauvin,1.3,0.2,0.9,-,0.1,0.6,-,-
17,Benjamin André,3.4,1.8,2,0.1,1.6,1.7,0.2,-
18,Max Gradel,1.6,0.5,2,-,0.7,1.3,0.3,-
19,Lucas Ocampos,2.4,0.9,1.5,0.1,0.7,1.4,0.1,-
20,Ruben Aguilar,3,1.3,1.3,0.1,1.6,1,0.1,-
21,Rémy Cabella,2.6,0.6,1,-,0.1,1.7,-,-
22,Youssouf Koné,3.4,2,0.9,0.3,2,1.2,0.2,-
23,Mathieu Debuchy,1.8,2,1.5,0.2,2.4,0.6,0.3,-
24,Kenny Lala,2.3,0.8,1,0.2,1.5,0.7,0.3,-
25,Valentin Rongier,2.4,0.9,1.2,-,0.4,1.1,0.2,-
26,Ferland Mendy,1.5,1.1,0.9,0.1,1.4,0.1,0.2,-
27,Hiroki Sakai,2.1,1.4,1.2,0.3,2.4,0.9,0.4,-
28,Christophe Hérelle,2.2,1.8,1,0.5,4.6,0.3,0.5,-
29,Marco Verratti,2.8,0.7,1.3,-,0.3,1.7,-,-
30,Thomas Meunier,2,0.8,1,-,1,0.6,0.1,1
31,Thiago Silva,0.6,1.3,0.8,0.4,3.7,0.2,0.8,-
32,Ibrahim Sangaré,3.6,1,1.8,-,1.7,1.1,0.7,-
33,Houssem Aouar,1.7,0.9,0.8,-,0.5,1.2,0.2,-
34,Walter Benítez,-,0.1,-,-,0.6,-,-,-
35,Florent Mollet,1.1,0.7,1.4,-,0.1,1.2,-,-
36,Nicolas Pallois,3.2,1.4,1,0.2,4.6,1.2,0.6,-
37,Gaëtan Laborde,1,0.2,0.9,-,0.7,0.4,0.1,-
38,Renaud Ripart,2,0.7,1,0.1,1.9,1.2,0.2,-
39,Dani Alves,1.8,0.3,1.9,0.1,0.3,1.1,0.2,1
40,Julian Draxler,1.3,0.5,0.8,-,0.1,0.9,-,-
41,Jonathan Bamba,0.8,1.1,0.7,-,0.2,0.7,-,-
42,Ghislain Konan,2.3,2,0.8,0.3,2.3,0.8,0.2,-
43,Naïm Sliti,1.6,0.3,0.9,-,0.3,0.9,-,-
44,Léo Dubois,2,0.9,1.2,0.1,1.9,0.6,0.4,-
45,Emiliano Sala,0.4,0.1,0.8,-,1.1,0.4,0.1,-
46,Marcus Thuram,1.4,0.3,1.4,-,0.4,0.7,-,-
47,Ellyes Skhiri,2.8,1.6,1.1,-,1,1.3,0.2,-
48,Tanguy Ndombélé,1.9,0.9,1.2,-,0.3,0.9,0.3,-
49,Ismaïla Sarr,1,0.4,1,-,0.1,0.5,0.1,-
50,Thilo Kehrer,2.4,1.1,1,0.3,2.3,0.9,0.7,-
51,Pablo Martinez,1.6,1.6,0.9,0.3,3.9,0.6,0.7,-
52,Yunis Abdelhamid,1.6,1.7,0.9,0.3,4.8,0.3,0.6,1
53,Samuel Kalu,1.3,0.4,0.9,-,0.1,0.3,0.1,-
54,José Fonte,0.8,1,0.8,0.5,4.2,0.2,0.7,-
55,Frédéric Guilbert,2.9,2.3,1.7,0.3,3.1,1.2,0.6,-
56,Ole Selnæs,2.2,1,1.5,0.1,1.4,1.1,0.4,-
57,Bouna Sarr,2.3,1.3,1.3,0.1,1.7,0.6,0.1,-
58,Loic Perrin,1.7,1.4,0.8,0.5,3.6,0.4,0.8,-
59,Cheikh N'Doye,0.9,0.9,1.2,-,2.1,0.8,0.3,-
60,Jonas Martin,2,1.3,1.5,-,1.7,0.7,0.5,-
61,Moussa Dembélé,0.4,0.1,1.1,-,0.4,0.3,0.1,-
62,Fodé Ballo-Touré,2.6,1.6,0.9,0.1,1.7,1.1,0.1,1
63,Alexander Djiku,1.5,2.7,1.6,0.5,5.8,0.6,1,-
64,Youri Tielemans,2.3,0.9,1.1,0.1,1,1.2,0.2,-
65,Xavier Chavalerin,2.9,2,1.3,-,0.9,1.2,0.3,-
66,Bertrand Traoré,1.1,0.4,0.6,-,0.4,0.4,0.1,-
67,Pedro Mendes,2.3,1.5,1.5,0.4,2.1,0.5,0.7,-
68,Ludovic Ajorque,0.7,0.2,1.8,-,0.4,0.2,-,-
69,Jacques-Alaixys Romao,3.2,1.6,2.5,-,1.8,1.6,0.4,-
70,Rony Lopes,1.4,0.3,0.7,-,0.3,0.5,-,-
71,Wylan Cyprien,1.4,0.4,0.8,-,0.5,1,0.2,-
72,Damien Le Tallec,2.6,1.6,1.5,-,1.3,1.6,0.2,-
73,Yann M'Vila,1.9,2,0.5,-,2.1,1.2,0.3,-
74,Jordan Amavi,2.6,1.6,1.6,0.3,2.8,0.8,0.3,-
75,Fodé Ballo-Touré,2.6,1.5,0.7,0.6,1.9,0.6,0.4,-
76,Diego Carlos,1.7,1.5,1.3,0.6,5.2,0.2,0.9,-
77,Zeki Çelik,2.6,1,1.6,0.3,1.9,1.6,0.1,-
78,Vincent Manceau,3.2,1.4,0.9,0.4,2.3,0.9,0.3,1
79,Fayçal Fajr,1.8,0.8,1.2,-,0.4,1.1,0.2,-
80,M'Baye Niang,0.6,0.3,1.5,-,0.4,0.3,0.1,-
81,Anthony Briançon,1.4,2.1,0.9,0.4,5.4,0.7,1.2,-
82,Issiaga Sylla,2.3,1.6,1.5,0.3,2.7,1,0.4,-
83,Christopher Nkunku,1,0.4,1,-,0.3,0.4,0.1,-
84,Damien Da Silva,1.2,1.2,0.8,0.3,4.5,0.2,1.1,-
85,Pedro Rebocho,1.7,1.1,0.5,0.2,2,0.7,0.4,-
86,Dante,1.5,1.1,1.2,0.7,4.2,0.5,0.8,-
87,Pierrick Capelle,2,1.5,1.2,0.1,1.7,1.4,0.1,-
88,Jeff Reine-Adélaïde,1.1,0.5,0.9,-,0.1,0.7,-,-
89,Ramy Bensebaïni,2.8,1.6,1.3,0.1,3.3,0.7,0.4,1
90,Benjamin Lecomte,-,0.1,-,-,1.2,0.1,-,-
91,Christopher Jullien,1,1.2,1.3,0.5,5.9,0.6,0.8,-
92,Stéphane Ruffier,0.1,-,0.1,-,0.9,0.1,-,-
93,Morgan Sanson,2.1,1.3,1.6,-,0.2,1.7,-,-
94,Pierre Lees-Melou,2.5,1.2,1.4,-,1.1,1.2,0.3,-
95,Abdoulaye Touré,1.4,1.4,0.8,-,0.8,1.1,0.3,-
96,Radamel Falcao,1,0.1,2.1,-,0.7,0.6,0.2,-
