,Name,AvgP,PSp,Crosses,LonB,ThrB
111,Baptiste Santamaría,33.4,76.6,0.2,1.8,-
112,Alexander Hack,32.8,77.1,-,2.7,-
113,Mattéo Guendouzi,40.9,86.7,0.1,2.5,-
114,Josh Sargent,17.8,70.8,0.1,0.2,-
115,Lucas Tousart,32.3,77.2,0.1,2.9,0.1
116,Ralf Fährmann,31.9,59.1,-,5.5,-
117,Christian Günter,33,75.5,1.9,1.8,-
118,Rafael Czichos,47.5,81.9,0.1,3.7,-
119,Cédric Brunner,35.5,75.7,0.6,1.8,-
120,Koen Casteels,33.9,72.4,-,7.7,-
121,Lucas Höler,19.7,66.7,0.1,0.4,-
122,Jude Bellingham,35.2,84.3,0.1,1.6,-
123,Sebastiaan Bornauw,38.1,81.7,-,3.8,-
124,Theodor Gebre Selassie,34.3,73.5,0.4,1.7,-
125,Roland Sallai,15.3,75.5,0.4,0.6,-
126,Tyler Adams,47.3,86.1,0.1,1.2,-
127,Thomas Delaney,40.7,83.7,0.1,2.4,-
128,Andreas Luthe,33.3,68.2,-,6.9,-
129,Phillipp Mwene,21.1,64.7,1.2,1.6,-
130,Jean-Paul Boëtius,24.7,71.1,0.3,1.2,0.2
131,Maximilian Eggestein,40.5,76.4,0.1,1.7,0.1
132,Grischa Prömel,29.3,78.4,0.1,1.2,-
133,Pavel Kaderábek,35.5,74.2,0.8,1,-
134,Ryan Sessegnon,31.2,79.4,0.8,0.8,-
135,Christoph Kramer,46.6,85.7,0.1,1.5,-
136,Robin Knoche,61.3,84.3,-,4.7,-
137,Vladimír Darida,34.1,75.9,0.6,2.9,0.1
138,Waldemar Anton,65.9,88,0.1,3.1,-
139,Kevin Kampl,51.3,89.9,-,1.7,-
140,Erik Durm,25.3,71.8,0.4,1.1,-
141,Dedryck Boyata,54.4,89,-,3.6,-
142,Gonzalo Castro,30.5,76.6,1.1,1.3,0.1
143,Jeffrey Gouweleeuw,49.7,78.9,0.1,4.1,-
144,Breel Embolo,14.2,73.6,-,0.3,-
145,Keven Schlotterbeck,34.3,80.8,-,2.7,-
146,Dodi Lukébakio,17.2,76.4,0.3,1,-
147,Jonathan Schmid,30.5,77.1,0.6,2.1,-
148,Thomas Meunier,50.8,82.1,0.4,2.3,-
149,Rubén Vargas,17,76.3,0.1,0.9,0.1
150,Joel Pohjanpalo,9.7,68.6,0.1,0.3,0.1
151,Ömer Toprak,41.2,82.2,-,1.5,-
152,Nadiem Amiri,36.4,85.5,0.7,2,-
153,Niclas Füllkrug,13.3,57.7,0.1,0.5,-
154,Elvis Rexhbeçaj,19.2,66.3,0.6,0.8,-
155,Florian Müller,38.1,64.7,-,6.5,-
