,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Robert Lewandowski,21.6,77.4,0.1,0.4,0.1
1,Christopher Nkunku,28.2,81.8,0.6,0.6,0.2
2,Joshua Kimmich,84.2,88,2.4,5,0.3
3,Erling Haaland,19.2,71.3,-,-,0.1
4,Patrik Schick,15.1,68.9,-,0.2,-
5,Florian Wirtz,33.8,78.7,0.6,1.3,0.5
6,Nico Schlotterbeck,53.9,80.6,-,4.5,0.1
7,Thomas Müller,42.9,77,0.6,0.8,0.2
8,Alphonso Davies,51.4,84.3,0.4,0.9,0.2
9,Serge Gnabry,35.8,82,0.5,0.8,0.2
10,Marco Reus,41,82.8,0.5,1.2,0.1
11,Jonas Hofmann,42,81.8,1.8,1.5,0.1
12,Moussa Diaby,28.2,77.2,0.7,0.9,0.2
13,Leroy Sané,29.5,84.1,0.5,0.7,0.1
14,David Raum,43.5,79.5,3,2,-
15,Kingsley Coman,28.8,84.1,1,1.1,0.1
16,Jude Bellingham,46.4,83.7,0.1,2,0.2
17,Julian Brandt,38.1,82.6,1.2,1.2,0.1
18,Filip Kostic,33.1,69.7,3.3,1.9,-
19,Anthony Modeste,13.7,65.7,0.1,0.4,-
20,Vincenzo Grifo,36.5,79.4,1.5,2.3,0.1
21,Nicolas Höfler,39.3,83.7,-,1.4,-
22,Leon Goretzka,43.8,83.9,0.2,1.5,-
23,Lucas Höler,26,68.4,0.2,0.3,0.1
24,Evan Ndicka,57.9,84.2,0.1,2.1,-
25,Danilo Soares,42.2,75.8,0.3,2.6,-
26,Timo Hübers,62.8,82.9,-,3.9,-
27,Willi Orbán,67.8,89.2,-,2.1,-
28,Konstantinos Mavropanos,54.5,80.1,-,6.1,-
29,Josko Gvardiol,70.6,84,0.1,3.4,0.3
30,Borna Sosa,46.1,77.9,2.5,1.9,-
31,Mark Uth,20.7,75.6,1.4,1.4,0.1
32,Manu Koné,43.9,85.5,-,0.9,-
33,Maximilian Arnold,49.1,83.2,1.7,5,0.1
34,Ellyes Skhiri,43,84.6,-,2.2,-
35,Kerem Demirbay,43,81.6,1.5,4,0.1
36,Dayot Upamecano,80.7,90.1,-,5.2,0.1
37,Alexander Hack,40,79.3,-,3.3,-
38,Jonas Hector,44.1,77.7,0.5,3.2,-
39,Christopher Trimmel,31,68.1,1.4,1.7,0.1
40,Anthony Losilla,38.8,76.9,0.1,3,-
41,Angeliño,38.4,76.7,2,2,-
42,Omar Marmoush,18.7,71.2,1,0.4,-
43,Jamal Musiala,23,84.8,-,0.3,0.1
44,Jonathan Tah,57.8,88.2,-,2.5,0.1
45,Lucas Hernández,76.7,89.6,0.1,3.2,-
46,Anton Stach,30.9,72.8,0.6,1.4,-
47,Wataru Endo,47.2,80.7,0.1,1.8,0.1
48,Patrick Wimmer,21.4,58.6,0.6,0.5,0.1
49,Alassane Pléa,22.8,75.4,0.2,1.2,0.4
50,Breel Embolo,19.1,74.2,-,0.5,0.2
51,Donyell Malen,18.7,75.5,0.2,0.4,-
52,Andrej Kramaric,30.2,81.2,0.6,0.8,0.2
53,Thomas Meunier,56.9,78,0.9,2.4,0.1
54,Mohamed Simakan,49.5,86.6,-,1.9,-
55,Jeremie Frimpong,37.3,81.5,0.5,1,-
56,Maximilian Mittelstädt,24.2,70.6,0.9,1,-
57,Mats Hummels,66.1,87.3,-,4.1,0.1
58,Florian Kainz,24.9,70.1,1.7,1.4,-
59,Florian Grillitsch,58.1,89.4,0.2,6.6,0.1
60,Benjamin Pavard,77.1,88.1,0.4,3.2,-
61,Philipp Lienhart,54.3,85.3,0.1,4.2,-
62,Emre Can,57.9,85.5,-,3,-
63,Reece Oxford,38.7,79.7,-,3.2,-
64,Ramy Bensebaïni,53,81.6,0.2,2.9,-
65,Mahmoud Dahoud,46.7,79.8,0.5,1.9,0.3
66,Karim Onisiwo,16.5,62.4,0.4,0.3,-
67,Edmond Tapsoba,64.9,88.4,-,3.5,-
68,Taiwo Awoniyi,14.8,67.2,0.1,0.1,0.1
69,Aarón Martín,29.1,75.1,1.6,2,-
70,Maxence Lacroix,52.4,81.4,-,3.7,0.1
71,Paul Jaeckel,47,79.5,-,3.9,-
72,Chris Führich,24.3,83.9,0.8,0.8,0.1
73,Jonathan Burkardt,16.4,70.3,0.1,0.4,-
74,Dominik Szoboszlai,27.5,81,1.2,1,0.1
75,Amadou Haidara,38.7,84.1,0.1,1.6,0.1
76,Raphaël Guerreiro,58.3,85.5,0.6,0.9,-
77,Ridle Baku,31.1,76.5,0.6,1.5,-
78,Niklas Süle,61.9,90.1,0.1,3.9,-
79,Daniel Caligiuri,23.8,71.5,0.9,1.3,-
80,Manuel Riemann,49.9,60.6,-,18.8,-
81,Lukas Kübler,33,74.9,0.3,2,-
82,Sheraldo Becker,17.1,71.3,1.1,0.6,0.1
83,Lukás Hrádecky,33.9,73.8,-,6.1,-
84,Silvan Widmer,34,74.4,0.3,1.2,-
85,Amos Pieper,42.4,78.1,0.1,2.6,-
86,Rafael Borré,21.5,72.3,0.1,0.5,0.1
87,Salih Özcan,42.7,84.1,0.2,1.8,-
88,Michael Gregoritsch,15.8,59,0.1,0.3,-
89,Marvin Schwäbe,43.3,81.4,-,7,-
90,Robert Andrich,38.3,81.1,-,1.3,0.2
91,Christian Günter,33.4,70.6,1.9,1.3,-
92,Florian Neuhaus,38.5,80.8,0.1,2.2,0.2
93,Cédric Brunner,29.7,70.9,0.6,1.5,-
