team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shoted pg,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg
Paris Saint-Germain,31,20,10,1,76,29,+47,70,76,15.1,45,3,65.5,89.7,7.9,6.93,12,17.2,7.9,10.4,1.6,5.9,12.1,10.8
Monaco,31,17,7,7,58,41,+17,58,58,15,67,8,53.4,82.3,12.2,6.78,11.7,19.4,11.5,14.3,2.2,6,9,11.2
Brest,31,16,8,7,49,33,+16,56,49,14.5,73,5,53.4,81.5,17.3,6.75,10.6,20.4,9.5,12.2,1,5.2,9.9,12.4
Lille,31,15,10,6,45,27,+18,55,45,13.3,57,2,57.2,85.9,10.5,6.75,9.6,17.5,8.6,11.2,1.5,5.1,10.1,14.5
Nice,31,14,9,8,36,25,+11,51,36,13.7,56,3,53.2,86.6,11.3,6.66,10.7,16.2,8.3,11.9,1.5,4.7,11.1,11.2
Lens,31,13,7,11,40,34,+6,46,40,14.2,73,4,52.8,83.7,12.9,6.60,11.5,15.5,8.6,13.3,2.1,5,6.4,12.5
Marseille,31,11,11,9,47,38,+9,44,47,13.7,53,5,53.2,84.4,11,6.69,10.9,17.9,9.8,11.1,2,4.6,7.7,12.7
Lyon,31,13,5,13,42,51,-9,44,42,13.3,50,6,51.2,83.8,11.9,6.61,13.7,16,9,12.6,1.5,5.1,11.2,10.9
Rennes,31,11,9,11,48,41,+7,42,48,14,60,4,51.1,84.0,11.6,6.65,11.9,15.1,9.7,12.3,1,4.8,10.4,12.8
Toulouse,31,10,10,11,38,40,-2,40,38,11.7,73,0,48.1,81.4,14.5,6.63,14,18.2,8.8,15,1.4,4.1,8.5,13.1
Reims,31,11,7,13,38,45,-7,40,38,12.6,59,3,51.4,81.9,11.8,6.59,12.5,18.4,9.9,13,2.4,4.1,9.5,9.3
Montpellier,31,9,11,11,39,43,-4,38,39,13.4,62,4,44.4,78.8,13,6.64,15.5,18.1,8.8,12.4,1.7,5.1,8.5,13.3
Strasbourg,31,9,9,13,34,44,-10,36,34,11,53,2,43.1,81.8,11.2,6.55,12.1,18.5,10.4,13.8,1.1,3.7,9.5,12.6
Nantes,31,9,5,17,29,49,-20,32,29,11.5,60,3,45.6,82.1,12.1,6.51,12.8,16.7,9.8,12.7,1.5,4.1,6.3,11.2
Le Havre,31,6,11,14,30,41,-11,29,30,11.2,58,6,44.3,79.5,14.6,6.53,13.5,16.1,10.6,13.1,1.5,3.5,7.6,10.9
Metz,31,8,5,18,32,51,-19,29,32,9.8,48,2,35.3,76.2,11.9,6.53,15,16.5,10.2,12.5,1.4,3.5,8.9,11.1
Lorient,31,6,8,17,37,61,-24,26,37,10.1,56,1,46.1,83.8,12,6.54,15.8,15.8,9.8,11.7,1.6,3.9,10.3,12.5
Clermont Foot,31,5,10,16,25,50,-25,25,25,11.4,55,6,48.9,81.7,12,6.50,15.4,17.4,10.3,11.9,1.4,3.8,7.1,12.4
