,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Leicester,9.9,19.5,11.1,11,1.7
1,Southampton,11.9,18.6,11.2,11.8,1.5
2,West Ham,13.2,18.3,11.1,10.2,1.7
3,Crystal Palace,13.5,18.1,11.7,11.2,1.4
4,Everton,11.2,17.7,10.7,12.4,1.5
5,Tottenham,14.2,17.5,10,11.1,1.7
6,Watford,13.1,17.3,11.2,12.7,1.8
7,Wolves,10.5,17,11.5,10.7,1.3
8,Brighton,13.1,16.9,11,10.2,1.9
9,Chelsea,8.5,16.8,12.1,10.2,1.7
10,Norwich,16,16.5,10.4,9.6,1.3
11,Sheffield United,11.3,16.1,11,10.8,2.1
12,Newcastle,14.9,15.9,10.3,9.7,2
13,Arsenal,14.6,15.4,9.2,11.1,1.9
14,Manchester United,10.3,15.3,9.9,11.1,1.5
15,Liverpool,9,14.5,9.3,8.7,1.4
16,Burnley,14.2,14.4,10.2,10.8,2.3
17,Aston Villa,16,13.8,11.1,11.9,1.6
18,Manchester City,7.4,13.5,9.3,9.5,1.8
19,Bournemouth,14.7,13.3,12.5,9.7,1.8
