,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Lionel Messi,Barcelona,36," AM(CR),FW",29(5),2710,36,13,3,-,5,81.3,0.2,17,8.48,0.4,0.1,0.6,-,-,0.5,-,-,3.9,1.9,0.5,2.3,2.3,53.8,81.3,0.4,3.4,0.9
1,Luis Suárez,Barcelona,37," AM(CLR),FW",31(2),2830,21,6,5,-,3.4,75.3,0.7,5,7.57,0.5,0.2,0.9,-,0.7,0.2,0.1,-,1.1,1.7,0.8,1.6,1.6,29.0,75.3,0.2,1.5,0.1
2,Iago Aspas,Celta Vigo,36," AM(CR),FW",26(1),2262,20,6,5,-,2.6,82.0,0.9,6,7.51,0.6,0.6,0.6,-,0.2,0.6,-,-,0.7,1.6,0.3,1.3,1.3,32.1,82.0,0.2,1.4,0.2
3,Dani Parejo,Valencia,35, M(C),35(1),3063,9,7,6,1,1.2,85.8,0.9,9,7.4,2,1.3,0.8,-,0.6,1.6,0.2,-,1,1.5,-,0.6,0.6,61.5,85.8,1.9,5.6,0.1
4,Karim Benzema,Real Madrid,36, FW,35(1),2964,21,6,1,-,2.9,82.6,1.2,7,7.38,0.7,0.2,0.6,-,0.7,0.4,-,-,1.3,0.6,1,1.3,1.3,32.9,82.6,0.1,1.1,0.1
5,Antoine Griezmann,Atletico,33," AM(CLR),FW",37,3204,15,9,5,-,3.1,78.3,1.1,4,7.29,0.8,0.3,0.5,-,0.6,0.5,-,-,0.5,0.9,0.3,1.3,1.3,37.5,78.3,0.6,1.3,0.1
6,Ousmane Dembélé,Barcelona,26," AM(CLR),FW",20(9),1673,8,5,1,-,1.3,80.7,0.3,3,7.25,0.8,0.2,0.8,-,0.1,0.4,-,-,2.3,0.8,0.3,1.5,1.5,31.4,80.7,0.8,1.0,0.1
7,Rodri,Atletico,27," D(C),DMC",32(2),2743,3,1,5,-,0.8,91.1,2.3,3,7.24,3,1.2,1.7,-,2,1.1,0.3,-,0.6,1.3,-,0.9,0.9,56.7,91.1,-,3.4,-
8,Wissam Ben Yedder,Sevilla,33," AM(C),FW",31(4),2821,18,9,4,-,2.2,73.9,1.1,3,7.23,0.5,0.3,0.7,-,0.1,0.3,-,-,1.3,0.7,0.9,1.1,1.1,21.6,73.9,0.1,0.5,0.1
9,Guillermo Maripán,Deportivo Alaves,29, D(C),22(1),2009,2,2,5,-,0.7,75.3,4.2,2,7.2,2,1.7,0.7,0.9,5.7,0.5,0.8,-,0.1,0.4,-,-,-,30.8,75.3,-,3.7,-
10,Gerard Piqué,Barcelona,37, D(C),35,3150,4,2,6,-,0.5,91.4,3.4,-,7.18,1.2,1,0.7,0.4,4.2,0.4,0.8,-,0.3,0.6,0.1,0.3,0.3,68.3,91.4,-,4.3,-
11,Saúl Ñíguez,Atletico,29," D(CL),M(CLR)",32(1),2925,4,1,10,-,1.6,78.8,2.9,4,7.17,2.5,1.3,1.7,0.1,2.2,1.5,0.3,1,1,0.8,0.2,1,1,44.9,78.8,0.1,1.5,0.1
12,Raúl García,Athletic Club,37," M(CLR),FW",27(6),2379,9,3,13,-,2.5,55.7,5.8,6,7.17,1.8,0.6,3,-,1.1,1.4,-,-,0.4,1.8,0.3,0.9,0.9,27.0,55.7,0.1,0.8,0.1
13,Pablo Sarabia,Sevilla,31," D(L),M(CLR),FW",30(3),2730,12,13,9,-,2.3,79.6,0.3,5,7.16,0.9,0.7,1.4,0.1,0.5,1.2,0.1,-,0.8,1.5,0.5,1.1,1.1,36.6,79.6,1.3,1.2,0.1
14,Casemiro,Real Madrid,32," D(C),DMC",27(2),2316,3,-,5,1,1.4,88.0,3,4,7.15,3,1.4,1.6,0.2,1.8,1.9,0.4,-,0.6,1.7,-,0.6,0.6,55.8,88.0,0.1,4.9,-
15,Joan Jordán,Eibar,29, M(C),32(4),2879,4,4,10,-,1.6,83.4,1.4,4,7.14,1.8,0.9,1.6,-,0.5,1.4,0.1,-,1.3,1,0.1,0.9,0.9,46.8,83.4,1.8,4.8,-
16,José Giménez,Atletico,29, D(CR),19(2),1772,-,-,5,-,0.7,80.5,2.7,-,7.13,1.2,2.1,0.4,0.2,6,0.6,0.7,-,0.3,0.9,-,0.1,0.1,34.2,80.5,-,4.1,-
17,José Campaña,Levante,30, M(CLR),36,3213,4,9,12,-,0.6,84.4,1.2,4,7.1,1.8,1.3,1.2,0.1,1.2,1.6,0.2,-,1.3,1,0.1,0.9,0.9,51.6,84.4,1.2,3.0,-
18,Santi Cazorla,Villarreal,39, M(CLR),30(5),2651,4,10,2,-,0.9,86.6,0.3,5,7.09,2,0.8,0.6,-,0.4,1.3,0.2,-,1.4,1.7,-,1.5,1.5,44.9,86.6,1.3,3.9,0.1
19,Toni Kroos,Real Madrid,34, M(C),26(2),2227,-,4,2,-,1.1,93.2,0.8,2,7.09,1.8,0.5,0.8,-,0.4,1.5,0.1,-,0.5,2,-,0.4,0.4,74.0,93.2,1.5,7.8,0.1
20,Koke,Atletico,32, M(CLR),29(1),2588,3,4,8,1,0.7,86.2,0.5,1,7.09,2.8,1,1.1,-,1.1,1.7,0.2,-,0.4,1.3,0.1,1.3,1.3,64.7,86.2,1,3.2,0.1
21,Jonathan Calleri,Deportivo Alaves,30, FW,33(1),2878,9,2,6,-,2.4,59.1,6,7,7.08,0.6,0.2,2.1,-,1.6,0.7,0.2,-,1.2,2.1,0.4,2.2,2.2,20.3,59.1,0.3,0.4,-
22,Éver Banega,Sevilla,35, M(C),32,2681,3,4,15,2,1,85.4,0.3,2,7.08,2.2,0.9,1.8,-,0.8,1.6,0.2,-,1.8,2.1,0.1,1.8,1.8,65.3,85.4,1,6.5,0.1
23,Ivan Rakitic,Barcelona,36, M(CL),29(5),2643,3,5,5,1,1.1,91.4,1.1,1,7.06,0.9,1.5,0.8,0.1,0.8,0.7,0.2,-,0.6,1.6,0.1,0.7,0.7,74.6,91.4,0.1,4.6,0.1
