,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Lionel Messi,Barcelona,36," AM(CR),FW",32(1),2881,25,21,4,-,4.8,82.6,0.3,22,8.71,0.6,0.2,0.6,-,-,0.5,-,-,5.5,2.1,0.4,2.4,2.4,59.8,82.6,0.8,2.2,0.6
1,Casemiro,Real Madrid,32," D(C),DMC",35,3091,4,3,12,-,1.3,84.1,2.9,3,7.47,2.7,1.9,2.5,0.1,1.9,1.7,0.3,-,0.8,1.9,0.1,0.8,0.8,61.5,84.1,0.2,6.5,-
2,Karim Benzema,Real Madrid,36, FW,36(1),3155,21,8,-,-,3.4,86.2,0.8,10,7.44,0.5,0.2,0.6,-,0.8,0.4,0.1,-,1,0.4,0.7,1.1,1.1,34.7,86.2,-,1.4,0.1
3,Luis Suárez,Barcelona,37," AM(CLR),FW",22(6),2002,16,8,4,-,2.8,75.5,0.4,3,7.33,0.1,-,0.5,-,0.4,0.4,-,-,0.8,0.9,0.6,0.9,0.9,23.4,75.5,0.1,0.9,-
4,Mikel Merino,Real Sociedad,27, M(C),35(1),3144,5,1,9,-,1.2,75.8,5.1,5,7.31,2.2,1.4,2.1,0.1,1.4,1.6,0.2,-,1,2.5,0.1,1.4,1.4,53.7,75.8,0.2,2.2,-
5,Gerard Moreno,Villarreal,32," AM(CR),FW",33(2),2755,18,5,5,-,2.5,74.5,1.6,6,7.31,0.5,0.3,1,0.1,1.4,1.2,0.1,-,1.7,1.4,0.5,1.3,1.3,27.5,74.5,0.3,1.9,0.1
6,Nabil Fekir,Real Betis,30," AM(CLR),FW",31(1),2652,7,4,6,2,3.2,83.9,1.0,8,7.22,1.3,0.3,2.2,-,0.1,0.8,0.1,-,3.1,3.5,0.4,1.9,1.9,29.8,83.9,0.5,1.2,-
7,Saúl Ñíguez,Atletico,29," D(CL),M(CLR)",35,3076,6,-,10,-,1.3,79.3,3.4,5,7.22,2.7,1.6,1.8,0.1,1.6,1.4,0.4,-,0.8,0.7,0.2,0.9,0.9,47.7,79.3,0.1,2.2,0.1
8,Joselu,Deportivo Alaves,34, FW,31(5),2786,11,2,6,-,2.4,52.0,8.7,10,7.22,0.7,0.4,1.4,0.1,1.3,0.8,0.1,-,0.4,1.6,0.2,1.2,1.2,26.9,52.0,-,0.9,-
9,Lucas Ocampos,Sevilla,29," M(CLR),FW",31(2),2756,14,3,8,1,2.5,79.9,0.9,4,7.21,1.6,0.7,1.3,-,0.7,1.3,0.1,-,2.1,1.7,0.4,2.2,2.2,25.4,79.9,0.6,0.8,-
10,Raúl García,Athletic Club,37," M(CLR),FW",33(2),2878,15,1,11,-,2.3,55.9,6.1,6,7.21,1.6,0.7,2.2,0.1,1.2,1.7,0.2,-,0.3,1.7,0.5,0.4,0.4,26.8,55.9,0.1,0.6,-
