,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,19.8,7.8,14.5,10.4
1,Borussia M,14.8,5.4,10.9,13.9
2,Mainz 05,13.8,4.6,7.9,11.4
3,FC Koln,13.8,4.4,7.4,13.5
4,Freiburg,13.6,4.8,6.6,11
5,Bayer Leverkusen,13.5,5.6,11.8,9.7
6,Borussia Dortmund,13.3,5.2,10.4,11.7
7,VfB Stuttgart,13.3,4.6,11,12.3
8,Hoffenheim,13.3,4.4,7.4,10.2
9,Eintracht Frankfurt,13.2,4.1,8.4,8.8
10,RB Leipzig,12.9,5.4,10.2,12.5
11,Wolfsburg,12.4,4.2,9.4,12.2
12,Union Berlin,12.1,4.6,7.2,9.8
13,Bochum,12.1,4.1,6.8,11.5
14,Hertha Berlin,10.8,3.6,8.3,12.6
15,Augsburg,10.8,3.7,7.7,10.5
16,Arminia Bielefeld,10.7,3.3,8.4,9
17,Greuther Fuerth,9.2,3.1,7.8,12.8
