,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,18.7,7.6,12.5,10.1
1,Hoffenheim,18,6.6,10.5,10.2
2,Bayer Leverkusen,15.2,5.8,9.6,11.3
3,Mainz 05,14.6,4.4,9.3,10.6
4,RB Leipzig,14.6,5.4,9.2,11.6
5,Werder Bremen,13.9,5.2,6.5,10.2
6,Borussia M,13.5,4.7,8.3,10.5
7,Augsburg,13.4,4.8,6.4,10.3
8,Borussia Dortmund,13.2,5.4,12.9,11.3
9,Wolfsburg,12.5,4.9,7.5,12.9
10,Freiburg,12.5,4.8,6.9,12
11,Eintracht Frankfurt,12.4,4.5,8.6,10.2
12,Fortuna Duesseldorf,12.3,4.7,6.8,11.9
13,Schalke 04,12.2,3.9,10.5,11.7
14,VfB Stuttgart,12,3.4,7,11.7
15,Hertha Berlin,11.9,4.4,9,11
16,Hannover 96,11.3,3.6,8.1,12.4
17,Nuernberg,10.6,3.1,7.4,11.2
