,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,18.5,7.6,13.7,9.9
1,Borussia Dortmund,16.6,6.6,12.2,12
2,RB Leipzig,14.8,5.7,10.1,11.8
3,VfB Stuttgart,13.6,4.4,9.9,12
4,Bayer Leverkusen,12.9,4.9,10.2,12
5,Schalke 04,12.5,3.8,5.8,11.5
6,Freiburg,12.4,5.3,6.4,12.5
7,Mainz 05,12.4,4.7,6.6,9.8
8,FC Koln,12.3,4.6,6.6,10.4
9,Borussia M,12,5.1,7.1,13.1
10,Wolfsburg,12,4.3,7.5,13.3
11,Hoffenheim,12,4.1,7.3,10.9
12,Eintracht Frankfurt,11.9,4.2,8.6,11.1
13,Bochum,11.8,3.8,5.1,10.4
14,Hertha Berlin,11.3,3.9,9.5,11.6
15,Union Berlin,11.2,3.6,5.4,10.1
16,Werder Bremen,10.9,4.2,6.9,10.9
17,Augsburg,10.6,3.1,5.9,10.5
