,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,18.1,7.5,14.1,10.4
1,RB Leipzig,16.2,6.4,11.4,10.9
2,Eintracht Frankfurt,14.8,5.1,9.6,10.8
3,Bayer Leverkusen,14.5,5.5,13.2,10.9
4,Borussia M,14.1,5.9,11.4,13.1
5,Wolfsburg,14,4.7,10.4,11.7
6,Mainz 05,13.3,4.2,11.1,11.8
7,Hoffenheim,13.3,4.8,8.9,12.2
8,Freiburg,13.2,4.4,7.3,12.9
9,Borussia Dortmund,13.1,5.7,13.8,9.6
10,Paderborn,12.7,3.8,11.2,10.5
11,Fortuna Duesseldorf,12.6,3.5,7.6,12.6
12,Werder Bremen,12.5,4.1,7.6,13.2
13,FC Koln,12.3,4.5,8,12.8
14,Union Berlin,11.8,4,7.6,11
15,Schalke 04,11.3,3.8,12.4,11.2
16,Augsburg,10.7,4,6.9,11.3
17,Hertha Berlin,10.6,3.6,10.4,10.3
