,Rank,Name,Nation,Pos,Team,Age,Born,Mp,Start,Min,Goals,Ast,G_A,G_PK,PK,PKatt,Yellow,Red
367,368,Kim Yesung,kr KOR,FW,Suwon FC,18,2004,5,5,84,0,0,0,0,0,0,0,0
368,369,Go Yo-han,kr KOR,MF,FC Seoul,34,1988,6,4,219,0,0,0,0,0,0,1,0
369,370,Lee Yong,kr KOR,"DF,MF",Suwon FC,36,1986,25,21,"1,927",1,1,2,1,0,0,3,0
370,371,Kim Yong-hwan,kr KOR,DF,Pohang,29,1993,10,5,391,0,0,0,0,0,0,0,0
371,372,Lee Yong-rae,kr KOR,MF,Daegu,36,1986,29,15,"1,199",0,1,1,0,0,0,2,0
372,373,Park Yong-woo,kr KOR,MF,Ulsan Hyundai,29,1993,19,16,"1,400",1,4,5,1,0,0,3,0
373,374,Park Yonghui,kr KOR,FW,Daegu,20,2002,1,0,3,0,0,0,0,0,0,0,0
374,375,Heo Yool,kr KOR,FW,Gwangju FC,21,2001,33,23,"1,653",3,3,6,3,0,0,6,0
375,376,Gang Yoon-goo,kr KOR,MF,Incheon United,29,1993,6,5,333,0,0,0,0,0,0,0,0
376,377,Lim Yooseok,kr KOR,DF,Daejeon Citizen FC,22,2001,3,2,189,0,0,0,0,0,0,1,0
377,378,Kim Young-bin,kr KOR,DF,Gangwon,31,1991,38,38,"3,392",0,1,1,0,0,0,5,0
378,379,Kim Young-gwon,kr KOR,DF,Ulsan Hyundai,32,1990,32,30,"2,698",1,0,1,1,0,0,8,0
379,380,Choi Young-jun,kr KOR,MF,Jeju United FC,31,1991,9,8,628,0,1,1,0,0,0,3,0
380,381,Ahn Young-kyu,kr KOR,DF,Gwangju FC,33,1989,32,32,"2,809",2,2,4,2,0,0,5,0
381,382,Yun Young-sun,kr KOR,DF,Jeonbuk,34,1988,1,0,21,0,0,0,0,0,0,0,0
382,383,Kim Young-uk,kr KOR,MF,Daejeon Citizen FC,31,1991,22,10,"1,016",0,0,0,0,0,0,2,0
383,384,Choi Youngeun,kr KOR,GK,Daegu,27,1995,18,17,"1,575",0,0,0,0,0,0,4,0
384,385,Seo Youngjae,kr KOR,"MF,DF",Daejeon Citizen FC,27,1995,23,19,"1,669",0,0,0,0,0,0,2,0
385,386,Goh Youngjun,kr KOR,MF,Pohang,21,2001,28,23,"2,034",8,1,9,8,0,0,0,0
386,387,Kim Youngjun,kr KOR,FW,Daegu,22,2000,9,3,205,0,0,0,0,0,0,2,0
387,388,Seol Youngwoo,kr KOR,DF,Ulsan Hyundai,24,1998,32,27,"2,541",3,4,7,3,0,0,6,0
388,389,Cho Yumin,kr KOR,"DF,MF",Daejeon Citizen FC,26,1996,21,20,"1,754",2,0,2,2,0,0,5,0
389,390,Kang Yun-seong,kr KOR,"MF,DF",Daejeon Citizen FC,25,1997,13,11,994,1,1,2,1,0,0,2,0
390,391,Ju Yungjae,kr KOR,MF,Gwangju FC,20,2002,8,7,263,1,0,1,1,0,0,0,0
391,392,Kang Yungu,kr KOR,MF,Ulsan Hyundai,20,2002,19,19,583,1,1,2,1,0,0,3,0
392,393,Hong Yunsang,kr KOR,MF,Pohang,20,2002,11,8,648,2,0,2,2,0,0,0,0
393,394,Zeca,br BRA,FW,Pohang,25,1997,37,27,"2,429",12,6,18,8,4,5,4,0
