,Rank,Name,Nation,Pos,Team,Age,Born,Mp,Start,Min,Goals,Ast,G_A,G_PK,PK,PKatt,Yellow,Red
199,200,Kim JooGong,kr KOR,"FW,MF",Jeju United FC,26,1996,28,11,"1,784",3,2,5,3,0,0,1,0
200,201,Myung Joon-jae,kr KOR,"FW,MF",Suw Bluewings,28,1994,8,5,389,0,0,0,0,0,0,3,0
201,202,Song Ju-hun,kr KOR,DF,Jeju United FC,29,1994,13,8,835,1,0,1,1,0,0,1,0
202,203,Lee Ju-yong,kr KOR,"MF,DF",Jeju United FC,30,1992,33,26,"2,281",0,1,1,0,0,0,6,1
203,204,Kim Juchan,kr KOR,"FW,MF",Suw Bluewings,18,2004,25,22,"1,091",5,0,5,5,0,0,0,0
204,205,Lee Jun,kr KOR,GK,Gwangju FC,25,1997,13,12,"1,099",0,0,0,0,0,0,2,0
205,206,Kim Jun-su,kr KOR,DF,Suw Bluewings,31,1991,17,16,"1,477",0,0,0,0,0,0,3,0
206,207,Kim Jun-su,kr KOR,DF,Jeju United FC,31,1991,11,10,834,0,1,1,0,0,0,4,0
207,208,Kim Jun-yeop,kr KOR,MF,Incheon United,34,1988,28,24,"2,175",1,2,3,1,0,0,3,0
208,209,Bae Junho,kr KOR,"FW,MF",Daejeon Citizen FC,19,2003,17,13,"1,037",2,0,2,2,0,0,0,0
209,210,Kim Junho,kr KOR,MF,Pohang,20,2002,25,18,"1,050",0,1,1,0,0,0,0,0
210,211,Lee Junho,kr KOR,FW,Jeonbuk,20,2002,8,4,247,0,1,1,0,0,0,1,0
211,212,Welinton Júnior,br BRA,"MF,FW",Gangwon,29,1993,9,5,524,0,1,1,0,0,0,1,0
212,213,Byeon Junsoo,kr KOR,DF,Daejeon Citizen FC,21,2001,15,5,493,1,0,1,1,0,0,3,0
213,214,Min Junyeong,kr KOR,DF,Daejeon Citizen FC,26,1996,1,0,29,0,0,0,0,0,0,0,0
214,215,Kim Jusung,kr KOR,DF,FC Seoul,22,2000,38,37,"3,336",2,2,4,2,0,0,4,0
215,216,Kim Juyeop,kr KOR,"DF,FW",Suwon FC,22,2000,9,4,399,0,0,0,0,0,0,0,0
216,217,Lee Kanghyeon,kr KOR,MF,Gwangju FC,24,1998,26,13,"1,126",1,1,2,1,0,0,3,0
217,218,Yu Kanghyun,kr KOR,FW,Daejeon Citizen FC,26,1996,26,11,"1,002",1,2,3,1,0,0,2,0
218,219,Kim Kee-hee,kr KOR,DF,Ulsan Hyundai,33,1989,27,26,"2,260",0,0,0,0,0,0,7,0
219,220,Kim Keon-woong,kr KOR,"DF,MF",Jeonbuk,25,1997,11,6,609,0,0,0,0,0,0,4,0
220,221,Kim Keon-woong,kr KOR,MF,Jeju United FC,25,1997,12,10,829,2,0,2,2,0,0,2,0
221,222,Kim Keun-bae,kr KOR,GK,Jeju United FC,36,1986,2,1,135,0,0,0,0,0,0,0,0
222,223,Lee Keun-ho,kr KOR,"FW,MF",Daegu,37,1985,32,10,856,2,1,3,2,0,0,2,0
223,224,Yeom Ki-hun,kr KOR,"FW,MF",Suw Bluewings,39,1983,3,3,190,0,0,0,0,0,0,0,0
224,225,Lee Ki-je,kr KOR,"DF,MF",Suw Bluewings,31,1991,31,26,"2,481",2,4,6,2,0,0,5,0
225,226,Han Kook-young,kr KOR,MF,Gangwon,32,1990,35,32,"2,854",1,4,5,1,0,0,3,0
226,227,Kazuki Kozuka,jp JPN,MF,Suw Bluewings,28,1994,16,15,"1,282",1,2,3,1,0,0,2,1
227,228,Anton Krivotsyuk,az AZE,"DF,MF",Daejeon Citizen FC,24,1998,33,31,"2,750",1,1,2,1,0,0,8,1
228,229,Shin Kwang-hoon,kr KOR,"DF,MF",Pohang,35,1987,22,9,"1,017",0,1,1,0,0,0,6,0
229,230,Ryu Kwanghyun,kr KOR,DF,Gangwon,19,2003,11,10,831,0,0,0,0,0,0,2,0
230,231,Kim Kyeong-min,kr KOR,GK,Gwangju FC,31,1991,26,26,"2,321",0,0,0,0,0,0,1,0
231,232,Han Kyo-won,kr KOR,"MF,FW",Jeonbuk,32,1990,28,17,"1,400",5,2,7,5,0,0,1,0
232,233,Lee Kyu-seong,kr KOR,MF,Ulsan Hyundai,28,1994,32,24,"2,107",0,2,2,0,0,0,4,0
233,234,Kim Kyung-jung,kr KOR,"MF,FW",Suw Bluewings,31,1991,15,5,623,2,1,3,2,0,0,3,0
234,235,Kim Kyungjae,kr KOR,"DF,MF",Gwangju FC,29,1993,3,0,21,0,0,0,0,0,0,0,0
235,236,Leandro,br BRA,FW,Daejeon Citizen FC,28,1995,24,16,"1,185",2,6,8,2,0,0,0,0
236,237,Timo Letschert,nl NED,DF,Gwangju FC,29,1993,27,26,"2,266",3,1,4,3,0,0,6,1
237,238,Sandro Lima,br BRA,FW,Gwangju FC,32,1990,12,7,736,1,2,3,1,0,1,1,0
238,239,Ricardo Lopes Pereira,br BRA,FW,Suwon FC,32,1990,14,3,784,3,1,4,1,2,2,1,1
239,240,Gustav Ludwigson,se SWE,MF,Ulsan Hyundai,29,1993,27,17,"1,600",6,3,9,6,0,0,3,0
240,241,André Luis,br BRA,"MF,FW",Jeonbuk,25,1997,13,7,521,0,0,0,0,0,0,2,0
241,242,Paul-Jose M'Poku,cd COD,"FW,MF",Incheon United,30,1992,24,15,"1,320",3,2,5,2,1,1,5,0
242,243,Ádám Martin,hu HUN,FW,Ulsan Hyundai,28,1994,30,12,"1,239",5,5,10,4,1,1,7,0
243,244,Beka Mikeltadze,ge GEO,"FW,MF",Gwangju FC,25,1997,10,5,513,2,0,2,2,0,0,0,0
244,245,Kim Min-hyeok,kr KOR,MF,Ulsan Hyundai,30,1992,32,19,"1,958",2,3,5,2,0,0,7,0
245,246,Gong Min-hyun,kr KOR,MF,Daejeon Citizen FC,33,1990,10,1,265,0,0,0,0,0,0,1,0
246,247,Lee Min-ki,kr KOR,DF,Gwangju FC,29,1993,28,26,"2,074",1,1,2,1,0,0,4,0
247,248,Kim Minduk,kr KOR,DF,Daejeon Citizen FC,26,1996,26,22,"2,097",1,0,1,1,0,0,3,0
248,249,Yoon Minho,kr KOR,MF,Pohang,23,1999,6,5,230,0,1,1,0,0,0,1,0
249,250,Lee Minhyeok,kr KOR,"FW,MF",Jeonbuk,21,2002,3,3,164,0,0,0,0,0,0,0,0
250,251,Jeong Minki,kr KOR,GK,Jeonbuk,26,1996,9,9,810,0,0,0,0,0,0,0,0
251,252,Joo Minkyu,kr KOR,FW,Ulsan Hyundai,32,1990,36,26,"2,404",17,2,19,14,3,4,5,0
252,253,Song Minkyu,kr KOR,"FW,MF",Jeonbuk,23,1999,30,19,"1,904",7,3,10,7,0,0,2,0
