,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kevin De Bruyne,0.9,0.3,0.6,-,0.3,0.8,0.1,-
1,Erling Haaland,0.1,0.1,0.9,-,0.4,0.1,0.1,-
2,Harry Kane,0.4,0.1,0.8,0.1,0.5,0.4,0.2,-
3,Bruno Fernandes,1.8,0.7,1.1,-,1,1.1,0.1,-
4,Gabriel Jesus,1.3,0.4,1.7,-,0.5,0.7,0.1,-
5,Kieran Trippier,1.9,1.1,1.3,0.3,2,1.2,0.4,1
6,Bukayo Saka,1.7,0.4,1.1,0.1,0.4,0.6,-,-
7,Solly March,1.6,0.7,1.4,0.1,0.9,0.6,0.1,-
8,Jack Grealish,0.9,0.3,1,-,0.3,0.4,0.1,-
9,Martin Ødegaard,1,0.2,0.8,-,0.3,0.9,0.1,-
10,Rodri,1.9,0.9,1.3,-,1.2,0.8,0.4,-
11,Gabriel Martinelli,0.9,0.3,1.1,-,0.3,0.4,-,-
12,Ivan Toney,0.7,0.4,1.6,-,1.1,0.5,0.3,-
13,Joelinton,2.2,1.5,2,0.1,1.2,1.1,0.2,-
14,James Maddison,1.7,0.4,1,-,0.1,1,-,-
15,Bruno Guimarães,2.4,1.1,1.4,-,0.6,0.8,0.1,-
16,Casemiro,3.1,1.2,1.7,-,2.1,1.6,0.4,-
17,Mohamed Salah,0.6,0.2,0.5,-,0.1,0.4,-,-
18,Phil Foden,0.5,0.2,0.3,-,0.3,0.3,0.1,-
19,Ilkay Gündogan,1,0.6,0.7,-,0.4,0.7,0.1,-
20,Trent Alexander-Arnold,1.5,1.2,0.6,0.3,1,1,0.2,-
21,Ethan Pinnock,1.7,1.2,0.2,0.7,7.1,0.2,1,1
22,Aleksandar Mitrovic,0.6,0.1,1.4,-,0.8,0.3,0.2,-
23,Marcus Rashford,0.6,0.2,0.4,-,0.4,0.4,0.1,-
24,Thomas Partey,2.1,0.8,1.1,0.1,1.2,0.8,0.2,-
25,Cody Gakpo,1.2,0.2,1.2,-,0.1,1.2,-,-
26,Alexander Isak,0.8,0.2,0.9,-,0.4,0.8,0.1,-
