,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
71,Joshua King,0.9,0.2,1.5,-,0.4,0.6,0.1,-
72,Riyad Mahrez,0.5,0.3,0.4,-,0.1,0.4,-,-
73,Hugo Lloris,-,-,-,-,1,0.1,-,-
74,Lucas Moura,1.1,0.8,0.8,-,0.8,0.6,-,-
75,Isaac Hayden,2.9,1.6,1.3,0.1,1.1,0.7,0.2,-
76,Fabinho,2.1,1,1,0.2,0.9,1.3,0.2,-
77,Marcus Rashford,0.7,0.1,0.8,-,0.7,0.7,-,-
78,Matt Ritchie,1.9,1.4,1.5,0.1,1.7,0.8,0.3,-
79,Ayoze Pérez,1.6,1.1,1.2,-,0.8,1.2,0.1,-
80,Dele Alli,1.3,0.8,0.9,-,0.7,0.8,0.2,-
81,Jamie Vardy,0.4,0.2,0.6,-,0.8,0.4,-,-
82,Declan Rice,2.9,1.5,0.5,-,1.6,1.5,0.4,-
83,N'Golo Kanté,2.1,1.2,1,-,0.7,1.2,0.2,-
84,Michail Antonio,0.7,0.5,1,0.1,0.6,0.2,0.1,-
85,James Milner,1.4,0.6,0.9,0.2,0.7,0.8,0.2,-
86,Luke Shaw,1.9,0.7,1.4,0.1,2.8,0.7,0.4,-
87,Nathan Redmond,1.2,0.5,0.8,-,0.6,0.7,0.1,-
88,Bernardo,2.8,1.5,0.8,0.2,3,0.6,0.6,-
89,Anthony Martial,0.3,0.1,0.5,-,0.3,0.4,-,-
90,Arthur Masuaku,2.5,1.6,0.7,0.7,2.4,1.1,0.3,-
91,Diogo Jota,0.8,0.4,1.3,-,0.3,0.8,-,-
92,Jan Vertonghen,1.8,1.5,0.5,0.9,3.3,0.5,0.5,-
93,Richarlison,1.4,0.5,0.9,-,1.1,0.5,0.1,-
94,Issa Diop,2.1,1.9,0.5,1.1,4.7,0.6,1.1,1
95,Georginio Wijnaldum,1.2,0.6,0.5,-,0.7,0.4,0.2,-
96,Jorginho,2.1,1.7,0.9,-,0.9,1.4,0.2,-
97,Nathaniel Méndez-Laing,1.7,0.7,0.4,-,0.7,0.7,0.1,-
98,Henrikh Mkhitaryan,1.1,0.6,1.1,-,0.4,0.6,0.1,-
99,Jonny Evans,1,1.4,0.9,0.8,6.1,0.2,0.4,-
