Name,Position,Date of Birth,Age,Nationality,Market Value
Mike Maignan,Goalkeeper,"Jul 3, 1995",27,France,€45.00m
Ciprian Tătărușanu,Goalkeeper,"Feb 9, 1986",37,Romania,€400k
Devis Vásquez,Goalkeeper,"May 12, 1998",25,Colombia,€350k
Andreas Jungdal,Goalkeeper,"Feb 22, 2002",21,Denmark,€300k
Lapo Nava,Goalkeeper,"Jan 22, 2004",19,Italy,€150k
Antonio Mirante,Goalkeeper,"Jul 8, 1983",39,Italy,€100k
Fikayo Tomori,Centre-Back,"Dec 19, 1997",25,England,€40.00m
Pierre Kalulu,Centre-Back,"Jun 5, 2000",23,France,€30.00m
Malick Thiaw,Centre-Back,"Aug 8, 2001",21,Germany,€20.00m
Matteo Gabbia,Centre-Back,"Oct 21, 1999",23,Italy,€5.00m
Simon Kjaer,Centre-Back,"Mar 26, 1989",34,Denmark,€3.50m
Andrei Coubiș,Centre-Back,"Sep 29, 2003",19,Romania,€100k
Theo Hernández,Left-Back,"Oct 6, 1997",25,France,€60.00m
Sergiño Dest,Left-Back,"Nov 3, 2000",22,United States,€10.00m
Fodé Ballo-Touré,Left-Back,"Jan 3, 1997",26,Senegal,€3.50m
Andrea Bozzolan,Left-Back,"Feb 23, 2004",19,Italy,€125k
Davide Calabria,Right-Back,"Dec 6, 1996",26,Italy,€20.00m
Alessandro Florenzi,Right-Back,"Mar 11, 1991",32,Italy,€2.00m
Sandro Tonali,Defensive Midfield,"May 8, 2000",23,Italy,€50.00m
Ismaël Bennacer,Defensive Midfield,"Dec 1, 1997",25,Algeria,€40.00m
Rade Krunic,Defensive Midfield,"Oct 7, 1993",29,Bosnia-Herzegovina,€10.00m
Yacine Adli,Defensive Midfield,"Jul 29, 2000",22,France,€8.00m
Tiemoué Bakayoko,Defensive Midfield,"Aug 17, 1994",28,France,€2.50m
Tommaso Pobega,Central Midfield,"Jul 15, 1999",23,Italy,€14.00m
Aster Vranckx,Central Midfield,"Oct 4, 2002",20,Belgium,€8.50m
Antonio Gala,Central Midfield,"Jun 7, 2004",19,Italy,€75k
Charles De Ketelaere,Attacking Midfield,"Mar 10, 2001",22,Belgium,€22.00m
Brahim Díaz,Attacking Midfield,"Aug 3, 1999",23,Morocco,€20.00m
Rafael Leão,Left Winger,"Jun 10, 1999",24,Portugal,€90.00m
Ante Rebic,Left Winger,"Sep 21, 1993",29,Croatia,€6.00m
Alexis Saelemaekers,Right Winger,"Jun 27, 1999",24,Belgium,€15.00m
Junior Messias,Right Winger,"May 13, 1991",32,Brazil,€4.50m
Divock Origi,Centre-Forward,"Apr 18, 1995",28,Belgium,€6.00m
Olivier Giroud,Centre-Forward,"Sep 30, 1986",36,France,€4.00m
Marko Lazetic,Centre-Forward,"Jan 22, 2004",19,Serbia,€2.00m
Zlatan Ibrahimović,Centre-Forward,"Oct 3, 1981",41,Sweden,€2.00m
