,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Bayern Munich,99,17.1,44,3,58.1,85.5,12.9,6.95
1,Borussia Dortmund,75,14.6,43,1,57.5,85.5,12.8,6.84
2,Wolfsburg,61,14.1,56,3,51.0,78.0,16.9,6.80
3,RB Leipzig,60,16,57,0,57.3,83.2,18.6,6.78
4,Bayer Leverkusen,53,13,58,0,57.3,84.4,13.1,6.73
5,Eintracht Frankfurt,69,13.2,80,1,24.8,79.6,17.9,6.73
6,Borussia M,64,13.4,61,2,51.5,82.0,15.3,6.70
7,VfB Stuttgart,56,13.4,63,2,27.4,81.1,16.3,6.68
8,Hoffenheim,52,12.6,65,4,50.8,80.7,15.7,6.63
9,Union Berlin,50,11.7,55,2,20.9,76.2,17.6,6.62
10,Freiburg,52,11.4,63,0,47.5,78.1,17.5,6.60
11,Hertha Berlin,41,11.3,63,3,49.8,79.5,15.8,6.58
12,Mainz 05,39,11.1,61,1,42.7,71.3,18.3,6.57
13,Augsburg,36,9.9,65,4,44.0,73.6,16.8,6.56
14,Arminia Bielefeld,26,9.8,52,1,44.1,74.6,22.2,6.53
15,Werder Bremen,36,10.6,63,3,18.4,76.2,18.3,6.52
16,FC Koln,34,10.6,62,1,47.1,77.3,18.5,6.51
17,Schalke 04,25,8.9,70,2,46.2,76.5,15.6,6.41
