,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Bayern Munich,92,18.5,45,3,64.3,87.1,13.9,6.94
1,Borussia Dortmund,83,16.6,66,0,58.3,84.4,12.6,6.88
2,RB Leipzig,64,14.8,67,2,58.4,83.6,13,6.72
3,Freiburg,51,12.4,60,2,48.0,76.9,22,6.67
4,Wolfsburg,57,12,63,0,50.5,79.4,15.6,6.65
5,Bayer Leverkusen,57,12.9,70,7,51.8,81.9,12.7,6.64
6,Borussia M,52,12,60,3,54.0,83.4,12.6,6.63
7,Union Berlin,51,11.2,63,2,42.9,73.6,22.7,6.63
8,Mainz 05,54,12.4,69,1,43.9,71.3,21.9,6.61
9,Eintracht Frankfurt,58,11.9,70,1,52.5,79.5,13.8,6.60
10,Werder Bremen,51,10.9,76,1,49.5,76.3,18.7,6.58
11,VfB Stuttgart,45,13.6,64,5,50.1,80.9,16.2,6.57
12,FC Koln,49,12.3,69,3,49.4,77.8,19.5,6.57
13,Hoffenheim,48,12,74,5,48.0,77.1,16.3,6.55
14,Hertha Berlin,42,11.3,80,1,41.3,71.2,18.8,6.51
15,Bochum,40,11.8,64,1,45.7,69.9,22.8,6.50
16,Schalke 04,35,12.5,68,1,45.2,71.7,20.5,6.48
17,Augsburg,42,10.6,92,5,40.9,68.1,18.9,6.48
