,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,R. deB. Bengoetxea,24,20.58,0.64,0.21,5.17,124,0.42,10
1,César Soto Grado,22,26.95,0.78,0.36,5.68,125,0.32,7
2,C.d.C. Grande,21,25.33,0.77,0.29,3.81,80,0.48,10
3,Jesús Gil Manzano,21,24.33,0.75,0.24,4.95,104,0.38,8
4,A.M.M. Lahoz,20,25.1,0.79,0.35,3.7,74,0.2,4
5,J.I. Villanueva,20,22.9,0.7,0.35,4.55,91,0.25,5
6,J.L.P. Santana,20,25.35,0.77,0.2,4.65,93,0.3,6
7,J.M.S. Martínez,19,27.58,0.9,0.21,5.42,103,0.26,5
8,Mario Melero López,19,24.95,0.76,0.32,3.63,69,0.21,4
9,Pablo González Fuertes,19,29.26,0.98,0.32,5.63,107,0.16,3
10,Jorge Figueroa Vázquez,19,27.53,0.88,0.32,5.16,98,0.42,8
11,Juan Martínez Munuera,18,27.94,0.91,0.33,5.22,94,0.17,3
12,A.J.H. Hernández,18,26.17,0.77,0.39,6.06,109,0.44,8
13,Alejandro Muñiz Ruiz,18,27.72,0.87,0.22,5.06,91,0.44,8
14,I.D. deM. Escuderos,18,28.06,0.88,0.28,5.06,91,0.5,9
15,J.L.M. Montero,18,27.5,0.87,0.17,5.06,91,0.44,8
16,M.Á.O. Arias,17,24.24,0.74,0.41,4.29,73,0.59,10
17,G.C. Fernández,17,28.94,0.98,0.71,5.65,96,0.71,12
18,Javier Alberola Rojas,16,25.56,0.82,0.19,3.06,49,0.25,4
19,Valentín Pizarro Gómez,16,23.75,0.77,0.25,3.69,59,0.44,7
