,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Atletico Madrid,10.9,17.3,10.8,13.5,3.1
1,Espanyol,11.7,16.5,9.5,15.3,1.7
2,Osasuna,11.2,16.1,11,14.5,2.1
3,Leganes,9.2,15.8,11,15.6,2
4,Celta Vigo,11.7,15.5,10.4,12.4,1.8
5,Sevilla,10.2,15.4,9.1,13.7,2.4
6,Real Madrid,8.9,15.4,10,12.8,2.2
7,Granada,11.8,15.4,10.1,15.5,1.8
8,Getafe,7.4,15.3,9.7,18.6,2.8
9,Deportivo Alaves,12.4,15.2,10.3,16.3,1.6
10,Real Valladolid,12.4,14.9,10.3,12.7,2.1
11,Eibar,10,14.9,11.3,14.2,1.9
12,Villarreal,12.7,14.6,8.9,12.7,1.9
13,Real Sociedad,10.4,14.5,8.4,13.2,2.1
14,Mallorca,13.1,14.3,9.9,13.4,1.5
15,Barcelona,9.8,14.1,9,10.9,2.2
16,Athletic Club,10.3,14,9.8,13.7,2.2
17,Levante,15.2,13.3,8.7,12.3,2.1
18,Real Betis,11.8,13.2,7.9,12.4,2.2
19,Valencia,15.1,13.2,9.5,10.9,2.6
