,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Atletico Madrid,11.4,20.6,12.2,12.5,2.1
1,Real Valladolid,12.9,18.8,10.2,13.7,2.5
2,SD Huesca,12.3,18.7,11.5,15.2,2.5
3,Villarreal,14.6,17.6,10.3,13.6,2.5
4,Espanyol,13.6,17.2,10.7,14,2.2
5,Rayo Vallecano,11.8,17.1,11.4,14.9,1.9
6,Deportivo Alaves,13.2,16.9,10.3,14.5,1.5
7,Athletic Club,10.4,16.9,11.9,15.3,1.9
8,Eibar,8.8,16.8,9.7,13.7,2.4
9,Celta Vigo,12.6,16.7,10.1,12.1,2.4
10,Real Madrid,10.2,16.5,9.8,11.7,2.9
11,Real Betis,11.2,16.2,9.5,11.4,2.1
12,Girona,13.8,16.1,11.4,14.1,1.6
13,Leganes,10.8,16,11.4,14.3,2
14,Getafe,10,15.9,11.9,16.9,2.7
15,Valencia,12.7,15.7,11,12.2,2
16,Sevilla,12.1,15.7,9.6,14.1,2.9
17,Real Sociedad,11.7,15.2,11.2,12.9,2.4
18,Levante,18.2,15.1,11.1,13.2,2.2
19,Barcelona,10.8,14.1,10.3,10.8,2.7
