,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Karim Benzema,Real Madrid,36, FW,31(1),2600,27,12,-,-,4,85.2,0.6,10,7.69,0.3,0.1,0.4,-,0.4,0.2,-,-,1.1,0.3,1,0.8,0.8,38.1,85.2,0.1,1,0.1
1,Vinícius Júnior,Real Madrid,23," AM(L),FW",30(5),2701,17,10,6,-,2.3,85.9,0.1,8,7.56,1.3,0.2,1,-,-,1,-,-,2.7,2.1,0.7,1.7,1.7,35.1,85.9,0.3,1.2,0.1
2,Ousmane Dembélé,Barcelona,26," AM(CLR),FW",15(6),1413,1,13,3,-,2.2,84.4,0.2,4,7.46,1.1,0.4,0.5,-,0.1,0.8,-,-,2.8,0.8,0.2,1.3,1.3,31.7,84.4,1.4,1.1,0.3
3,Nabil Fekir,Real Betis,30," AM(CLR),FW",33(1),2812,6,8,7,1,2.5,86.4,0.8,7,7.38,1.3,0.2,1.9,-,0.1,0.9,-,-,2.4,2.7,0.3,2.4,2.4,38.8,86.4,1.8,1.3,0.2
4,Casemiro,Real Madrid,32," D(C),DMC",31(1),2576,1,3,11,-,1.3,86.0,3.2,3,7.26,2.5,1.2,1.7,-,1.8,1.2,0.6,-,0.6,1.2,0.1,0.4,0.4,61.3,86.0,0.1,5.5,0.2
5,Joselu,Deportivo Alaves,34, FW,35(2),3126,14,4,-,-,2.6,61.1,7.7,5,7.25,0.4,0.2,1.2,-,1.2,0.5,0.1,-,0.5,1.5,0.3,0.9,0.9,28.4,61.1,0.1,0.6,0.1
6,Iker Muniain,Athletic Club,31, AM(CLR),34(1),2803,4,10,3,-,1.2,84.8,0.1,6,7.19,0.9,0.5,0.4,-,0.1,0.8,-,-,1.9,2.3,0.1,1.6,1.6,39.2,84.8,1.5,1.5,0.1
7,Iago Aspas,Celta Vigo,36," AM(CR),FW",36(1),3094,18,6,8,-,2.4,75.5,0.6,5,7.19,0.4,0.3,0.6,-,0.5,0.5,0.1,-,1.4,1.4,0.5,0.9,0.9,33.4,75.5,0.4,1.3,0.1
8,Dani Parejo,Villarreal,35, M(C),32(1),2712,2,10,3,-,0.5,87.6,0.5,1,7.17,1.3,0.9,0.5,-,0.5,1,0.2,-,0.8,1.7,-,0.7,0.7,60.3,87.6,1.6,4.2,0.2
9,Mikel Merino,Real Sociedad,27, M(C),33(1),2896,3,2,8,-,1.3,77.6,3.3,3,7.16,2.1,0.6,1.8,0.1,1.6,1.2,0.3,-,0.8,2,0.1,1.6,1.6,50.8,77.6,0.2,2.4,0.2
10,Memphis Depay,Barcelona,30," AM(CL),FW",20(8),1850,12,2,3,-,2.2,82.1,0.4,5,7.1,0.4,0.1,0.8,-,0.1,0.4,-,-,1.6,1.6,0.5,1.2,1.2,28.9,82.1,1.3,0.6,-
11,Yannick Carrasco,Atletico,30," D(L),M(CLR),FW",28(6),2594,6,6,5,-,1.5,80.6,0.3,5,7.08,1,0.6,0.9,-,0.4,0.7,0.1,-,2.6,1.1,0.4,1.5,1.5,30.1,80.6,1.2,0.7,0.1
12,Sergio Busquets,Barcelona,35, DMC,36,3202,2,-,12,-,0.4,87.6,1.7,-,7.05,2.6,1.3,1.5,0.1,0.8,1,0.2,-,0.6,1.9,0.1,0.4,0.4,76.9,87.6,0.1,5.6,0.1
13,Raúl de Tomás,Espanyol,29, FW,33(1),2928,17,3,5,2,3.1,83.9,1,4,7.02,0.4,0.2,1,-,1.1,0.3,0.1,-,1.5,1.6,0.9,1.8,1.8,21.2,83.9,0.1,1.8,-
14,Luka Modric,Real Madrid,38, M(C),25(3),2050,2,8,5,-,1,90.1,0.2,-,7.01,0.6,0.7,0.9,-,0.3,0.8,0.1,-,1.1,1.1,-,0.8,0.8,58.5,90.1,0.4,3.8,0.2
15,Javi Galán,Celta Vigo,29," D(L),M(L)",37,3300,-,3,9,-,0.5,81.9,0.7,1,7.01,2.9,1.2,1.5,0.1,1.1,1.5,0.2,-,2.3,2,0.3,1,1,43.9,81.9,0.8,2,-
16,Mathías Olivera,Getafe,26," D(L),M(L)",32,2807,1,3,10,-,0.8,71.8,3.5,3,7.0,2.5,1.7,1.7,0.2,1.7,0.9,0.1,-,0.8,1.4,0.1,1.2,1.2,32.9,71.8,0.4,1,-
17,Óscar Trejo,Rayo Vallecano,36," M(CLR),FW",24(8),2023,3,9,13,-,0.7,82.2,0.8,2,7.0,1.3,0.4,1.8,-,0.3,1.1,-,-,2.6,2.1,0.1,2.1,2.1,28.6,82.2,1.2,1.1,0.1
18,Gonçalo Guedes,Valencia,27," AM(CLR),FW",30(6),2614,11,6,3,-,1.9,68.5,0.4,5,6.99,0.6,0.3,1,-,-,0.6,-,-,1.8,2.1,0.1,1.3,1.3,20.4,68.5,0.9,1,0.1
19,Jordi Alba,Barcelona,35," D(L),M(L)",30,2648,2,10,11,-,1,86.6,0.5,2,6.99,1.6,1.1,0.9,0.4,1.1,0.7,0.2,-,0.2,0.6,0.4,0.1,0.1,79.7,86.6,0.8,3.3,0.2
20,Toni Kroos,Real Madrid,34, M(C),25(3),2112,1,3,4,-,1.6,94.9,0.3,1,6.98,1.2,0.4,0.7,-,0.4,0.8,0.1,-,0.3,1.4,-,0.4,0.4,76.8,94.9,0.7,7.8,0.1
21,Gabriel Paulista,Valencia,33, D(CR),19,1602,2,1,2,-,0.3,77.7,2,3,6.98,1.1,2.1,0.6,0.8,4.5,0.3,0.6,-,0.1,0.6,0.1,0.2,0.2,33.5,77.7,-,3.7,-
22,Éder Militão,Real Madrid,26, D(CR),34,3033,1,2,5,-,1,89.3,2.4,3,6.97,1.5,1.5,1.1,0.4,3.1,0.6,0.6,-,0.3,1.1,-,0.2,0.2,58.6,89.3,-,3.8,0.1
23,Ferland Mendy,Real Madrid,28," D(L),M(L)",20(2),1739,2,1,4,-,0.5,92.0,0.5,-,6.96,1.1,0.8,0.7,0.1,0.9,0.3,0.1,-,1.6,1.1,0.1,0.6,0.6,53.9,92.0,0.2,1.2,-
24,Étienne Capoue,Villarreal,35," D(C),M(CL)",26(4),2298,1,1,9,-,0.5,88.4,1.8,3,6.96,1.5,1.2,1.5,-,1.7,0.4,0.2,-,1.4,1.5,-,0.5,0.5,43.8,88.4,-,1.9,0.1
25,José Luís Morales,Levante,36," D(R),M(CLR),FW",31(4),2727,13,7,7,-,2.3,72.8,0.5,6,6.96,0.8,0.1,0.8,-,0.1,0.9,-,-,1.8,1.1,0.4,1.6,1.6,17.9,72.8,0.7,0.8,0.1
26,Marcos Acuña,Sevilla,32," D(CL),M(CL)",26(5),2266,1,3,10,-,0.5,84.2,0.7,3,6.96,1.6,0.5,1.2,0.1,0.6,0.5,0.2,-,1.4,1.5,-,0.9,0.9,50.0,84.2,1.5,3.7,0.1
27,Marc Bartra,Real Betis,33," D(CR),DMC",23,1994,1,-,5,-,0.7,82.4,2.7,1,6.95,1.7,1.4,0.9,1.3,4.4,0.7,1,-,0.3,0.7,-,0.2,0.2,48.7,82.4,-,3.6,-
28,Iñigo Martínez,Athletic Club,32, D(C),26(1),2344,3,-,7,2,1,79.2,2.7,2,6.94,1,1.4,1.2,0.5,5.1,0.3,0.4,-,0.1,1,0.1,0.1,0.1,44.2,79.2,0.1,4.5,-
29,Juan Foyth,Villarreal,26," D(CR),DMC",22(3),1932,1,1,4,1,0.2,84.3,1.4,1,6.94,2.8,0.8,1.6,0.4,1.7,0.5,0.3,-,1.1,0.9,-,0.3,0.3,38.9,84.3,-,1.5,-
30,David García,Osasuna,30, D(C),35,3106,4,-,8,-,0.9,80.0,3.9,3,6.94,0.8,1.5,1.5,0.6,4.7,0.3,0.6,-,0.1,0.6,-,0.1,0.1,41.7,80.0,-,3.5,-
31,Enes Ünal,Getafe,26, FW,33(4),2812,16,1,8,-,2.3,61.5,3.9,6,6.94,1,0.1,2.1,-,1,1,0.1,-,0.7,1.9,0.4,1.5,1.5,17.1,61.5,0.1,0.2,-
32,Sergio Canales,Real Betis,33, M(CLR),33(1),2803,5,7,7,-,1.6,85.0,0.3,2,6.94,0.7,0.3,0.6,-,0.3,0.7,-,-,0.9,1.1,0.3,1.2,1.2,52.6,85.0,0.4,3.1,0.3
33,Pablo Maffeo,Mallorca,26," D(LR),M(R)",35,2952,1,3,10,-,0.8,70.4,1.7,1,6.93,2.4,1.3,0.9,0.1,1.7,0.9,0.4,-,1.4,1.7,0.1,1.6,1.6,26.2,70.4,0.8,0.9,-
34,Mauro Arambarri,Getafe,28, DMC,31,2667,-,5,13,-,1.2,77.6,0.9,2,6.93,2,1,1.6,-,0.4,1.5,0.2,-,1,1.5,-,1.2,1.2,36.9,77.6,1.4,4,-
35,Juanmi,Real Betis,30," AM(CLR),FW",26(7),2149,16,4,5,-,1.7,78.1,1,4,6.93,1.2,0.3,1.2,-,0.3,0.9,-,-,0.9,0.5,0.5,0.9,0.9,14.5,78.1,-,0.5,-
36,Gerard Piqué,Barcelona,37, D(C),25(2),2097,1,-,8,1,0.7,90.0,3,1,6.93,0.8,1.3,1.1,0.4,3.1,0.1,0.6,-,0.2,0.6,-,0.1,0.1,62.1,90.0,-,4.4,-
37,Carlos Soler,Valencia,27, M(CLR),28(4),2485,11,5,4,-,1.3,74.4,0.4,1,6.93,0.9,0.4,0.7,-,0.8,0.8,0.1,-,0.6,1.4,0.1,0.4,0.4,25.8,74.4,1.3,1.7,0.1
