,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
21,Luis Suárez,Atletico,37," AM(CLR),FW",30(2),2521,21,3,6,-,3.3,71.8,0.8,4,7.16,0.7,0.3,1,-,0.3,0.4,-,-,1,1.2,0.1,1,1,10.2,61.2,-,0.4,-
22,Luis Suárez,Granada,26," AM(L),FW",18(9),1670,5,1,6,-,1.7,61.2,1,3,6.55,0.3,0.2,0.7,-,0.4,0.3,-,-,0.4,1.3,1,0.8,0.8,18.0,71.8,0.1,0.6,0.1
23,Luis Suárez,Granada,26," AM(L),FW",18(9),1670,5,1,6,-,1.7,61.2,1,3,6.55,0.3,0.2,0.7,-,0.4,0.3,-,-,0.4,1.3,1,0.8,0.8,10.2,61.2,-,0.4,-
24,Luis Suárez,Granada,26," AM(L),FW",18(9),1670,5,1,6,-,1.7,61.2,1,3,6.55,0.3,0.2,0.7,-,0.4,0.3,-,-,1,1.2,0.1,1,1,18.0,71.8,0.1,0.6,0.1
25,Luis Suárez,Granada,26," AM(L),FW",18(9),1670,5,1,6,-,1.7,61.2,1,3,6.55,0.3,0.2,0.7,-,0.4,0.3,-,-,1,1.2,0.1,1,1,10.2,61.2,-,0.4,-
26,Luis Suárez,Granada,26," AM(L),FW",18(9),1670,5,1,6,-,1.7,61.2,1,3,6.55,0.7,0.3,1,-,0.3,0.4,-,-,0.4,1.3,1,0.8,0.8,18.0,71.8,0.1,0.6,0.1
27,Luis Suárez,Granada,26," AM(L),FW",18(9),1670,5,1,6,-,1.7,61.2,1,3,6.55,0.7,0.3,1,-,0.3,0.4,-,-,0.4,1.3,1,0.8,0.8,10.2,61.2,-,0.4,-
28,Luis Suárez,Granada,26," AM(L),FW",18(9),1670,5,1,6,-,1.7,61.2,1,3,6.55,0.7,0.3,1,-,0.3,0.4,-,-,1,1.2,0.1,1,1,18.0,71.8,0.1,0.6,0.1
29,Luis Suárez,Granada,26," AM(L),FW",18(9),1670,5,1,6,-,1.7,61.2,1,3,6.55,0.7,0.3,1,-,0.3,0.4,-,-,1,1.2,0.1,1,1,10.2,61.2,-,0.4,-
30,Luka Modric,Real Madrid,38, M(C),32(3),2744,5,3,4,-,1.3,88.1,0.5,5,7.15,1.1,1.4,0.9,-,0.3,0.7,0.1,-,1.6,0.9,-,0.9,0.9,63.1,88.1,0.4,4.7,0.1
31,Frenkie de Jong,Barcelona,26," D(C),DMC",35(2),3159,3,4,5,-,0.5,91.9,1.1,2,7.13,1.2,1,0.7,-,0.7,0.5,0.1,-,1.6,1.2,0.1,0.7,0.7,75.3,91.9,-,2.1,-
32,Nabil Fekir,Real Betis,30," AM(CLR),FW",33,2637,5,5,5,1,2.6,85.3,0.8,6,7.12,1.4,0.2,2.4,-,-,1.1,0.1,-,2.6,2.8,0.4,2.5,2.5,35.6,85.3,1,1,0.1
33,Dani Parejo,Villarreal,35, M(C),36,3120,3,4,5,-,0.8,90.2,0.7,1,7.1,1.8,1.3,0.9,-,0.5,1.3,0.2,-,1,1.7,-,0.6,0.6,74.1,90.2,1.2,4.9,-
34,Carlos Soler,Valencia,27, M(CLR),31(1),2737,11,8,7,-,1.2,85.8,0.6,4,7.05,1.3,0.7,0.8,-,1.3,1,0.3,-,0.8,1.2,-,0.4,0.4,44.7,85.8,1.2,3.1,0.1
35,Mikel Oyarzabal,Real Sociedad,27," AM(CLR),FW",30(3),2432,11,8,1,-,1.9,76.7,0.6,2,7.05,0.9,0.5,0.7,-,0.4,0.6,0.2,-,0.7,1.2,0.5,1.3,1.3,24.6,76.7,1.3,0.7,-
36,Alexander Isak,Real Sociedad,24," AM(L),FW",30(4),2361,17,2,4,-,2.4,72.7,1.2,6,7.03,0.3,0.1,0.8,0.1,0.2,0.1,-,-,1.1,1,0.6,0.8,0.8,12.6,72.7,0.2,0.3,0.1
37,Ousmane Dembélé,Barcelona,26," AM(CLR),FW",19(11),1781,6,3,2,-,1.8,85.8,0.3,3,7.01,0.5,0.3,0.5,-,-,0.4,-,-,2.1,0.9,0.4,1,1,30.7,85.8,0.7,0.7,-
38,Jules Koundé,Sevilla,25, D(CR),33(1),2976,2,1,4,-,0.6,90.1,3,4,7.01,0.8,1.2,0.6,0.2,2.9,0.4,0.5,-,0.9,0.7,0.1,0.3,0.3,69.3,90.1,0.1,2.9,-
39,Fernando,Sevilla,36," D(C),DMC",28(3),2547,3,4,6,-,0.2,89.7,1.8,1,7.0,1.7,1.3,1.3,0.1,2,0.6,0.4,-,0.4,0.5,-,0.3,0.3,50.8,89.7,-,2.8,0.1
40,Jordi Alba,Barcelona,35," D(L),M(L)",34(1),3030,3,5,9,-,0.8,86.9,0.1,-,7.0,1.3,1.4,0.6,0.1,0.9,0.8,0.1,1,0.5,0.4,0.3,0.4,0.4,73.4,86.9,0.7,1.8,-
41,David Silva,Real Sociedad,38," M(CLR),FW",17(4),1408,2,5,4,-,1,85.0,0.5,-,6.99,0.9,0.6,1.1,-,0.3,0.6,-,-,1.5,1,-,0.8,0.8,39.7,85.0,0.4,1.9,0.2
42,Emerson Royal,Real Betis,25," D(CR),M(R)",34,2993,1,4,9,1,0.3,81.2,1.8,2,6.98,2.7,1.8,1.7,0.5,2.5,1,0.2,1,0.7,2.1,0.1,1,1,45.0,81.2,0.6,1.2,-
43,Bryan Gil,Eibar,23, AM(CLR),26(2),2273,4,3,6,-,1.4,78.0,0.5,1,6.96,1,0.6,0.9,-,0.2,0.6,-,-,2.4,1.7,0.4,1.3,1.3,28.2,78.0,1.5,0.5,-
44,Sergio Canales,Real Betis,33, M(CLR),28(3),2502,8,6,4,-,1.5,87.4,0.3,-,6.95,0.5,0.4,0.5,-,0.2,0.6,-,-,1,0.7,0.1,0.8,0.8,53.4,87.4,1.2,4,-
45,Guido Rodríguez,Real Betis,30, DMC,34(1),2873,1,-,10,-,0.9,84.0,1.6,3,6.95,2.8,1.9,1.7,-,1.5,1.3,0.4,-,1,1.3,-,0.6,0.6,46.6,84.0,-,2.6,-
46,Kike García,Eibar,34, FW,36(1),3105,12,2,2,1,2.4,68.1,5.1,3,6.95,0.6,0.2,1.8,-,0.8,0.4,-,-,1,2.5,0.4,1.7,1.7,22.5,68.1,0.2,0.5,-
47,Ángel Correa,Atletico,29," AM(CLR),FW",29(9),2412,9,8,3,-,1.4,80.0,0.3,2,6.94,1,0.6,1,-,0.3,0.8,-,-,1.4,0.8,0.3,1.5,1.5,22.5,80.0,0.2,0.5,-
48,Lucas Ocampos,Sevilla,29," M(CLR),FW",30(4),2648,5,4,3,-,2,77.3,0.9,4,6.93,1.1,0.6,1,0.1,0.8,0.7,-,-,2,2.2,0.1,1.4,1.4,26.0,77.3,0.2,0.8,-
49,Stefan Savic,Atletico,33, D(C),33,2954,1,-,15,-,0.2,85.2,2.8,2,6.91,1.2,1.3,0.8,0.2,3.1,0.4,0.6,-,0.2,0.5,0.1,0.1,0.1,52.7,85.2,-,3.4,-
50,Koke,Atletico,32, M(CLR),34(3),3026,1,2,9,-,0.5,89.3,0.7,-,6.9,1.7,1,1.2,-,1,1.9,0.2,-,0.7,1.2,-,0.9,0.9,65.2,89.3,0.5,3.4,0.1
51,Maxi Gómez,Valencia,27, FW,31,2699,7,1,6,1,1.7,65.8,3.8,-,6.9,0.4,0.1,1.7,-,1.1,0.4,0.1,-,0.5,2.3,1,0.7,0.7,17.7,65.8,0.1,0.8,-
52,Suso,Sevilla,30," AM(CLR),FW",28(6),2234,3,4,2,-,1.4,86.0,0.1,1,6.89,0.6,0.2,0.7,-,0.2,0.9,-,-,1.7,1.1,0.2,1.1,1.1,32.1,86.0,0.8,2.1,-
53,Jesús Navas,Sevilla,38," D(R),M(R)",34,2836,-,6,4,-,0.4,82.1,0.6,2,6.88,0.8,1.1,0.3,0.1,1.6,0.2,0.1,-,0.7,0.6,0.1,0.4,0.4,48.3,82.1,1.6,3.1,-
54,Sergio Busquets,Barcelona,35, DMC,32(4),2530,-,5,9,-,0.1,91.3,1.1,-,6.88,1.8,1.5,1.3,-,0.5,1.4,0.1,-,0.2,1.7,-,0.3,0.3,74.5,91.3,-,3,0.2
55,Renato Tapia,Celta Vigo,28," D(C),DMC",32,2710,-,1,11,-,0.5,81.2,2,4,6.88,2.9,1.7,2,-,2.1,1.6,0.4,-,0.9,1.5,-,0.8,0.8,49.6,81.2,-,3.6,-
56,Youssef En-Nesyri,Sevilla,26, FW,23(15),2314,18,-,2,-,2.1,68.2,2.5,6,6.87,0.4,0.2,0.7,-,0.6,0.4,-,-,0.4,0.9,0.7,0.6,0.6,9.9,68.2,-,0.2,-
57,Jan Oblak,Atletico,31, GK,38,3420,-,-,-,-,-,58.9,0.2,2,6.87,-,-,-,-,0.5,-,-,1,-,0.1,-,-,-,22.9,58.9,-,6.3,-
58,Santi Mina,Celta Vigo,28," AM(LR),FW",29(5),2423,12,3,4,-,1.3,72.0,3,2,6.87,0.9,0.2,1.9,-,0.5,0.9,0.1,-,0.3,1.8,0.3,0.9,0.9,17.6,72.0,-,0.4,-
59,Fidel,Elche,34, M(CLR),28(2),2404,6,3,8,-,0.6,77.8,0.3,1,6.86,1.5,0.5,1,-,0.4,1.3,0.1,-,1.7,1.4,0.2,1.3,1.3,32.6,77.8,1.6,1.8,-
60,Mauro Arambarri,Getafe,28, DMC,33(1),2990,3,-,11,-,1.4,73.2,1.6,1,6.86,1.9,1.2,1.7,-,0.7,1.7,0.1,-,1.1,2.1,-,0.9,0.9,28.3,73.2,1,2.7,0.1
61,Raphaël Varane,Real Madrid,31, D(C),31,2717,2,-,2,-,0.5,89.6,2.4,-,6.85,0.7,1.2,0.5,0.4,3.5,0.3,0.6,1,0.2,0.3,-,0.2,0.2,57.0,89.6,-,3.6,-
62,Marcos Acuña,Sevilla,32," D(CL),M(CL)",26(4),2331,1,2,5,-,0.6,84.2,0.8,2,6.84,2.1,0.8,1.5,0.1,0.8,0.6,0.1,-,1.4,1.1,0.1,1,1,48.0,84.2,1.1,3.3,-
63,Ferland Mendy,Real Madrid,28," D(L),M(L)",24(2),2207,1,-,3,-,0.5,90.3,0.4,1,6.84,1,1,0.8,-,0.9,0.5,0.2,-,1.7,1.5,0.2,1,1,48.7,90.3,0.2,1.8,-
64,David García,Osasuna,30, D(C),35,3150,1,-,8,-,0.4,71.9,4.6,3,6.84,0.7,1.7,1.3,0.8,4.9,0.3,0.5,1,0.1,0.7,-,0.1,0.1,39.1,71.9,-,3.9,-
65,Jawad El Yamiq,Real Valladolid,32, D(C),15(4),1377,-,1,6,-,0.4,78.5,2.6,2,6.83,1.1,2.4,0.7,0.3,5.2,0.2,0.5,-,0.1,0.8,0.1,-,-,33.1,78.5,-,2.5,-
66,Gonçalo Guedes,Valencia,27," AM(CLR),FW",27(4),2301,5,5,3,1,1.6,75.0,0.3,3,6.83,0.6,0.3,0.9,-,0.1,1.1,-,-,2.1,2.2,0.1,1.6,1.6,23.8,75.0,0.4,1.2,0.1
67,Thomas Lemar,Atletico,28, AM(CLR),19(8),1376,1,3,4,-,0.9,85.6,0.3,2,6.83,1.1,0.4,0.6,-,0.2,0.5,-,-,1.6,0.9,-,0.8,0.8,26.7,85.6,0.6,1.3,0.1
68,Yeray Álvarez,Athletic Club,29, D(C),22(1),1949,1,-,6,-,0.4,82.4,2.6,-,6.83,0.8,2.3,0.9,0.8,3.1,0.5,0.2,-,0.5,0.7,-,0.1,0.1,47.6,82.4,0.1,4.7,-
69,Alex Berenguer,Athletic Club,28," D(LR),M(CLR),FW",27(8),2289,8,4,4,-,1.4,75.3,0.7,2,6.83,1.3,0.5,1.4,-,0.5,1.2,0.1,-,1,1.3,0.5,1.1,1.1,21.5,75.3,0.7,0.3,-
70,Nolito,Celta Vigo,37, AM(CL),35(1),2628,7,5,7,-,1.5,75.5,0.4,-,6.83,1.9,0.6,1.4,-,0.5,1.7,0.1,-,0.8,1.1,0.3,0.9,0.9,26.1,75.5,0.3,1.2,0.2
71,Adnan Januzaj,Real Sociedad,29, AM(CLR),12(15),1011,4,5,2,-,1.2,76.3,0.3,2,6.83,0.3,0.1,0.3,0.1,0.1,0.2,0.1,-,1.7,1.3,0.1,0.8,0.8,17.6,76.3,0.8,0.9,-
72,Iker Muniain,Athletic Club,31, AM(CLR),23(5),1955,5,3,1,-,0.8,86.0,0.4,1,6.82,0.7,0.4,0.6,-,0.1,0.6,-,-,1.5,2.5,0.1,1.2,1.2,33.8,86.0,0.5,1.4,0.1
73,Joan Jordán,Sevilla,29, M(C),28(7),2424,1,6,6,1,0.7,88.2,0.5,1,6.82,1.5,0.8,1.5,-,0.7,1.7,0.1,-,0.9,1.2,-,0.6,0.6,56.4,88.2,0.7,4.8,0.1
74,Gabriel Paulista,Valencia,33, D(CR),31,2717,4,1,6,-,0.5,88.0,2.3,1,6.82,0.5,1.9,0.6,0.6,4.2,0.4,0.9,-,0.2,0.8,-,0.1,0.1,48.4,88.0,-,4.3,-
75,Florian Lejeune,Deportivo Alaves,32, D(C),34,3016,1,1,10,-,0.7,77.0,2.9,-,6.82,1.3,1.5,1,1.1,4.3,0.4,0.7,-,0.3,0.5,0.1,0.1,0.1,43.0,77.0,-,4.5,-
