,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Eden Hazard,Chelsea,33," M(CLR),FW",32(5),2926,16,15,2,-,2.5,84.3,0.5,14,7.81,0.4,0.4,0.3,-,0.1,0.3,-,-,3.7,2.8,0.3,2.3,2.3,49.2,84.3,0.9,2.7,0.3
1,Raheem Sterling,Man City,29," M(CLR),FW",31(3),2777,17,10,3,-,2.3,85.8,0.4,8,7.61,0.9,0.5,1.2,-,0.1,0.5,0.1,-,2.4,1.3,0.4,2.6,2.6,37.1,85.8,0.4,0.3,-
2,Mohamed Salah,Liverpool,31," AM(CLR),FW",37(1),3262,22,8,1,-,3.6,75.9,0.3,8,7.57,0.6,0.1,0.7,-,0.1,0.3,-,-,2.1,0.8,0.7,3.1,3.1,28.4,75.9,0.4,0.6,0.3
3,Sergio Agüero,Man City,35," AM(CL),FW",31(2),2480,21,8,3,-,3.6,85.0,0.5,5,7.53,0.5,0.3,0.6,-,0.1,0.1,-,-,1.4,0.8,0.8,1.6,1.6,23.4,85.0,-,0.1,0.1
4,Virgil van Dijk,Liverpool,32, D(C),38,3385,4,2,1,-,0.8,89.7,4.8,4,7.44,1,1.1,0.3,1.1,5.2,-,0.5,-,0.2,0.6,-,-,-,79.9,89.7,-,5.3,-
5,Sadio Mané,Liverpool,32," AM(CLR),FW",35(1),3086,22,1,2,-,2.4,78.2,1.0,6,7.43,1,0.4,0.9,0.1,0.2,0.8,0.1,-,1.4,1.8,0.7,1.3,1.3,32.9,78.2,0.2,1.3,0.1
6,Harry Kane,Tottenham,30," AM(C),FW",27(1),2427,17,4,5,-,3.6,73.1,1.8,6,7.38,0.4,-,1.1,-,0.5,0.5,0.2,-,1.4,1.9,0.4,1.6,1.6,19.7,73.1,0.1,1.6,-
7,Trent Alexander-Arnold,Liverpool,25," D(R),DMC,M(R)",27(2),2467,1,12,3,-,1,77.5,0.3,1,7.36,2.1,1.2,0.5,0.3,2.1,1.1,0.1,-,0.5,0.2,0.1,0.5,0.5,58.5,77.5,2,4,0.1
8,Lucas Digne,Everton,30," D(CL),M(L)",33(2),2966,4,4,5,1,1,76.0,2.6,4,7.36,2,1.7,1.1,0.3,2.7,0.5,0.3,1,0.4,0.9,0.1,0.9,0.9,41.6,76.0,2.4,1.7,-
9,Ricardo Pereira,Leicester,30," D(LR),M(R)",35,3125,2,6,7,-,0.7,78.0,1.9,4,7.34,3.4,1.7,1.2,0.2,3,1.7,0.2,-,1.9,1.4,0.1,1,1,43.8,78.0,0.4,1.2,-
10,Paul Pogba,Man Utd,31, M(CL),34(1),3012,13,9,6,-,3,82.8,1.7,7,7.31,1.3,0.5,1.5,-,1,0.7,0.3,-,1.7,2,0.1,2.5,2.5,59.1,82.8,0.1,4.7,0.2
11,Fernandinho,Man City,38," D(CR),M(C)",27(2),2382,1,3,5,-,1,87.5,2.6,2,7.31,2,1.4,1.4,0.1,2.4,0.7,0.1,-,0.7,0.9,0.1,0.4,0.4,70.7,87.5,-,2.7,0.2
12,Fabian Schär,Newcastle,32, D(C),22(2),2004,4,1,12,-,1,68.1,2.7,6,7.3,2.5,2.8,1.2,0.4,5.7,1.1,0.7,-,0.6,0.8,-,0.4,0.4,41.4,68.1,0.1,5.6,-
13,Aaron Wan-Bissaka,Crystal Palace,26," D(LR),M(R)",35,3135,-,3,4,1,0.3,73.0,1.2,3,7.27,3.7,2.4,0.7,0.3,3.7,0.3,0.5,-,1.7,0.5,0.1,1.1,1.1,33.3,73.0,0.3,1,-
14,David Silva,Man City,38," M(CLR),FW",28(5),2412,6,8,3,-,1.5,87.8,0.6,1,7.26,0.9,0.7,0.8,-,0.4,0.6,-,-,0.9,0.8,0.2,0.9,0.9,61.1,87.8,0.5,1.2,0.2
15,Bernardo Silva,Man City,29," M(CLR),FW",31(5),2853,7,7,3,-,1.7,86.1,0.3,4,7.26,1.4,0.7,0.9,-,0.7,1.4,0.1,-,1.4,0.7,0.1,1,1,47.4,86.1,0.3,2,0.1
16,Leroy Sané,Man City,28," M(CLR),FW",21(10),1867,10,10,1,-,1.8,84.4,0.3,1,7.26,0.8,0.3,0.3,-,0.1,0.7,0.1,-,1.8,0.5,0.6,1.4,1.4,27.3,84.4,0.5,0.1,0.1
17,Felipe Anderson,West Ham,31," M(CLR),FW",36,3054,9,4,3,-,1.6,76.0,0.3,6,7.23,2.5,1.1,0.8,-,0.3,1.9,-,-,2.1,1.4,0.1,1.5,1.5,46.3,76.0,0.9,2.4,0.3
18,Wilfred Ndidi,Leicester,27," D(C),DMC",37(1),3299,2,-,8,-,1.4,79.9,3.4,3,7.21,3.8,2.2,1.2,0.1,2.1,1.3,0.2,-,0.9,0.6,0.1,0.9,0.9,52.2,79.9,-,2.4,0.1
19,Wilfried Zaha,Crystal Palace,31," AM(LR),FW",34,3041,10,5,8,1,2.1,77.3,0.3,6,7.21,1.1,0.3,1.3,-,-,0.6,-,-,3.4,3,0.5,4.2,4.2,29.6,77.3,0.3,0.7,0.1
20,James Maddison,Leicester,27, AM(CLR),35(1),2850,7,7,3,1,2.3,83.8,0.3,3,7.2,1.3,0.3,0.7,-,0.1,1.2,0.1,-,1.4,2.2,0.1,1.1,1.1,39.0,83.8,1.9,2.2,0.3
21,Roberto Firmino,Liverpool,32," M(CLR),FW",31(3),2620,12,6,-,-,2.2,80.8,0.9,4,7.2,0.9,0.2,1.1,-,0.4,0.8,-,-,1.4,0.3,0.2,1.8,1.8,37.6,80.8,0.1,0.5,0.1
22,Luka Milivojevic,Crystal Palace,33, DMC,38,3420,12,2,10,-,1.5,80.0,1.4,2,7.19,2.4,1.9,1.6,-,1.7,1.4,0.4,-,0.3,1,-,0.5,0.5,52.3,80.0,1.4,3.4,-
23,Marcos Alonso,Chelsea,33," D(CL),M(L)",31,2761,2,4,6,-,1.5,85.0,2.1,2,7.18,2.4,1.3,0.9,0.2,2.8,0.8,0.1,-,0.5,1.2,0.1,0.9,0.9,60.7,85.0,0.3,1.4,-
24,Alexandre Lacazette,Arsenal,32," M(CLR),FW",27(8),2507,13,8,2,-,2.3,74.2,1.3,4,7.17,1,0.4,1.5,-,0.8,0.7,-,-,1.3,1.5,0.7,1.7,1.7,22.0,74.2,0.1,0.5,0.1
