,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Paris Saint-Germain,75,16.6,49,1,61.8,89.9,8.8,7.11
1,Lyon,42,12.9,48,4,27.6,85.0,16.7,6.84
2,Marseille,41,13.4,67,3,52.8,82.4,17.5,6.82
3,Rennes,38,12.2,51,1,50.0,80.5,18.6,6.80
4,Monaco,44,13.6,59,10,19.3,82.6,15,6.74
5,Montpellier,35,12.6,53,5,47.9,77.9,22.6,6.74
6,Nice,41,12.1,51,7,54.2,87.1,10.5,6.74
7,Reims,26,12.1,46,5,49.5,79.8,16.3,6.74
8,Strasbourg,32,12.1,45,1,26.1,80.5,19.6,6.72
9,Nantes,28,11.9,50,2,48.3,79.3,17.4,6.72
10,Metz,27,11.1,46,4,46.8,78.7,17.1,6.72
11,Bordeaux,40,11.1,56,0,53.0,82.9,18.3,6.72
12,Lille,35,12.5,49,3,51.7,81.1,18.1,6.72
13,Dijon,27,12,42,2,47.5,79.3,20.2,6.69
14,Brest,34,11.6,45,2,49.6,79.9,14.9,6.68
15,Angers,28,13,41,2,46.2,80.1,16.9,6.65
16,Nimes,29,12.8,40,6,27.7,73.8,22,6.64
17,Saint-Etienne,29,11,57,3,48.6,78.9,19.8,6.60
18,Toulouse,22,11.3,47,5,45.4,78.1,17.2,6.51
19,Amiens,31,8.4,55,4,16.7,77.4,18,6.50
