,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
131,Óscar De Marcos,53,Athletic Club,34,D,37,2824,6,1.0,39.3,78.9,1.0,1.9,0.0,6.66,1,7,0,0.1,0.7,1,0.3,0.4,0.1,0.5,0.7,1.8,0.8,1.2,0.2,1.5,1.0,0.2,1
133,Aridane Hernández,131,Osasuna,34,D,23,1791,1,0.1,38.3,84.4,0.0,2.7,0.0,6.66,0,1,0,0.2,1.3,2,0.3,0.5,0.0,0.1,0.3,0.9,1.2,0.6,1.0,4.1,0.6,0.9,1
134,Alfonso Pedraza,839,Villarreal,27,D,26,1636,3,0.7,23.3,81.5,0.5,0.7,0.0,6.65,0,5,0,1.0,0.5,0,0.8,0.6,0.1,0.5,1.2,1.3,0.7,0.8,0.3,0.8,0.4,0.0,0
136,Raúl Albiol,839,Villarreal,37,D,25,2120,0,0.1,58.8,88.7,0.0,4.9,0.0,6.65,0,6,0,0.1,1.6,0,0.2,0.5,0.0,0.2,0.4,1.0,0.6,0.7,0.8,4.3,0.2,0.5,0
138,Luiz Felipe,54,Real Betis,26,D,23,1769,0,0.1,38.1,85.5,0.0,1.5,0.0,6.65,0,3,3,0.1,1.3,0,0.2,0.4,0.0,0.0,0.4,1.5,1.2,0.4,0.7,4.3,0.7,1.0,0
139,Sergi Roberto,65,Barcelona,31,D,23,1309,1,0.4,36.2,92.8,0.3,1.1,0.0,6.65,4,3,0,0.8,0.3,0,0.2,0.5,0.1,0.1,0.4,1.0,0.5,0.8,0.1,0.6,0.5,0.3,0
140,Mouctar Diakhaby,55,Valencia,26,D,29,2449,0,0.2,40.7,82.1,0.0,2.9,0.0,6.65,3,5,1,0.7,1.7,1,0.2,0.4,0.1,0.1,0.5,1.0,0.7,0.8,0.6,3.6,0.2,0.6,0
141,Joseph Aidoo,62,Celta Vigo,27,D,35,3121,0,0.1,50.0,86.6,0.0,2.3,0.0,6.65,3,4,1,0.4,1.8,2,0.2,0.5,0.0,0.3,0.3,1.5,0.9,0.5,0.7,4.1,0.3,0.4,0
142,Igor Zubeldia,68,Real Sociedad,26,D,31,2547,1,0.1,49.4,85.7,0.1,2.9,0.0,6.64,1,10,0,0.2,1.9,1,0.3,0.3,0.0,0.0,0.2,1.1,0.7,1.4,0.6,2.9,0.3,0.5,1
145,Hugo Mallo,62,Celta Vigo,32,D,26,2171,1,0.8,44.4,79.3,0.4,2.0,0.0,6.64,0,5,1,0.7,2.0,1,0.2,0.9,0.2,0.3,0.7,2.0,0.9,1.7,0.1,2.5,0.5,0.3,0
149,Clerc,833,Elche,31,D,32,2647,1,0.5,33.4,77.8,0.3,1.2,0.0,6.63,0,5,0,0.3,0.6,0,0.8,1.0,0.1,0.3,0.9,2.3,0.9,1.0,0.5,2.6,0.6,0.2,0
154,Martin Valjent,51,Mallorca,27,D,30,2659,0,0.1,35.7,80.4,0.1,2.8,0.0,6.62,0,8,0,0.2,1.2,0,0.0,0.4,0.0,0.0,0.2,1.2,1.0,1.1,0.2,4.4,0.3,0.7,0
155,Nacho,52,Real Madrid,33,D,27,1632,1,0.4,40.5,93.0,0.0,1.0,0.0,6.62,1,7,0,0.3,1.3,0,0.4,0.5,0.1,0.3,0.6,0.9,0.7,0.6,0.2,1.2,0.6,0.2,1
156,Eric García,65,Barcelona,22,D,24,1414,0,0.0,51.6,91.0,0.0,3.4,0.0,6.62,1,3,0,0.3,1.0,0,0.1,0.3,0.0,0.1,0.4,1.0,0.8,0.8,0.8,1.4,0.5,0.4,0
157,Aihen Muñoz,68,Real Sociedad,25,D,23,1758,1,0.6,34.2,80.2,0.6,1.3,0.0,6.62,0,2,0,0.3,1.0,0,0.8,0.7,0.0,0.8,1.1,1.7,0.4,1.3,0.1,1.3,1.1,0.2,0
160,Alejandro Catena,64,Rayo Vallecano,28,D,35,3105,1,0.2,51.8,82.9,0.0,6.9,0.0,6.61,1,12,1,0.4,2.3,0,0.1,0.4,0.1,0.2,0.3,0.8,0.8,0.9,0.7,4.5,0.4,0.7,0
161,Aïssa Mandi,839,Villarreal,31,D,21,1460,0,0.2,42.0,90.8,0.0,2.6,0.0,6.61,0,1,0,0.1,1.0,0,0.0,0.5,0.2,0.1,0.1,0.9,1.0,0.8,0.8,2.8,0.3,0.7,0
162,Brian Oliván,70,Espanyol,29,D,30,2413,7,1.1,25.0,70.1,1.1,2.2,0.0,6.6,1,7,0,0.5,0.6,0,0.1,0.5,0.1,0.2,0.8,1.6,0.7,1.1,0.3,1.9,0.3,0.2,0
163,César Montes,70,Espanyol,26,D,20,1589,0,0.0,39.4,78.2,0.1,2.8,0.0,6.6,3,7,0,0.7,3.4,1,0.1,0.3,0.1,0.2,0.3,0.9,0.7,0.9,0.5,5.0,0.4,0.6,0
166,Jawad El Yamiq,58,Real Valladolid,31,D,25,1612,0,0.2,36.2,81.6,0.0,2.8,0.0,6.59,1,2,1,0.7,1.7,0,0.4,0.4,0.0,0.2,0.6,0.7,1.5,0.5,0.2,3.8,0.2,0.8,0
171,Dani Vivian,53,Athletic Club,23,D,29,2374,0,0.2,49.1,81.5,0.0,4.1,0.0,6.59,1,8,1,0.4,1.4,0,0.1,0.7,0.1,0.5,0.7,2.0,0.8,1.3,0.7,3.0,0.3,0.5,0
173,David Alaba,52,Real Madrid,31,D,23,1841,3,0.7,48.2,89.3,0.3,1.0,0.0,6.58,1,3,0,0.6,0.5,0,0.1,0.1,0.0,0.2,0.3,0.7,0.6,0.4,0.3,1.6,0.3,0.4,0
