,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Manchester City,80,15.4,46,2,63.7,89.3,12.6,6.99
1,Manchester United,73,13.8,64,1,55.6,84.8,14.5,6.85
2,Aston Villa,55,13.7,63,4,47.8,78.6,19.4,6.84
3,Chelsea,58,14.6,49,3,61.2,87.0,15.2,6.83
4,Liverpool,68,16,40,0,62.4,85.7,14.3,6.82
5,Tottenham,68,11.7,53,2,51.4,81.8,16.4,6.81
6,Leicester,68,12.8,61,0,54.4,82.1,16.2,6.80
7,Leeds,62,13.7,61,1,57.8,80.8,14.5,6.77
8,West Ham,62,12.3,48,3,42.5,77.8,19.9,6.77
9,Everton,47,10.5,59,2,46.5,81.4,17.7,6.73
10,Arsenal,55,12.1,47,5,53.4,85.0,13.5,6.69
11,Wolves,35,12,52,1,49.2,83.1,15.2,6.66
12,Brighton,40,12.8,45,6,50.8,81.3,14.2,6.65
13,Burnley,33,10.1,48,0,41.5,71.6,23.4,6.64
14,Fulham,27,11.6,67,3,49.5,81.2,17.2,6.63
15,Southampton,47,11.2,52,3,51.7,79.3,14.1,6.62
16,Newcastle,46,10.4,61,3,38.0,76.0,17.1,6.62
17,Crystal Palace,41,9.2,54,2,39.9,76.1,18.3,6.61
18,West Bromwich Albion,35,8.9,51,4,37.0,72.2,19.1,6.51
19,Sheffield United,20,8.5,73,3,41.0,76.9,19.1,6.46
