,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
71,Baptiste Santamaría,Rennes,29, DMC,20(5),1815,2,-,2,-,0.8,85.5,2.4,1,6.84
72,Rafael Ratão,Toulouse,28, AM(LR),25(5),1871,5,4,2,-,1,77.7,0.3,1,6.84
73,Axel Disasi,Monaco,26, D(CR),37(1),3330,3,3,3,-,0.8,83.8,2.6,1,6.83
74,Samuel Gigot,Marseille,30, D(C),24(2),1889,2,2,3,2,0.5,87.3,2.2,2,6.83
75,Breel Embolo,Monaco,27," AM(CR),FW",19(13),1856,12,2,3,-,1.3,70.1,1.1,1,6.83
76,Adrien Truffert,Rennes,22," D(L),M(L)",24(4),1962,-,6,2,-,0.4,80.8,1.2,1,6.83
77,Ismaily,Lille,34, D(L),21(2),1785,2,1,-,-,0.6,81,1.6,-,6.83
78,Corentin Tolisso,Lyon,29," D(R),M(CR)",25(5),2050,1,2,3,-,1,88.8,1.2,1,6.82
79,Alexis Flips,Reims,24, M(CLR),28(5),1998,4,6,3,1,1.6,72.6,0.4,2,6.82
80,Mory Diaw,Clermont Foot,30, GK,37,3330,-,-,-,-,-,66.8,0.1,3,6.82
81,Hamari Traoré,Rennes,32," D(R),M(R)",28(3),2531,1,4,5,-,1,87,1.1,-,6.82
82,Sergio Ramos,PSG,38, D(CR),31(2),2709,2,1,3,1,0.6,94.8,1.7,-,6.82
83,Jordan Lotomba,Nice,25," D(LR),M(R)",27(6),2456,-,2,4,-,0.4,85.2,0.8,2,6.82
84,Chancel Mbemba,Marseille,29," D(CLR),DMC",32(4),2850,5,-,2,-,0.8,84.4,2,1,6.82
85,Stijn Spierings,Toulouse,28, M(C),35(1),3123,2,-,6,-,0.7,86.1,0.6,-,6.81
86,Pau López,Marseille,29, GK,32(1),2925,-,2,3,-,-,76,0.3,1,6.81
87,Alban Lafont,Nantes,25, GK,37,3330,-,-,-,1,-,64.6,0.2,5,6.81
88,Mikkel Desler,Toulouse,29," D(R),M(R)",26(1),2262,1,2,4,1,0.4,86.2,0.9,1,6.80
89,Facundo Medina,Lens,24, D(CL),32,2784,2,4,7,-,0.6,90.8,1.2,1,6.80
90,Maxime Dupé,Toulouse,31, GK,38,3420,-,-,1,-,-,75.2,0.3,4,6.80
91,Adam Ounas,Lille,27," AM(CLR),FW",12(9),1065,1,1,2,-,1.2,79.7,0.2,1,6.80
92,Brendan Chardonnet,Brest,29, D(C),27(3),2489,-,-,6,-,0.5,80.8,3.1,-,6.79
93,Montassar Talbi,Lorient,25, D(C),38,3420,1,2,-,-,0.2,89.1,2.4,1,6.79
94,Johan Gastien,Clermont Foot,36, DMC,29(2),2607,4,3,7,-,0.6,84.7,0.3,2,6.79
95,Alexsandro Ribeiro,Lille,24, D(C),16(5),1611,3,-,4,-,0.8,90.8,1.5,2,6.79
96,Salis Abdul Samed,Lens,24, DMC,33,2897,1,1,6,1,0.4,92.6,0.4,-,6.79
97,Emmanuel Agbadou,Reims,26," D(CR),DMC",27(2),2390,-,3,5,3,0.8,86,2.1,1,6.79
98,Kasper Schmeichel,Nice,37, GK,36,3240,-,-,-,-,-,74.9,0.1,2,6.79
99,Jean-Clair Todibo,Nice,24, D(C),33(1),2873,-,-,2,2,0.4,88.9,1.1,1,6.79
100,Mohamed Camara,Monaco,24, DMC,25(4),2200,-,3,6,1,0.9,87.6,0.5,1,6.78
101,Krépin Diatta,Monaco,25," D(R),M(CLR),FW",22(9),2079,4,2,3,-,1.3,79.4,1.3,1,6.78
102,Himad Abdelli,Angers,24," AM(CL),FW",24(6),2141,2,2,3,-,0.8,85.1,0.6,3,6.78
103,Rominigue Kouamé,Troyes,27, DMC,31(1),2669,1,1,9,-,0.8,89.1,0.7,1,6.77
104,Brice Samba,Lens,30, GK,37,3330,-,-,3,-,-,73,0.2,1,6.77
105,Arnaud Nordin,Montpellier,25," AM(CLR),FW",30(6),2419,9,3,4,-,1.6,78,0.6,1,6.76
106,Danilo Pereira,PSG,32," D(C),DMC",27(6),2411,2,-,3,-,0.7,94.6,1,-,6.76
107,Guillermo Maripán,Monaco,29, D(C),25(1),2160,3,-,4,1,0.6,87.5,1.8,1,6.76
108,Nordi Mukiele,PSG,26," D(CR),M(R)",12(7),1133,-,3,-,-,0.6,88.4,1.1,1,6.76
109,Melvin Bard,Nice,23," D(L),M(L)",28(5),2460,-,-,6,-,0.2,82.3,1,-,6.75
110,Sinaly Diomandé,Lyon,23, D(CR),22(2),1959,-,-,2,1,0.4,85.6,2.3,-,6.75
111,Alidu Seidu,Clermont Foot,23, D(CR),28,2463,-,-,10,1,0.2,86.8,0.9,-,6.75
112,Faitout Maouassa,Montpellier,25," D(L),M(LR)",23(10),1935,5,5,-,-,1,69.7,0.4,-,6.75
113,Sead Kolasinac,Marseille,30," D(CL),DMC,M(L)",26(7),2219,4,1,3,-,0.7,86.3,1.2,2,6.74
114,Vitinha,PSG,24, M(C),29(7),2461,2,3,3,-,0.9,92.4,0.1,-,6.74
115,Christopher Jullien,Montpellier,31, D(C),30,2696,-,2,5,-,0.6,83.1,2.9,-,6.74
116,Saîf-Eddine Khaoui,Clermont Foot,29, AM(CR),23(11),2036,7,3,4,-,1.4,73.1,0.4,2,6.74
117,Jérémy Le Douaron,Brest,26," AM(L),FW",24(8),2080,10,3,1,-,1.7,73,1.9,2,6.73
118,Castello Lukeba,Lyon,21, D(C),33(1),2986,2,-,7,1,0.4,90.4,1.1,-,6.73
119,Mama Baldé,Troyes,28," D(R),M(CLR),FW",30(4),2672,12,3,4,2,2.2,68.1,1.3,3,6.73
120,Gideon Mensah,Auxerre,25," D(L),M(L)",26,2263,-,-,5,-,0.2,79.6,0.8,2,6.73
121,Sofiane Diop,Nice,23, AM(CLR),14(8),1231,1,4,1,-,1.3,82.5,0.5,1,6.73
122,Jubal,Auxerre,30, D(C),35(2),3216,3,1,7,-,0.5,81.9,2.1,2,6.73
123,Leonardo Balerdi,Marseille,25, D(C),30(5),2643,-,1,9,1,0.3,84.1,2,-,6.73
124,Quentin Merlin,Nantes,21," D(L),M(L)",22(2),1803,1,2,2,-,0.6,77.9,0.7,1,6.73
125,Badredine Bouanani,Nice,19, AM(R),9(10),861,-,4,-,-,1.3,83.3,0.1,-,6.72
126,Lovro Majer,Rennes,26, AM(CR),18(14),1670,2,5,3,-,1.1,82.1,0.2,1,6.72
127,Laurent Abergel,Lorient,31, DMC,28(1),2351,-,1,5,1,0.4,88.7,0.3,-,6.72
128,Deiver Machado,Lens,30, M(L),26(7),2206,4,3,5,1,0.5,85.7,0.5,2,6.72
129,Marquinhos,PSG,29," D(CR),DMC",30(3),2718,2,-,4,-,0.5,95.4,1.1,-,6.72
130,Désiré Doué,Rennes,18, AM(CLR),11(15),1116,3,1,5,-,0.8,81.2,0.4,1,6.71
131,Angel Gomes,Lille,23," M(CL),FW",34(2),2836,2,6,9,-,1.6,87.9,0.3,1,6.71
132,Arthur Theate,Rennes,23, D(CL),35,3129,4,-,5,-,0.9,89.6,2,1,6.71
133,André Gomes,Lille,30, M(CLR),18(8),1628,3,2,6,-,0.7,89.2,0.7,1,6.71
134,Steve Mandanda,Rennes,39, GK,34,3016,-,1,1,-,-,71.9,0.2,2,6.70
135,Marco Bizot,Brest,33, GK,37,3330,-,-,4,-,-,68.2,0.1,3,6.70
136,Zakaria Aboukhlal,Toulouse,24, AM(LR),28(9),2480,10,5,4,-,2.2,76.7,0.3,3,6.70
137,Farès Chaïbi,Toulouse,21," AM(CL),FW",24(12),2345,5,5,2,-,1.8,76.5,0.9,-,6.70
138,Jean-Charles Castelletto,Nantes,29, D(CR),30(2),2569,-,-,3,-,0.3,82.8,2.4,-,6.69
139,Aaron Ramsey,Nice,33, M(CLR),18(9),1588,1,1,3,-,0.8,87.8,0.2,1,6.69
140,Tiago Djaló,Lille,24, D(CLR),24(1),2022,2,-,7,-,0.6,93.1,1.1,1,6.69
141,Gédéon Kalulu,Lorient,26," D(R),M(R)",28(1),2442,-,4,6,-,0.3,82,1,1,6.69
142,Nuno da Costa,Auxerre,33," AM(CLR),FW",23(10),2017,5,4,3,1,1.2,69.9,1.4,3,6.69
143,Anthony Lopes,Lyon,33, GK,32,2817,-,-,2,1,-,74.3,0.1,-,6.69
144,Alexander Nübel,Monaco,27, GK,38,3420,-,-,2,-,-,69.4,0.2,1,6.68
145,Joris Chotard,Montpellier,22, DMC,26(9),2461,-,6,4,-,0.3,81.3,0.4,1,6.67
146,Nicolas Pallois,Nantes,36, D(C),26,2217,1,-,2,1,0.3,83.8,1.3,1,6.67
147,Dimitri Payet,Marseille,37," M(CLR),FW",9(15),828,4,3,-,-,1.2,80.3,0.2,2,6.67
148,Bafodé Diakité,Lille,23, D(CR),29(4),2656,3,-,6,-,0.6,89.8,1.2,1,6.66
149,Lilian Brassier,Brest,24, D(CL),35(1),3094,-,-,5,-,0.6,78.2,1.7,-,6.66
150,Anthony Rouault,Toulouse,22, D(C),37,3316,2,-,2,1,0.5,87.5,2.4,2,6.65
151,Maximiliano Caufriez,Clermont Foot,27, D(CR),25(1),2224,1,-,8,1,0.5,88.7,0.8,1,6.65
152,Maxime Le Marchand,Strasbourg,34, D(CL),23(3),2018,-,-,4,1,0.3,79.9,2.3,-,6.65
153,Grejohn Kyei,Clermont Foot,28, FW,26(11),2244,10,3,3,-,1.6,72.4,1.3,5,6.65
154,Thijs Dallinga,Toulouse,23, FW,28(8),2363,12,1,4,-,1.7,65,1.6,1,6.65
155,Ruslan Malinovskyi,Marseille,31," M(CLR),FW",13(7),1232,1,1,4,-,1.8,79.8,0.8,-,6.65
156,Ismaël Doukouré,Strasbourg,20," D(C),DMC",25(3),2301,1,1,5,-,0.3,83.2,1.1,-,6.65
157,Mostafa Mohamed,Nantes,26, FW,18(18),1936,8,2,1,-,1.6,62.6,2.1,1,6.64
158,Julien Laporte,Lorient,30, D(C),19(1),1656,-,-,1,-,0.3,85.4,1.6,-,6.64
159,Eliesse Ben Seghir,Monaco,19, FW,13(6),1060,4,1,1,-,1.1,79.6,0.5,1,6.64
160,Vincent Le Goff,Lorient,34," D(CL),M(L)",37,3330,-,-,1,-,0.5,83.9,0.8,-,6.63
161,Mahdi Camara,Brest,25," D(CR),M(C)",20(11),1825,2,-,4,1,0.8,84.2,0.6,-,6.63
162,Mattéo Guendouzi,Marseille,25, M(C),25(8),2113,2,4,3,-,0.8,87.9,0.7,-,6.63
163,Hamza Sakhi,Auxerre,27, AM(C),18(9),1660,1,2,1,-,1.1,86.4,0.2,2,6.63
164,Lucas Chevalier,Lille,22, GK,32,2880,-,-,1,-,-,74.2,0.1,-,6.63
165,Flavien Tait,Rennes,31, M(CLR),19(11),1685,2,2,2,-,0.8,86.5,0.2,1,6.62
166,Arnaud Kalimuendo,Rennes,22, FW,24(6),1862,7,3,-,-,1.4,84.4,0.4,1,6.62
167,Xavier Chavalerin,Troyes,33," DMC,M(L)",25(9),2422,4,2,3,-,0.8,83.7,0.5,-,6.62
168,Matz Sels,Strasbourg,32, GK,38,3420,-,-,2,-,-,60.1,0.2,2,6.61
169,Wahbi Khazri,Montpellier,33," M(CLR),FW",20(7),1644,4,1,5,1,1.4,74.8,0.7,-,6.61
170,Isaak Touré,Auxerre,21, D(C),18(1),1591,1,-,3,1,0.4,87.5,1.3,1,6.61
171,Jens Cajuste,Reims,24, DMC,14(17),1529,3,1,7,1,0.9,82.8,0.4,-,6.61
172,Thiago Mendes,Lyon,32," D(CR),M(CR)",22(9),2065,1,1,3,-,0.5,87,1.1,-,6.61
173,Saël Kumbedi,Lyon,19," D(R),M(R)",14(6),1317,-,2,8,-,0.5,83.6,0.4,-,6.61
174,Mateusz Wieteska,Clermont Foot,27, D(C),35,3120,-,1,7,1,0.5,82.8,2.2,1,6.61
175,Thomas Foket,Reims,29," D(CLR),M(R)",23(1),1983,-,1,-,-,0.1,82.9,0.5,-,6.61
176,Juan Bernat,PSG,31," D(L),M(CL)",18(10),1648,1,4,1,-,0.3,93.3,0.2,-,6.61
177,Gauthier Gallon,Troyes,31, GK,30,2668,-,-,3,1,-,61.1,0.5,1,6.60
178,Thibault De Smet,Reims,25," D(L),M(L)",20(2),1762,-,1,2,-,-,79,1.4,-,6.60
179,Kevin Gameiro,Strasbourg,36," AM(C),FW",23(11),2103,10,-,-,1,1.4,80.4,0.4,1,6.60
180,Yvon Mvogo,Lorient,29, GK,21,1813,-,-,-,-,-,71.5,0.2,-,6.59
181,Jackson Porozo,Troyes,23, D(C),17(5),1616,2,-,3,-,1,81.6,2.1,1,6.59
182,Habib Diarra,Strasbourg,20, AM(CLR),18(11),1628,3,2,4,-,0.8,80.6,0.4,1,6.59
183,Birama Touré,Auxerre,31, DMC,38,3405,2,-,3,-,0.7,81.1,1.5,-,6.59
184,Lucas Perrin,Strasbourg,25, D(C),18(8),1763,-,1,4,-,0.3,82.2,1.4,-,6.59
185,Hugo Ekitike,PSG,21, FW,12(13),1155,3,4,-,-,1.4,82.6,0.3,-,6.59
186,José Fonte,Lille,40, D(C),30(1),2593,1,-,7,-,0.5,90.3,2,1,6.58
187,Yan Valery,Angers,25," D(CR),M(R)",30,2504,-,-,3,-,0.4,78.2,1.2,-,6.57
188,Elbasan Rashani,Clermont Foot,30, AM(CLR),26(6),2173,3,3,3,-,1.1,80.3,0.5,1,6.57
189,Issa Kaboré,Marseille,22," D(R),M(R)",9(13),1022,1,-,1,-,0.4,81.6,0.1,-,6.57
190,Ignatius Ganago,Nantes,25," AM(LR),FW",16(12),1520,5,3,-,-,1.2,64.8,2.2,-,6.56
191,Mounaïm El Idrissy,AC Ajaccio,25, FW,30(2),2509,6,-,10,-,1.6,69,3.7,2,6.56
192,Alexis Claude-Maurice,Lens,25, AM(CL),5(15),597,5,3,-,-,0.7,86.2,0.2,1,6.56
193,Mathias Autret,Auxerre,33, M(CLR),16(7),1302,2,2,-,-,1,81.1,0.2,-,6.56
194,Muhammed Cham,Clermont Foot,23," AM(C),FW",23(15),1976,7,4,2,-,1.4,83.1,0.2,1,6.55
195,Jordan Ferri,Montpellier,32, M(C),32(2),2749,1,2,5,1,0.4,86.5,0.5,1,6.55
196,Renaud Ripart,Troyes,31," D(R),M(CLR),FW",15(11),1319,4,1,4,-,1.5,70,2.2,-,6.55
197,Moses Simon,Nantes,28," M(CLR),FW",28(6),2359,5,4,3,-,1,73.9,0.3,1,6.55
198,Maxime Gonalons,Clermont Foot,35," D(C),M(C)",19(6),1457,1,-,3,-,0.2,88.6,0.6,1,6.55
199,Jean-Kévin Duverne,Brest,26, D(CLR),27(7),2514,-,-,2,-,0.1,73.9,1,-,6.54
200,Ross Barkley,Nice,30, M(CLR),9(18),923,4,2,1,-,1.4,83.6,0.1,-,6.54
201,Stephy Mavididi,Montpellier,25," AM(LR),FW",14(12),1285,4,2,1,1,1.4,75.3,0.4,-,6.54
202,David Pereira da Costa,Lens,23, AM(CL),16(15),1410,1,3,2,-,0.8,86,0.1,-,6.53
203,Maxime Esteve,Montpellier,21, D(C),18(5),1645,-,-,3,-,0.3,81.7,1.3,2,6.53
204,Timothy Weah,Lille,24," D(LR),M(LR),FW",18(11),1748,-,2,2,-,1,85.1,0.4,-,6.53
205,Mohamed Youssouf,AC Ajaccio,36, D(R),27(3),2457,-,-,5,1,0.2,73.5,1.6,1,6.53
206,Noah Fadiga,Brest,24," D(R),M(R)",16(5),1312,1,-,2,-,0.5,79.9,0.4,1,6.52
207,Falaye Sacko,Montpellier,29," D(CLR),M(R)",29(6),2580,1,3,3,-,0.2,81.5,0.5,-,6.52
208,Dimitri Liénard,Strasbourg,36," D(L),M(CL)",18(10),1546,-,-,4,-,0.5,78.5,0.7,-,6.52
209,Florent Mollet,Nantes,32, AM(CLR),11(8),1090,1,2,3,-,1.2,87.3,0.5,-,6.52
210,Pedro Chirivella,Nantes,26, DMC,25(1),2042,-,1,1,-,0.6,86.6,0.3,-,6.52
211,Akim Zedadka,Auxerre,28," D(R),M(R)",19(1),1603,-,-,5,-,0.5,78.9,1.2,-,6.51
212,Rayan Raveloson,Auxerre,27," D(CR),DMC",27(7),2427,2,1,-,-,0.9,83.4,0.9,1,6.51
213,Kamory Doumbia,Reims,21, AM(C),13(13),1158,2,2,-,-,1,81.9,0.3,-,6.50
214,Haris Belkebla,Brest,30, DMC,30(8),2658,2,-,3,-,0.3,85.5,0.5,-,6.50
215,Evann Guessand,Nantes,22," AM(R),FW",15(15),1257,3,2,2,-,0.7,71,0.9,1,6.50
216,Brecht Dejaegere,Toulouse,32, AM(CL),25(5),1827,4,1,5,-,0.8,81,0.3,-,6.50
217,Jean Onana,Lens,24, DMC,9(12),807,-,-,3,-,0.4,87,0.4,-,6.50
218,Yohann Magnin,Clermont Foot,26, M(C),25(13),2393,-,-,6,-,0.4,84.9,0.7,-,6.49
219,Johann Lepenant,Lyon,21, DMC,21(10),1935,1,2,4,-,0.6,89.9,0.5,-,6.49
220,Mickaël Barreto,AC Ajaccio,33, M(C),15(5),1328,1,1,1,-,1,74.6,0.5,-,6.49
221,Vincent Marchetti,AC Ajaccio,26, M(C),29(2),2463,-,2,7,-,1.2,80,0.2,-,6.49
222,Lesley Ugochukwu,Rennes,20, DMC,14(12),1330,-,1,3,1,0.2,87.6,0.6,-,6.48
223,Théo Le Bris,Lorient,21, M(L),15(12),1451,2,2,-,-,0.4,81.8,0.4,-,6.48
224,Sanjin Prcic,Strasbourg,30, M(C),17(12),1633,1,1,3,1,1,86.1,0.6,-,6.48
225,Massadio Haïdara,Lens,31," D(CL),M(L)",17(19),1657,-,1,5,-,0.4,87.1,1.1,-,6.47
226,Gaetan Perrin,Auxerre,27, AM(CL),15(22),1388,3,1,1,-,0.7,75.7,0.4,1,6.47
227,Abdu Conté,Troyes,26," D(CL),M(L)",15(4),1317,1,2,1,-,0.2,79.8,0.8,-,6.46
228,Ibrahima Koné,Lorient,24, FW,15(22),1569,7,1,3,-,0.8,66.9,1.5,-,6.46
229,Carlos Soler,PSG,27, M(CLR),14(12),1188,3,2,-,-,0.4,87.4,-,1,6.46
230,Hugo Magnetti,Brest,25, DMC,19(13),1688,1,2,2,-,0.5,84.8,0.2,-,6.46
231,Stéphane Diarra,Lorient,25, AM(R),14(14),1070,2,-,1,-,0.7,75.2,0.2,1,6.46
232,Mathias Pereira Lage,Brest,27, M(CLR),16(8),1272,2,1,2,-,0.9,71.3,0.9,-,6.45
233,Jim Allevinah,Clermont Foot,29, M(CLR),25(11),2248,1,1,2,-,0.8,82.4,0.3,-,6.45
234,Wesley Saïd,Lens,29," AM(CLR),FW",6(15),638,5,-,2,-,1.3,81.7,0.2,-,6.45
235,Léo Leroy,Montpellier,24, DMC,14(13),1189,-,-,7,-,0.7,76.2,0.9,-,6.45
236,Yasser Larouci,Troyes,23," D(L),M(L)",21(9),1800,1,1,1,-,0.3,77,0.7,-,6.45
237,Colin Dagba,Strasbourg,25," D(R),M(R)",12(9),960,-,-,3,-,0.2,85,0.1,-,6.44
238,Gerzino Nyamsi,Strasbourg,27, D(C),19(1),1580,1,1,4,1,0.7,84.5,1.9,1,6.44
239,Renato Sanches,PSG,26, M(CR),6(17),705,2,-,1,-,0.6,91.6,0.2,-,6.43
240,Jean-Eudes Aholou,Strasbourg,30, DMC,16(14),1301,3,1,4,1,0.7,76.1,0.9,1,6.43
241,Yoann Salmier,Troyes,31, D(CR),31(1),2652,1,-,5,1,0.4,83,1.7,-,6.43
