,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Neymar,PSG,32," AM(CLR),FW",15,1322,13,6,2,1,4.7,80.6,0.1,8,8.58
1,Kylian Mbappé,PSG,25," AM(CLR),FW",17(3),1516,18,5,-,-,4.4,80.4,0.2,6,8.14
2,Ángel Di María,PSG,36," M(CLR),FW",23(3),2005,8,14,2,-,2.8,78.5,-,6,7.75
3,Dimitri Payet,Marseille,37," M(CLR),FW",22,1937,9,4,5,1,2.9,76.6,0.4,8,7.73
4,Téji Savanier,Montpellier,32, M(C),18(1),1532,6,2,5,-,1.6,79,1.2,3,7.45
5,Wissam Ben Yedder,Monaco,33," AM(C),FW",25(1),2173,18,4,2,-,2.5,74.9,0.5,5,7.35
6,Idrissa Gueye,PSG,34, M(C),19(1),1655,1,2,2,-,0.6,92.7,0.9,1,7.33
7,Marco Verratti,PSG,31, M(C),15(5),1482,-,5,6,-,0.1,92.5,0.4,-,7.32
8,Mounir Chouiar,Dijon,25, AM(CL),18(2),1514,4,-,3,1,2,76.2,0.7,4,7.30
9,Hassane Kamara,Reims,30," D(L),M(LR)",18(5),1706,2,-,5,-,1.3,83.8,1.2,7,7.23
10,Marquinhos,PSG,29," D(CR),DMC",15(4),1474,3,1,1,-,0.6,93.4,1.9,1,7.19
11,Mauro Icardi,PSG,31, FW,14(6),1268,12,2,-,-,1.8,86.4,0.5,-,7.15
12,Andy Delort,Montpellier,32," AM(R),FW",26,2286,9,3,5,-,3.2,62,3.2,4,7.15
13,Victor Osimhen,Lille,25, FW,25(2),2289,13,4,4,-,3.2,61.4,4.4,4,7.14
14,Pierre Lees-Melou,Nice,30, M(CLR),25(1),2253,5,6,5,-,2.1,86.1,0.6,1,7.14
15,Júlio Tavares,Dijon,35," AM(LR),FW",22(1),1997,5,2,-,-,2.2,65.2,7.7,2,7.14
16,Raphinha,Rennes,27," AM(LR),FW",20(2),1695,5,3,4,-,2,71.3,0.7,2,7.13
17,Zinedine Ferhat,Nimes,31, M(LR),25(1),2249,3,4,1,-,1.7,70.2,2.8,2,7.13
18,Renato Sanches,Lille,26, M(CR),16(3),1482,3,1,3,-,1.6,86.7,0.3,5,7.13
19,Islam Slimani,Monaco,35, FW,14(4),1286,9,7,4,1,2.9,69.4,2.9,2,7.12
