,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Wolfsburg,10.5,17.5,14,13,2.3
1,Eintracht Frankfurt,12.8,17.5,12.6,13.5,2
2,Mainz 05,13.3,17.4,14.7,14.7,1.7
3,FC Koln,12.3,17.2,12.6,12.4,1.7
4,Arminia Bielefeld,13.2,16.2,12.3,11.5,1.4
5,Schalke 04,17.3,16.2,12.1,12.2,2
6,Werder Bremen,13.5,15.9,12,11.6,2
7,Borussia Dortmund,11.1,15.2,12.1,10.6,2
8,Bayern Munich,10.1,15,11.7,9.3,2.2
9,Augsburg,14.4,15,13.4,11.6,2
10,Hoffenheim,11.2,14.9,12.7,13,1.4
11,Borussia M,13.4,14.8,12.8,11.6,2.4
12,Union Berlin,10.8,14.8,11.9,12.8,2.5
13,Bayer Leverkusen,10.2,14.7,9.5,12.7,2.1
14,VfB Stuttgart,13.4,14.6,12.5,12.4,1.6
15,Hertha Berlin,12.6,14.3,12.3,13.8,2.3
16,RB Leipzig,7.8,13.5,10.4,12.8,2.4
17,Freiburg,14.8,12.7,13.3,12.9,1.6
