,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
119,Rodrigo Palacio,5,5,1.5,1,2,1,1.3,1.3
120,Giangiacomo Magnani,-,-,0.5,0.1,1.2,-,-,-
121,Yordan Osorio,-,-,0.3,0.7,0.7,-,0.5,0.5
122,Gastón Brugman,1,1,0.7,0.6,0.8,-,0.3,0.3
123,Gianluca Scamacca,8,2,1.8,0.6,0.7,0.4,1,1
124,Arkadiusz Reca,2,3,1,1.2,0.8,0.2,0.5,0.5
125,Christian Eriksen,3,-,1.2,0.4,0.2,-,0.7,0.7
126,Jerdy Schouten,1,1,0.3,1.1,0.7,-,0.6,0.6
127,Antonín Barák,7,3,1.3,0.8,0.5,0.1,0.9,0.9
128,Dejan Kulusevski,4,3,1,1.2,0.8,0.1,1.3,1.3
129,Mattia Destro,11,1,1.3,0.8,1.3,0.8,0.7,0.7
130,Jordan Veretout,10,2,1.4,0.4,0.4,0.1,0.3,0.3
131,Hamed Traorè,5,2,1.2,1.5,0.5,0.1,0.7,0.7
132,Erick Pulgar,1,3,0.5,0.4,0.7,-,0.2,0.2
133,Weston McKennie,5,2,0.9,0.6,0.2,0.1,0.6,0.6
134,Giuseppe Pezzella,1,4,0.3,1.5,1,-,1,1
135,Domenico Criscito,1,-,0.3,0.2,1.1,-,0.2,0.2
136,Albin Ekdal,2,1,0.4,0.6,1.8,-,0.6,0.6
137,Ivan Perisic,4,4,1.1,0.2,0.1,0.3,0.2,0.2
138,Pedro,5,2,1.6,1.1,1.3,0.3,0.4,0.4
139,Roberto Pereyra,5,7,0.8,1.1,1.7,0.2,1.5,1.5
140,Ivan Ilic,2,-,0.4,1,1,-,0.4,0.4
141,Rafael Tolói,2,-,0.9,0.3,0.5,-,0.4,0.4
142,Lucas Leiva,-,-,0.4,0.3,0.8,-,0.4,0.4
143,Gaetano Letizia,3,1,0.5,0.5,0.9,-,0.5,0.5
144,Darko Lazovic,3,6,1,0.6,0.1,0.3,0.5,0.5
145,Alexis Saelemaekers,2,4,0.9,1.2,1.1,0.2,0.6,0.6
146,Adam Marusic,2,3,0.8,0.7,0.4,0.1,0.6,0.6
147,Giorgos Kyriakopoulos,1,-,1,1.2,0.3,-,0.8,0.8
148,Leonardo Bonucci,2,-,0.6,0.1,0.6,0.1,0.1,0.1
149,Simone Verdi,1,5,1.2,1.2,0.7,0.1,0.8,0.8
150,Lyanco,-,-,0.5,0.8,0.6,-,0.2,0.2
151,Adama Soumaoro,1,-,0.4,0.3,1,-,0.1,0.1
152,Federico Ceccherini,-,-,0.5,0.4,1.3,-,0.2,0.2
153,Tomás Rincón,1,1,0.6,1,1.2,-,0.7,0.7
154,Rick Karsdorp,1,6,0.4,0.6,0.4,0.1,0.4,0.4
155,Bryan Cristante,1,3,0.8,0.7,0.4,0.1,0.2,0.2
156,Tolgay Arslan,3,-,0.7,1.1,1.5,-,0.7,0.7
157,Andreas Cornelius,1,4,1,0.4,1.7,0.5,1.2,1.2
158,Adrien Tameze,1,-,0.5,1.1,0.9,0.1,0.8,0.8
159,Alex Meret,-,-,-,-,-,-,-,-
160,Charalampos Lykogiannis,4,2,0.9,0.4,0.8,0.1,0.3,0.3
161,Lucas Martínez,1,-,0.8,0.7,0.5,-,0.3,0.3
162,Mario Pasalic,6,2,0.8,0.4,0.4,-,0.7,0.7
163,Mário Rui,-,2,0.7,0.5,1.5,0.1,0.1,0.1
164,Jeff Chabot,1,1,0.4,0.4,1.3,-,0.2,0.2
165,Maya Yoshida,1,2,0.3,0.2,0.6,-,-,-
166,Arthur,1,-,0.1,0.9,1,-,0.5,0.5
167,Rodrigo Becão,1,-,0.3,0.1,1.3,-,0.3,0.3
168,Lorenzo Tonelli,1,-,0.6,0.2,1.1,-,0.2,0.2
169,Manuel Lazzari,2,5,0.8,1,1.7,0.1,0.7,0.7
170,Samir Handanovic,-,-,-,-,0.1,-,-,-
171,Tommaso Augello,1,3,0.2,0.8,0.7,0.1,0.4,0.4
172,Kamil Glik,2,1,0.8,0.1,0.6,-,0.1,0.1
173,Konstantinos Manolas,-,-,0.3,0.1,0.4,-,-,-
174,Emmanuel Gyasi,4,6,0.8,1.1,1.4,0.8,1.2,1.2
175,Gervinho,5,1,1.2,2.1,0.4,0.7,0.9,0.9
176,Tommaso Pobega,6,-,1.1,0.2,0.9,-,0.3,0.3
177,Riccardo Sottil,2,1,1.2,1.9,1.7,-,1,1
178,Giacomo Raspadori,6,-,0.9,0.6,0.9,0.1,0.9,0.9
179,Brahim Díaz,4,3,1,0.9,1.1,-,0.9,0.9
180,Mikkel Damsgaard,2,4,0.7,1.5,0.8,0.1,0.8,0.8
181,Arturo Vidal,1,1,0.9,0.1,0.7,-,0.3,0.3
182,Nicola Sansone,2,2,1.2,1.3,1.5,0.1,1.1,1.1
183,Yann Karamoh,2,1,0.9,1.6,0.5,0.3,0.9,0.9
184,Cristiano Biraghi,1,5,0.7,0.4,0.7,0.1,0.1,0.1
185,Miguel Veloso,2,2,0.6,0.4,0.5,-,0.2,0.2
186,Pau López,-,-,-,-,-,-,-,-
187,Borja Mayoral,10,2,1.3,0.3,0.9,0.4,0.7,0.7
188,Pepe Reina,-,-,-,-,-,-,-,-
189,Samir,1,-,0.4,0.2,1.2,0.1,0.5,0.5
190,Luca Ceppitelli,-,-,0.4,0.1,0.7,0.1,0.1,0.1
191,Koffi Djidji,1,-,0.2,0.4,0.1,0.1,0.5,0.5
192,Roberto Gagliardini,3,2,0.6,0.1,0.6,-,0.2,0.2
193,Matteo Darmian,3,3,0.3,0.1,0.6,0.1,0.2,0.2
194,Gonzalo Villar,-,1,0.3,1.2,1.5,-,0.5,0.5
195,Matteo Pessina,2,2,0.8,0.5,0.8,-,0.7,0.7
196,Gianluca Lapadula,8,2,2.1,0.4,1.8,0.9,1,1
197,Kevin Agudelo,1,2,0.7,1.5,1.1,0.1,0.9,0.9
198,Bruno Alves,1,-,0.5,0.1,0.5,0.1,0.1,0.1
199,Eldor Shomurodov,8,1,1.3,0.5,0.7,0.4,1,1
200,Salvador Ferrer,-,1,0.2,0.3,0.4,-,0.4,0.4
201,Joakim Mæhle,-,2,1.1,0.8,0.6,-,0.6,0.6
202,Stefano Okaka,4,1,1.1,0.8,1.6,0.6,1,1
203,Adrien Silva,1,1,0.3,0.7,1,-,0.7,0.7
204,Jasmin Kurtic,4,-,1,0.4,1.1,0.1,0.4,0.4
205,Marvin Zeegelaar,1,-,0.4,0.9,0.3,0.2,0.6,0.6
206,Andrea Petagna,4,3,0.9,0.3,0.7,0.3,0.5,0.5
207,Rogério,-,1,0.6,0.9,0.9,-,0.5,0.5
208,Martin Erlic,3,1,0.4,0.1,0.4,-,-,-
209,Bruno Peres,1,2,0.4,0.5,0.5,-,0.4,0.4
210,Felipe Caicedo,8,-,1.2,0.4,0.7,0.3,0.2,0.2
211,Salvatore Molina,1,4,0.5,0.9,1.3,0.1,1,1
212,Ashley Young,1,4,0.6,0.2,0.6,0.1,0.1,0.1
213,Pierluigi Gollini,-,-,-,-,0.2,-,-,-
214,Matteo Ricci,-,2,0.7,0.4,1,-,0.4,0.4
215,Diego Farias,4,2,1.1,0.6,0.5,0.1,0.4,0.4
216,Leonardo Pavoletti,4,3,1.3,0.1,0.9,0.3,0.4,0.4
217,Nicolò Rovella,-,2,0.6,0.6,1.2,-,0.3,0.3
218,Keita Baldé,7,1,1.8,0.6,1.4,0.2,0.6,0.6
219,Kevin Bonifazi,-,-,0.6,0.4,0.5,-,0.1,0.1
220,Sofyan Amrabat,-,-,0.3,1.5,1.4,-,1.5,1.5
221,Nicolas Nkoulou,1,-,0.2,0.2,1.4,-,-,-
222,Gastón Ramírez,-,4,0.5,0.7,1.3,0.1,1,1
223,Aleksey Miranchuk,4,2,0.6,0.6,0.8,0.1,0.5,0.5
224,Danilo,-,1,0.5,0.1,0.4,-,-,-
225,Gaetano Castrovilli,5,3,0.9,0.9,1.9,-,1.5,1.5
226,Mattias Svanberg,5,2,1.7,0.6,1.3,-,0.5,0.5
227,Ivan Radovanovic,-,-,0.2,0.2,0.8,-,0.1,0.1
228,Nicolás Domínguez,1,-,0.6,0.3,0.5,-,0.5,0.5
229,Andrea Masiello,-,-,0.2,-,0.4,-,0.1,0.1
230,Walace,-,-,0.6,0.8,0.9,-,0.5,0.5
231,Ivan Provedel,-,-,-,-,0.3,-,-,-
232,Miha Zajc,1,3,0.6,0.9,0.9,0.1,0.6,0.6
233,Riccardo Improta,1,-,1,0.7,1.6,0.1,0.6,0.6
234,Riccardo Gagliolo,2,2,0.7,0.4,1.2,-,0.2,0.2
235,Maxime Lopez,2,-,0.3,0.6,0.8,-,0.4,0.4
236,Daniele Verde,6,1,1.5,0.3,0.5,0.1,0.3,0.3
237,Jakub Jankto,6,3,1.1,0.3,0.8,0.2,1,1
238,Marco Silvestri,-,-,-,-,0.1,-,-,-
239,Bartlomiej Dragowski,-,1,-,-,0.2,-,-,-
240,Nahuel Molina,2,5,0.6,0.5,0.4,0.1,0.2,0.2
241,Sandro Tonali,-,-,0.4,0.2,0.7,-,0.3,0.3
242,Giulio Maggiore,3,1,1.2,0.5,1.2,0.1,0.4,0.4
243,Sasa Lukic,3,-,0.6,0.7,1.2,-,0.7,0.7
244,Pawel Dawidowicz,-,-,0.5,0.2,0.3,0.1,0.1,0.1
245,Mert Müldür,-,-,0.5,0.7,0.5,-,0.4,0.4
246,Sebastian Walukiewicz,-,1,0.2,0.4,0.2,-,0.3,0.3
247,Claudio Terzi,1,1,0.2,0.1,0.6,0.1,0.1,0.1
248,Germán Pezzella,1,-,0.5,-,0.5,0.1,-,-
249,Samu Castillejo,1,-,0.9,1.1,1.1,0.1,0.8,0.8
250,Grégoire Defrel,3,3,0.8,0.5,0.7,0.2,0.5,0.5
251,Roberto Insigne,2,4,1.3,0.6,0.5,0.1,0.5,0.5
252,Giovanni Simeone,6,2,1.3,0.5,0.8,0.5,0.7,0.7
253,Andreas Skov Olsen,2,2,1.2,0.7,0.5,0.1,0.3,0.3
254,Alessandro Tuia,1,-,0.3,0.1,0.4,-,0.1,0.1
255,Lorenzo De Silvestri,2,-,0.4,0.1,0.6,-,0.4,0.4
256,Juan Musso,-,-,-,-,0.1,-,-,-
257,Marash Kumbulla,1,-,0.3,0.2,0.7,-,0.1,0.1
258,Pedro Obiang,-,1,0.5,0.5,0.6,-,0.2,0.2
259,Pasquale Schiattarella,1,1,0.4,0.5,1.9,-,0.4,0.4
260,Matteo Lovato,-,-,-,-,0.4,-,0.1,0.1
261,Federico Bernardeschi,-,2,0.5,0.8,0.6,0.1,0.4,0.4
262,Mërgim Vojvoda,2,2,0.3,0.4,0.3,-,0.5,0.5
263,Carles Pérez,2,1,1.1,0.8,0.3,-,0.7,0.7
264,Goran Pandev,7,3,0.7,0.5,1.2,0.2,0.8,0.8
265,Valerio Verre,3,3,0.9,0.7,0.8,-,0.9,0.9
266,Danilo D'Ambrosio,3,-,0.4,0.2,0.6,-,0.2,0.2
267,Lorenzo Montipò,-,-,-,-,0.2,-,-,-
268,Emanuel Vignato,1,4,0.7,0.7,0.4,0.1,0.4,0.4
269,Paolo Ghiglione,-,4,0.4,0.3,0.6,0.1,0.3,0.3
270,Jens Stryger Larsen,2,-,0.7,0.4,0.4,0.1,0.6,0.6
271,Alfred Duncan,-,1,0.4,0.9,0.6,-,0.4,0.4
272,Simone Zaza,6,-,2,0.2,1.1,0.5,0.7,0.7
273,Marlon,-,-,0.2,0.3,0.3,-,0.2,0.2
274,Kaan Ayhan,-,-,0.3,0.2,0.1,-,0.2,0.2
275,Edoardo Goldaniga,-,1,0.3,0.2,1,-,0.1,0.1
276,Lisandro Magallán,1,2,0.3,0.3,0.5,-,0.2,0.2
277,Artur Ionita,2,-,0.6,0.5,0.6,-,0.6,0.6
278,Kevin Lasagna,2,-,1.6,0.4,1.1,1.2,0.9,0.9
279,Stefano Sensi,-,-,1,0.4,0.8,-,0.3,0.3
280,Gabriele Zappa,-,4,0.3,0.6,0.3,-,0.4,0.4
281,Gonzalo Escalante,-,1,0.3,0.3,0.3,-,0.1,0.1
282,Martín Cáceres,2,2,0.5,0.1,0.6,-,0.3,0.3
283,Pedro Pereira,-,4,0.4,0.4,0.5,0.1,0.9,0.9
284,Përparim Hetemaj,-,2,0.4,0.6,2.5,-,0.9,0.9
285,Mohamed Fares,-,1,0.7,0.3,0.3,0.1,0.3,0.3
286,Rade Krunic,1,2,0.3,0.2,0.8,0.1,0.2,0.2
287,Igor Julio,-,-,-,0.3,0.3,-,0.3,0.3
288,Marco Parolo,-,2,0.3,-,0.1,0.1,0.1,0.1
289,Eddie Salcedo,2,-,1,0.5,0.7,0.1,0.8,0.8
290,Ahmad Benali,-,1,0.6,0.5,0.9,0.1,0.6,0.6
291,Karol Linetty,1,-,0.3,0.7,1.1,-,0.9,0.9
292,Luigi Sepe,-,-,-,0.1,0.1,-,-,-
293,Bryan Dabo,-,-,0.5,0.8,0.8,-,0.3,0.3
294,Jeremy Toljan,-,1,0.2,0.4,0.5,0.2,0.2,0.2
295,Jens Petter Hauge,2,-,0.4,0.5,0.1,0.1,0.6,0.6
296,Roberto Piccoli,5,-,0.8,0.3,0.7,0.2,0.6,0.6
297,Luca Caldirola,2,-,0.3,-,1,-,0.1,0.1
298,Patric,-,1,0.3,-,0.2,-,0.2,0.2
299,Nahuel Estévez,-,3,0.9,0.4,0.8,-,0.5,0.5
300,Federico Barba,-,2,0.4,0.2,0.3,-,0.2,0.2
301,Ilija Nestorovski,2,1,1.1,0.1,0.7,0.2,0.4,0.4
302,Alberto Grassi,-,-,0.4,0.3,1.2,-,0.2,0.2
303,Jean-Daniel Akpa Akpro,-,1,0.4,0.5,0.4,-,0.4,0.4
304,Marko Pjaca,3,2,0.8,0.7,0.7,0.1,0.9,0.9
305,Riccardo Marchizza,-,2,0.3,0.3,0.6,0.1,0.3,0.3
306,Milos Vulic,1,1,0.7,0.5,1.3,-,0.6,0.6
307,Luca Vignali,-,-,0.2,0.3,1,-,0.2,0.2
308,Daam Foulon,-,1,-,0.3,1,-,0.2,0.2
309,Nikola Kalinic,2,-,1.3,0.3,1.8,0.5,0.7,0.7
310,Mehdi Léris,-,-,0.1,0.3,0.2,-,0.2,0.2
311,Lorenzo Venuti,-,1,0.1,0.3,0.9,-,0.4,0.4
312,Alex Cordaz,-,-,-,-,0.2,-,-,-
313,Mitchell Dijks,-,-,0.1,1,0.8,0.1,0.4,0.4
314,José Callejón,-,1,0.5,0.3,0.6,-,0.3,0.3
315,Federico Bonazzoli,2,2,1.1,0.4,1,0.2,0.4,0.4
316,Fernando Forestieri,1,1,0.6,0.5,1.2,0.3,0.4,0.4
317,Eljif Elmas,2,1,0.4,0.4,0.2,-,0.3,0.3
318,Vedat Muriqi,1,-,1.1,0.1,0.7,0.6,0.6,0.6
319,Salvatore Sirigu,-,-,-,-,0.1,-,-,-
320,Marco Sau,4,2,0.5,0.5,0.8,-,0.5,0.5
321,Amadou Diawara,1,-,0.4,0.3,0.2,-,0.1,0.1
322,Ebrima Colley,1,-,0.7,0.8,0.8,0.3,0.8,0.8
323,Andrés Tello,1,-,0.4,0.3,0.2,-,0.2,0.2
324,Niccolò Zanellato,1,1,0.2,0.6,1.3,-,0.4,0.4
325,Andrea Poli,1,-,0.2,0.3,0.4,-,0.2,0.2
326,Alberto Cerri,1,-,0.7,0.3,0.6,-,0.5,0.5
327,Daniel Bessa,-,2,0.4,0.2,0.3,0.2,0.7,0.7
328,Emmanuel Rivière,1,1,0.6,0.2,0.9,-,0.4,0.4
329,Christian Kouamé,1,1,0.5,0.5,1,0.2,0.7,0.7
330,Luca Marrone,-,-,0.2,-,0.5,-,-,-
331,Maxime Busi,-,1,0.3,0.5,0.3,-,0.2,0.2
332,Vladimir Golemic,2,-,0.2,0.1,0.3,-,0.2,0.2
333,Sebastiano Luperto,-,-,0.2,0.2,0.8,-,0.1,0.1
334,Borja Valero,-,-,0.3,0.3,0.8,0.1,0.6,0.6
335,Danilo Cataldi,-,-,0.3,0.4,0.2,-,0.1,0.1
336,Jacopo Petriccione,-,-,0.2,0.1,0.9,-,0.2,0.2
337,Valon Behrami,-,-,0.2,-,0.8,-,0.1,0.1
338,Andreas Pereira,1,2,0.5,0.3,0.3,0.1,0.4,0.4
339,Simon Sohm,1,-,0.3,0.4,0.2,0.1,0.8,0.8
340,Eduardo Henrique,1,-,0.5,0.7,0.8,0.1,0.9,0.9
341,Andrea Rispoli,-,-,0.2,0.1,0.2,0.1,0.2,0.2
